Page ID,Page name,Disclaimer,Amount spent (SAR),Number of ads in Library
292666927266608,من مكة إلى القدس,These ads ran without a disclaimer,≤100,2
338311389371979,مؤسسة دعم للجميع,These ads ran without a disclaimer,≤100,1
326017920600448,Md Sagor Ali,These ads ran without a disclaimer,≤100,1
337630742763851,IKOnlineStore,These ads ran without a disclaimer,≤100,1
108308421532193,অামরা বি এন পি পরিবার,These ads ran without a disclaimer,≤100,1
112034521979293,MOHAMED ELMAHDI ELTAYAYEB ELMAHDI,These ads ran without a disclaimer,≤100,1
228336613704884,Lineneen,These ads ran without a disclaimer,≤100,1
104188315803088,بانڈیاں گھوڑیکیر BG,These ads ran without a disclaimer,≤100,1
138278482866502,The Wrestling Game,These ads ran without a disclaimer,≤100,1
320415147831008,منحه الامير محمد بن سلمان,These ads ran without a disclaimer,≤100,1
108245017766966,Madinah US,These ads ran without a disclaimer,≤100,2
101105049294796,CNN Business Arabic الاقتصادية CNN,These ads ran without a disclaimer,≤100,1
157760670759667,Nadeem,These ads ran without a disclaimer,≤100,1
227399293794101,Eaton's Realty,These ads ran without a disclaimer,≤100,1
108645754989425,MATW Project UK,These ads ran without a disclaimer,≤100,10
103475649524618,perdesi Munda,These ads ran without a disclaimer,≤100,1
208006002407298,72saudi,These ads ran without a disclaimer,≤100,1
325151317351204,Rashid vai 02,These ads ran without a disclaimer,≤100,1
106603605645969,Md Kazi Jafor,These ads ran without a disclaimer,≤100,1
122927960734861,Happy Single Mom,These ads ran without a disclaimer,≤100,1
0,Instagram User 8825299414,These ads ran without a disclaimer,≤100,1
108596004817225,المستشار منتصر هريدي,These ads ran without a disclaimer,≤100,2
386316601222874,Habibur Rahman Sar,These ads ran without a disclaimer,≤100,1
394213003764633,PLM,These ads ran without a disclaimer,≤100,1
124252504303223,UNICEF (FR),These ads ran without a disclaimer,≤100,3
100167552254235,GMG,These ads ran without a disclaimer,≤100,1
331291726731903,EGY EXPO,These ads ran without a disclaimer,≤100,1
6013004059,The Economist,These ads ran without a disclaimer,≤100,2
109545398052523,Hala London TV,These ads ran without a disclaimer,≤100,1
328739046997686,Nancy Immigrations,These ads ran without a disclaimer,≤100,1
230004900189926,_ielts__,These ads ran without a disclaimer,≤100,1
1169535869766246,مجسمات الطائرات,These ads ran without a disclaimer,≤100,1
347946548410645,PakFbr,These ads ran without a disclaimer,≤100,1
105750255935773,Sohag Madbar,These ads ran without a disclaimer,≤100,2
100720062883109,Minbar Al Aqsa International Foundation,These ads ran without a disclaimer,≤100,1
178355362032581,Daily fun magazine,These ads ran without a disclaimer,≤100,1
1438076366477515,التلفزيون العربي,These ads ran without a disclaimer,≤100,3
148083078714007,International Humanitarian Relief - IHR,These ads ran without a disclaimer,≤100,1
396923690160312,info dana bantuan,These ads ran without a disclaimer,≤100,1
111455985140186,Prince Ray,These ads ran without a disclaimer,≤100,1
337242982800338,New Cairo Properties,These ads ran without a disclaimer,≤100,1
312326261960109,MD Tuhin Ali,These ads ran without a disclaimer,≤100,1
305985335942098,Bnp2tki,These ads ran without a disclaimer,≤100,1
109573956363885,Happy A.S.A,These ads ran without a disclaimer,≤100,2
165403306822146,Give Palestine Organization جمعية عطاء فلسطين,These ads ran without a disclaimer,≤100,1
382795098242419,محمد على الزايدي,These ads ran without a disclaimer,≤100,1
285199604687656,المرصد الهندي,These ads ran without a disclaimer,≤100,1
104114521143538,EDGEGroup,These ads ran without a disclaimer,≤100,1
152776304581301,BSC WORLD,These ads ran without a disclaimer,≤100,1
119577537916420,ExiTime,These ads ran without a disclaimer,≤100,1
109498342026238,RK Jahed Alom,These ads ran without a disclaimer,≤100,1
101909079469385,Freedom Life,These ads ran without a disclaimer,≤100,1
222806770916107,Jothitalk,These ads ran without a disclaimer,≤100,1
223952488019414,Point FXLTD Ar,These ads ran without a disclaimer,≤100,1
102086525180672,qademuna,These ads ran without a disclaimer,≤100,3
837157493122072,CGTN Global Business,These ads ran without a disclaimer,≤100,1
284378924767352,Midar,These ads ran without a disclaimer,≤100,1
102241316165270,Una finestra aperta,These ads ran without a disclaimer,≤100,5
132944806564268,Real Estat,These ads ran without a disclaimer,≤100,1
351144258088891,s.aba36,These ads ran without a disclaimer,≤100,1
387823454407880,Illuminati world wide,These ads ran without a disclaimer,≤100,1
1100630470093261,الفنان محمد الخالد,These ads ran without a disclaimer,≤100,1
101416209030182,Elite,These ads ran without a disclaimer,≤100,1
2143767435863918,المستشار القانونى محمد ابو زهرة,These ads ran without a disclaimer,≤100,1
353413717859606,اخوت فاؤنڈیشن,These ads ran without a disclaimer,≤100,1
1570566283187271,Rokeya Lita,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,3
211928638679961,Palestinelivesmatter,These ads ran without a disclaimer,≤100,2
109375082451665,SciDev.Net,These ads ran without a disclaimer,≤100,1
198703613318804,تركي عائل,These ads ran without a disclaimer,≤100,1
183130154891745,hamadmr.m,These ads ran without a disclaimer,≤100,1
372072652648000,Junaid Janjua,These ads ran without a disclaimer,≤100,1
319095734621151,WhatsApp Business 3811805663,These ads ran without a disclaimer,≤100,1
109033735440932,Business in ksa,These ads ran without a disclaimer,≤100,1
387490557779454,Support IK,These ads ran without a disclaimer,≤100,1
110202668307218,AmaderShomoy.Com,These ads ran without a disclaimer,≤100,1
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,≤100,2
398191940037424,Perlindungan Tenaga Kerja Migran Indonesia,These ads ran without a disclaimer,≤100,1
346296295236986,هادي قايد الفويسي,These ads ran without a disclaimer,≤100,1
217779054756886,Youth New Sudan,These ads ran without a disclaimer,≤100,3
382821084908272,bageshwer_dhamsarkar,These ads ran without a disclaimer,≤100,1
324984607889680,Duweik Industries,These ads ran without a disclaimer,≤100,1
114500304951578,Double A Global,These ads ran without a disclaimer,≤100,2
267808493417469,Podeo,These ads ran without a disclaimer,≤100,1
367551726443473,The Daly voice,These ads ran without a disclaimer,≤100,1
330508980151464,Creamy Cockaccino,These ads ran without a disclaimer,≤100,1
101818039106248,Testname Image Lab,These ads ran without a disclaimer,≤100,1
102570761484258,Asharq Business اقتصاد الشرق,These ads ran without a disclaimer,≤100,3
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,4
322298934305820,المدرسة الإلكترونية السودانية,These ads ran without a disclaimer,≤100,2
102144548046179,LOTUSkk,These ads ran without a disclaimer,≤100,1
321879177683803,life_in_.gaza,These ads ran without a disclaimer,≤100,6
1771822319702933,Ariful Islam Arif,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,6
102757906053545,ثورة وزعيم,These ads ran without a disclaimer,≤100,4
102244042970974,Nihmathulla Puthur Pallikkal,These ads ran without a disclaimer,≤100,1
211798105350333,AAA.Holding.Group,These ads ran without a disclaimer,≤100,1
106667936045610,VOA Urdu,These ads ran without a disclaimer,≤100,1
2017754915005611,Life with Allah,These ads ran without a disclaimer,≤100,1
169869172880306,ELLE رجل,These ads ran without a disclaimer,≤100,1
224744104388537,IFERP,These ads ran without a disclaimer,≤100,1
287470857790482,Alamein Trailers,These ads ran without a disclaimer,≤100,1
297748203429274,Alamin Adib,These ads ran without a disclaimer,≤100,1
177079956243445,സാജൻ കേച്ചേരി sajan.pp,These ads ran without a disclaimer,≤100,1
316496640057,7iber,These ads ran without a disclaimer,≤100,10
1143438032410831,الشارقة للأخبار Sharjah News,These ads ran without a disclaimer,≤100,1
101543429537902,Ahmed Xovan,These ads ran without a disclaimer,≤100,1
106557818912510,أكاديمية قرطبة لعلوم القرآن الكريم,These ads ran without a disclaimer,≤100,1
303488246173826,Misr Properties,These ads ran without a disclaimer,≤100,1
107164744298566,پاکستان پیپلز پارٹی ملاکنڈ ڈویژن,These ads ran without a disclaimer,≤100,1
130983800090438,New Home,These ads ran without a disclaimer,≤100,1
101021361632800,nadia_salameh_photography,These ads ran without a disclaimer,≤100,1
340577086006224,CRI German,These ads ran without a disclaimer,≤100,1
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,≤100,3
124438847421187,لؤلؤة الوزير للشحن الى مصر,These ads ran without a disclaimer,≤100,1
338055946063627,_glowsin,These ads ran without a disclaimer,≤100,1
357468212009467,Turning Point bytes,These ads ran without a disclaimer,≤100,1
503569446649440,التحالف الدولي,These ads ran without a disclaimer,≤100,8
1526002304307359,صفوة الأحاديث القدسيه والنبويه,These ads ran without a disclaimer,≤100,2
307054169165639,Bloom Wealth Property Expo,These ads ran without a disclaimer,≤100,2
1531570613776466,拾方視角,These ads ran without a disclaimer,≤100,1
877732785570355,قناة بلقيس الفضائية Belqees tv,These ads ran without a disclaimer,≤100,1
155648964292635,Gulf Post- جلف بوست,These ads ran without a disclaimer,≤100,4
299510893245966,سُطُور,These ads ran without a disclaimer,≤100,3
431019887282794,Tomorrow's World Today,These ads ran without a disclaimer,≤100,2
101164404768881,CGTN Frontline,These ads ran without a disclaimer,≤100,3
296080353583583,مشروع الوصول إلى التعليم في الريف,These ads ran without a disclaimer,≤100,1
342020748997869,ابو عمر للاوراق اوربية,These ads ran without a disclaimer,≤100,1
108104908530282,newsroomar,These ads ran without a disclaimer,≤100,1
104879282030427,myfigenofficial.art,These ads ran without a disclaimer,≤100,1
102311278986836,Summary Channel,These ads ran without a disclaimer,≤100,1
105745315609340,Saydur Rahman Shahin,These ads ran without a disclaimer,≤100,2
226951444012509,Rahul Mishra,These ads ran without a disclaimer,≤100,1
1183197131713150,에쓰-오일,These ads ran without a disclaimer,≤100,2
261053567085023,Luxary investment,These ads ran without a disclaimer,≤100,1
108413368661002,Authentic  News,These ads ran without a disclaimer,≤100,1
229087490286658,USA Today 2X,These ads ran without a disclaimer,≤100,3
984198795098642,هيئة الشارقة للتعليم الخاص,These ads ran without a disclaimer,≤100,1
123465590650551,Allied Health Group USA,These ads ran without a disclaimer,≤100,1
740399209313030,Finding Destiny,These ads ran without a disclaimer,≤100,1
194110224470537,Himalayan Shilajit,These ads ran without a disclaimer,≤100,1
2162675877096505,Amanart,These ads ran without a disclaimer,≤100,1
113212268549833,kunuzun_lil_jannah,These ads ran without a disclaimer,≤100,1
399035300243693,QonJay Jamal,These ads ran without a disclaimer,≤100,1
335238326331013,نُبَشِّرُكَ,These ads ran without a disclaimer,≤100,1
191721880848785,Anees Hussain - Excellence in Education,These ads ran without a disclaimer,≤100,1
315603771494,Milaap,These ads ran without a disclaimer,≤100,1
1724148267695799,بيت الحكمة 2.0,These ads ran without a disclaimer,≤100,2
223745337716768,KOREAZ,These ads ran without a disclaimer,≤100,3
110217728636710,Shaharyar Rehman,These ads ran without a disclaimer,≤100,1
120200711169428,Easy E-commerce,These ads ran without a disclaimer,≤100,1
247194588483448,the_abed_family,These ads ran without a disclaimer,≤100,1
114269280702191,OFW Views and Opinions,These ads ran without a disclaimer,≤100,1
233651049990550,Badr Tag,These ads ran without a disclaimer,≤100,1
349651551555396,التلاته بونط,These ads ran without a disclaimer,≤100,1
314046015135397,Mohamady Mahmoud,These ads ran without a disclaimer,≤100,1
111321648434773,محمد عامر الهويدي,These ads ran without a disclaimer,≤100,1
344528345408572,the.growth.heights,These ads ran without a disclaimer,≤100,1
100451442088817,BERNA Media Production,These ads ran without a disclaimer,≤100,3
108814908968362,د. رحاب فارس - Dr. Rehab Fares,These ads ran without a disclaimer,≤100,5
544890789298426,The Daily Inside,These ads ran without a disclaimer,≤100,2
103425102577657,Mohammad Faruk,These ads ran without a disclaimer,≤100,1
101907855885058,المكتب الدولي للخدمـات القانـونية والتحـكيم,These ads ran without a disclaimer,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,2
1175283209338350,Zayed The Inspirer,These ads ran without a disclaimer,≤100,1
100470928457923,uzairmerchant,These ads ran without a disclaimer,≤100,1
237772883272306,ONSUR - International Association for Relief and Development,These ads ran without a disclaimer,≤100,1
221783967691185,X News,These ads ran without a disclaimer,≤100,1
383337518176700,Narada Power,These ads ran without a disclaimer,≤100,1
250525044810838,نون بوست +Noon Post,These ads ran without a disclaimer,≤100,1
102763451168445,CGTN Global Watch,These ads ran without a disclaimer,≤100,2
102690945081743,𝗞𝗔𝗬 ∙ 𝗟𝗔 𝗙𝗢𝗢𝗗 𝗕𝗟𝗢𝗚𝗚𝗘𝗥,These ads ran without a disclaimer,≤100,1
104642729116605,VIEW Iceland,These ads ran without a disclaimer,≤100,1
325242907600207,CRI Srpski,These ads ran without a disclaimer,≤100,3
252347697959733,Humanitarian Cooperation Foundation for Children of Special Needs,These ads ran without a disclaimer,≤100,1
1902150056709260,The President Cup,These ads ran without a disclaimer,≤100,1
0,Instagram User 6312630,These ads ran without a disclaimer,≤100,1
0,Instagram User 6378506116,These ads ran without a disclaimer,≤100,1
238044912896496,HISTORY,These ads ran without a disclaimer,≤100,1
432331916962027,Baca Business Specialist - Notary Public,These ads ran without a disclaimer,≤100,1
105477295318630,ماجك لمب,These ads ran without a disclaimer,≤100,1
108619972038603,Vincent Russo,These ads ran without a disclaimer,≤100,1
127032637158591,مراد اليافعي ابو خليفة,These ads ran without a disclaimer,≤100,1
227118723826523,قصة رائعة,These ads ran without a disclaimer,≤100,1
110766488710060,Yasin Almohamed,These ads ran without a disclaimer,≤100,1
119732211085015,HKeye,These ads ran without a disclaimer,≤100,2
0,Instagram User 7454661077,These ads ran without a disclaimer,≤100,1
104013408903192,360 Radio,These ads ran without a disclaimer,≤100,2
100250259492514,اليمن اليوم -  Yemen Today,These ads ran without a disclaimer,≤100,1
106247075903240,Neha G Pramod,These ads ran without a disclaimer,≤100,1
299704060194977,CRI Ελληνική Υπηρεσία,These ads ran without a disclaimer,≤100,2
110678695167341,محمد حبش,These ads ran without a disclaimer,≤100,1
105602625338505,Ahmad Kilani,These ads ran without a disclaimer,≤100,1
1639088469637283,Unitar CIFAL Jeju,These ads ran without a disclaimer,≤100,1
343305215531741,Msx-KK86,These ads ran without a disclaimer,≤100,1
23155560578,CGFNS International,These ads ran without a disclaimer,≤100,1
320726261129210,Alaa Matar,These ads ran without a disclaimer,≤100,1
371031129420071,Tohibul Ahmed,These ads ran without a disclaimer,≤100,1
336120753157098,Quranurdu.com,These ads ran without a disclaimer,≤100,1
113205131621824,WorldOrder.News,These ads ran without a disclaimer,≤100,5
116261421370057,Weifang Moment,These ads ran without a disclaimer,≤100,1
285444877988662,New Uzbekistan: The Big Country with Big Opportunities,These ads ran without a disclaimer,≤100,1
374352225755334,Mohammad Sohag,These ads ran without a disclaimer,≤100,2
103186682224705,Yalla يلا,These ads ran without a disclaimer,≤100,1
342871448907911,American Apostle,These ads ran without a disclaimer,≤100,1
642299092580978,Affiliate World Conferences,These ads ran without a disclaimer,≤100,1
372068526800,International Bamboo and Rattan Organization - INBAR,These ads ran without a disclaimer,≤100,1
102665921647636,annfannymolin,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,1
306246942565666,سمو الاميره علياء بنت عبدالله بن عبدالعزيز ال سعود,These ads ran without a disclaimer,≤100,1
105927668599093,qut_alh,These ads ran without a disclaimer,≤100,1
118341708550897,Her Highness Sheikha Khawla Bint Ahmed Khalifa Al Suwaidi,These ads ran without a disclaimer,≤100,1
144915405382050,SpellRock Magazine,These ads ran without a disclaimer,≤100,1
144465468752403,Collectibles House,These ads ran without a disclaimer,≤100,1
165442716658885,nizar_sadawi,These ads ran without a disclaimer,≤100,2
826813347379455,Guizhou,These ads ran without a disclaimer,≤100,1
202362766304220,Mass Politics,These ads ran without a disclaimer,≤100,1
187429968296722,Harvard Online,These ads ran without a disclaimer,≤100,1
163898998638577,a_do5y,These ads ran without a disclaimer,≤100,2
367926196402485,Saveiran,These ads ran without a disclaimer,≤100,1
1570967143115767,Faith In His Blood . Org,These ads ran without a disclaimer,≤100,1
176920258835780,Adv Nizam A. Khan,These ads ran without a disclaimer,≤100,1
117333617938552,zubeydemeryemsakar,These ads ran without a disclaimer,≤100,1
102581028206,CNNArabic,These ads ran without a disclaimer,≤100,1
1493551577321676,Chery International,These ads ran without a disclaimer,≤100,3
101746532825823,God of Mining Official,These ads ran without a disclaimer,≤100,1
158981418104763,Tbulks Tv,These ads ran without a disclaimer,≤100,1
104619144298361,AJo+ الأردن,These ads ran without a disclaimer,≤100,2
336028332935072,3up Lottery online,These ads ran without a disclaimer,≤100,1
110546085342294,antique_art6,These ads ran without a disclaimer,≤100,2
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,3
111670123621092,Seyma Yaman K.,These ads ran without a disclaimer,≤100,1
193394557345243,Devex,These ads ran without a disclaimer,≤100,2
109658030466207,හෙළබිම,These ads ran without a disclaimer,≤100,1
1947672945475547,Eric Leo 108,These ads ran without a disclaimer,≤100,1
220362138159743,Дэлхийн цаг,These ads ran without a disclaimer,≤100,1
103118662424466,Sunset cloud,These ads ran without a disclaimer,≤100,1
572826299795754,الصفحة الرسمية للصحفي منعم سليمان,These ads ran without a disclaimer,≤100,1
698081736957504,Cooking by nora,These ads ran without a disclaimer,≤100,1
101179965217263,PAVÉ N'style,These ads ran without a disclaimer,≤100,1
329762640229251,Syperx,These ads ran without a disclaimer,≤100,1
107648425356564,Amazing China,These ads ran without a disclaimer,≤100,1
196982483503036,Md Shahin,These ads ran without a disclaimer,≤100,1
109676942235740,Fakhrul Mirza,These ads ran without a disclaimer,≤100,1
399159033271759,PLM,These ads ran without a disclaimer,≤100,1
1996121597292178,Teacher Joice Margo Momberger,These ads ran without a disclaimer,≤100,1
345383962211058,Infineon Technologies AG,These ads ran without a disclaimer,≤100,1
331140220086502,hema.family,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,5
339932985874704,Flux VPN,These ads ran without a disclaimer,≤100,1
114882818163873,aalmulla14,These ads ran without a disclaimer,≤100,1
112078568206555,Nasir Uddin,These ads ran without a disclaimer,≤100,1
106582528748492,Keep-reading,These ads ran without a disclaimer,≤100,1
110283982161527,Ashraf Elhussiny,These ads ran without a disclaimer,≤100,1
1177000815657627,Sci Ani,These ads ran without a disclaimer,≤100,1
368063036381665,Multi App-Space060602,These ads ran without a disclaimer,≤100,1
104860128963282,I Love Madina,These ads ran without a disclaimer,≤100,1
331898186664109,Orvello,These ads ran without a disclaimer,≤100,1
102676359499559,zz3taar,These ads ran without a disclaimer,≤100,1
100531296206565,Funtara,These ads ran without a disclaimer,≤100,1
113092665133930,Immigration expert,These ads ran without a disclaimer,≤100,1
308070615729954,Riddara,These ads ran without a disclaimer,≤100,1
100689798924824,hanansultan2022,These ads ran without a disclaimer,≤100,1
281345848552176,Department of Municipalities and Transport,These ads ran without a disclaimer,≤100,1
233543873455127,Novacolor Italia,These ads ran without a disclaimer,≤100,1
352472784621052,gottheniche,These ads ran without a disclaimer,≤100,1
7258206754,Jeune Afrique,These ads ran without a disclaimer,≤100,3
345840486219924,Energy China,These ads ran without a disclaimer,≤100,1
111577225164866,عمار أحمد الجعفري,These ads ran without a disclaimer,≤100,1
107103774867672,Glamorous Lingnan,These ads ran without a disclaimer,≤100,1
212129011991872,KnK TV,These ads ran without a disclaimer,≤100,1
110000435086529,Лі Сянь розмовляє українською,These ads ran without a disclaimer,≤100,1
855254981507596,Atheer – أثير,These ads ran without a disclaimer,≤100,1
346004538600217,গাজী শিমুল,These ads ran without a disclaimer,≤100,1
140705399123619,Lynn Harvey,These ads ran without a disclaimer,≤100,1
297318053472698,D5a7w67e4d,These ads ran without a disclaimer,≤100,1
1399933563560497,"Romanian Service, China Radio International",These ads ran without a disclaimer,≤100,1
104022512482518,"Cangzhou,China",These ads ran without a disclaimer,≤100,1
110744578117519,Beijing Daily,These ads ran without a disclaimer,≤100,1
168829946306217,Swatten,These ads ran without a disclaimer,≤100,1
110740330585314,Easy Study - الدراسة في تركيا,These ads ran without a disclaimer,≤100,1
101685991580805,World Utilities Congress,These ads ran without a disclaimer,≤100,1
113958558453375,Khosnav Khalil,These ads ran without a disclaimer,≤100,1
104751311994895,المركز الخبري للعتبة العباسية المقدسة,These ads ran without a disclaimer,≤100,1
235123059866368,"Hitachi, Ltd. -Global",These ads ran without a disclaimer,≤100,1
106882027720933,Ugreen_Us,These ads ran without a disclaimer,≤100,2
308991588965081,That Pretty Fish,These ads ran without a disclaimer,≤100,1
111710758340198,Martils Books,These ads ran without a disclaimer,≤100,1
1681360788606710,Dastigeeri Foundation,These ads ran without a disclaimer,≤100,1
1000222293436605,Fanack.com عربي,These ads ran without a disclaimer,≤100,1
275987632504429,Karwan Development Foundation,These ads ran without a disclaimer,≤100,1
102859229188181,KanChina,These ads ran without a disclaimer,≤100,1
100701497984729,صحيفة المسار  Al Masar,These ads ran without a disclaimer,≤100,1
104387498728560,Hype Hub,These ads ran without a disclaimer,≤100,1
149833131543709,kallamallah1,These ads ran without a disclaimer,≤100,1
1866967606946947,إبراهيم كوريش - ibrahim Korish,These ads ran without a disclaimer,≤100,1
114473624861283,Hamed Albasteki,These ads ran without a disclaimer,≤100,1
107443775602488,Association pour le développement de Mondo ADM,These ads ran without a disclaimer,≤100,1
101512779421553,Global Yo.,These ads ran without a disclaimer,≤100,2
0,Instagram User 1489302935,These ads ran without a disclaimer,≤100,1
177622522104510,thestateofmindpalestine,These ads ran without a disclaimer,≤100,1
1321572904585745,العتبة العباسية المقدسة,These ads ran without a disclaimer,≤100,1
336621222865952,এনামুল হক,These ads ran without a disclaimer,≤100,1
