Page ID,Page name,Disclaimer,Amount spent (PEN),Number of ads in Library
101665683225827,José Luna Gálvez - Pepe Luna,Laidy Diana Peceros Espinoza,145891,44
317113615022843,César Acuña,Cesar Acuña Peralta,15789,16
264223880347121,Lampadia Oficial,LAMPADIA,7693,233
118465974896482,Banco Falabella Perú,These ads ran without a disclaimer,5909,4
335551357288,Flor de Maria Hurtado Valdez,Flor De Maria Hurtado Valdez,5059,20
109019574560600,Aula Gaceta,Joel V. Supo Baldo,3686,8
142062936237878,Goberna,Goberna,3264,128
322277424543657,Alcaldía de Esmeraldas,These ads ran without a disclaimer,2192,1
140765589379192,Pedro Spadaro,El Callao Contigo Pedro Spadaro,2117,8
100500902383840,Propuestas del Bicentenario,Videnza Fundación,1915,10
462790453744032,Sutep,Sindicato Unitario de Trabajadores en la Educación del Perú - SUTEP,1821,123
100330785132565,Saca tu cuenta,Juan Jose Garcia Chau,1776,34
120711281333057,Municipalidad de San Isidro,William Levano Sanchez,1549,20
523337141056621,CONFIEP,CONFIEP,1303,10
117001009126,PROMSEX,PROMSEX,1217,5
687691121319854,Ernesto Álvarez Miranda,Ernesto Julio Alvarez Miranda,1178,16
101340091339173,ELAN - Escuela de Liderazgo para Adultos y Niños,Paul Renzo Soto Perez,1097,6
1629211737145398,Dr. José Carlos Ordoñez,Jose Carlos Ordoñez Castro,919,11
534284396949027,Ilich López,Renzo Jireh Casas Torres,875,20
145605348814317,Centro Cultural Petroperú,Reynaldo Arturo Hermoso Chavez,864,6
173144229408518,RENIECPERU,RENIECPERU,857,15
102900912798917,Lista Nº 1 - Lima Marina Club,Electo,828,8
121759302958701,René Chávez - El Médico del Pueblo,Somos Perú Loreto,646,2
319226058479847,Gronerth 2026,Roger Gronerth,620,14
89660988793,Asociación Paz y Esperanza,Asociación Paz y Esperanza,614,12
114155063557959,Jean Pierre Combe Portocarrero,Jean Pierre Combe Portocarrero,604,5
94005676787,Hitachi Vantara,These ads ran without a disclaimer,601,1
140672216015006,Oriflame,These ads ran without a disclaimer,590,14
104264071546502,Asociación de Regidores del Perú - ARPE,Harvey Lennin Quiñones Patricio,588,4
1897126257190528,Instituto Latinoamericano de Capacitaciones Jurídicas-ILCJ,ILCJ,576,2
456811127844434,Juan Raúl Marticorena,Juan Raúl Marticorena,551,12
316564475960113,Estudio Jurídico Tarazona & Asociados,Diego Alberto Isla Yengle,519,15
377126002943328,Reconstrucción Nacional,Estefany Rodríguez,505,6
109206395378865,Piura Honesta,Piura Honesta,500,3
235551359867840,CooperAcción,CooperAcción,452,8
113857973395461,Luis Angel Aragón - Congresista de la República,Diego Alonzo Alvarez Guevara,424,19
474392346103738,RCR Red de Comunicación Regional,Red de Comunicación Regional,416,20
2186804811641218,Municipalidad de El Agustino,Eduardo Michel Edijardo Urbino Villalobos,400,1
495706950531442,Pepe Feria,Pepe Feria,364,11
102382772020688,Inspenet,These ads ran without a disclaimer,360,2
101053675911037,Fabri & Asociados Consultoría Política y de Mercadeo,Whilber Eugenio Huallanca Conde,331,13
106395164602216,Juan Burgos,Luis Alberto Chavarry Gutierrez,330,8
1470976356522933,Daniel Urresti,Diana Huancaya Matos De Urresti,300,2
330308820924985,Joshie,Joshie,298,3
1805183599788143,Silvia Monteza,Héctor Melgar Sandoval,290,4
103858515430316,Reforma Tributaria Perú,CooperAcción,278,3
870239969704889,Gobierno Regional de Arequipa,Gobierno Regional de Arequipa,275,1
100283442359203,Fernando Arce Alvarado - Parlamentario Andino,Javier Fernando Arce Alvarado,260,5
1643625532431014,Karol Paredes,Karol Ivett Paredes Fonseca,260,3
81395234664,BBC News Mundo,These ads ran without a disclaimer,258,2
107793581074164,Parque del Recuerdo- Consejera Lisbeth Castro,Parque del Recuerdo- Consejera Lisbeth Castro,256,51
173144229408518,RENIECPERU,Registro Nacional de Identificación y Estado Civil,251,5
112755042067857,Instituto Peruano de Economía - IPE,Instituto Peruano de Economía - IPE,250,2
1630616653863244,Vitae Educación Ejecutiva,Vitae Educación Ejecutiva,243,2
368378929946448,Francis Allison Oyague,Francis Allison,241,2
1701687773439212,Giancarlo Guido Casassa Sánchez,Giancarlo Guido Casassa Sánchez,235,4
101954542845977,Comunidad Nativa Santa Clara de Uchunya,Comunidad Nativa Santa Clara de Uchunya,230,3
110410021729107,Reggaetón Lima Festival,These ads ran without a disclaimer,225,1
101924456538234,Sociedad Nacional de Industrias,Sociedad Nacional de Industrias,218,3
102775842736349,Erick Melchor Torres - Regidor de Los Olivos,Enrique Godofredo Vildoso Alvarado,200,1
103392452334963,Municipalidad de Cayma,Crónica Producciones,195,8
1087427024663496,Omar Merino López,Merino Lopex Omar,193,5
100691566051392,Perfumes importados,These ads ran without a disclaimer,182,4
101461505259421,Katy Ugarte Congresista de la República por Cusco,Katy Ugarte Congresista de la República por Cusco,167,13
2408653149412251,Edith Carranza al Decanato,Edith Betzabe Carranza Enríquez,166,1
110409148102552,Nilza Chacón Trujillo,Nilza Chacón Trujillo,164,5
103890681794133,Asociación Nacional de Profesionales de EsSalud,Jimena Vega Cabana,160,2
1729728707258166,Gabriel Antonio Madrid Orue,Gabriel Antonio Madrid Orue,155,2
1536375629973878,Prensa La Eskina,La Eskina Ediciones EIRL,152,19
128658700504745,Educación Continua USMP,These ads ran without a disclaimer,147,2
105601722292574,Uceda - Alcalde de La Molina,Uceda - Alcalde de La Molina,141,3
580834748763288,SEMUA Accesorios,These ads ran without a disclaimer,140,2
1650216218535063,Oceana Perú,Oceana Perú,138,1
103641029273278,Germán Tacuri - Congresista,Germán Tacuri - Congresista,129,3
233996756717521,Las malcriadas,Pail Ernesto Maquet Makendoski Valdeavellano,126,1
108612759471258,Colegio de Ingenieros del Peru CD Lambayeque,CIP CD LAMBAYEQUE,122,2
100677892543934,Asociación Pro Olmos,Asociación Pro Olmos,120,16
110635768288466,Rohel Sánchez Sánchez,Rohel Sánchez Sánchez,114,8
670257276443756,Micro Finanzas,These ads ran without a disclaimer,111,2
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,111,3
925099280862495,Joel Parimango,Joel Ronal Parimango Alvarez,108,1
250852305414229,Revista VOZ - Perú,Ramon Herrera,105,15
116918291306306,Asociación por más y mejores pensiones,These ads ran without a disclaimer,104,1
112074148531279,veganearthdaymarch,These ads ran without a disclaimer,104,1
273770503576765,Libro de Mormón Oficial,These ads ran without a disclaimer,104,1
379287652881645,Municipalidad Distrital de La Victoria,Municipalidad Distrital de La Victoria,101,2
111544567222627,Zósimo Cárdenas Muje - Gobernador Regional de Junín,Zósimo Cárdenas Muje - Gobernador Regional de Junín,≤100,1
237862703076530,Ya Vuelta TV,Mario Martin Paredes Lostaunau,≤100,3
425376271135953,Sin censura,Sin censura,≤100,2
105237612129014,Asociación Abrazarte,Asociación Abrazarte,≤100,2
200561513351250,Municipalidad Provincial de San Martín,Edgar Rios Espinoza,≤100,3
106666041256404,Elizabeth Medina,Elizabeth Medina,≤100,8
1490129174650573,OIM Perú,Organización Internacional para las Migraciones - OIM Misión en el Perú,≤100,1
721209661258478,Felipe Castillo,Luis Felipe Castillo Oliva,≤100,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
103618639057976,La Exclusiva - Noticia,These ads ran without a disclaimer,≤100,1
129837300707934,Perú Moderno,These ads ran without a disclaimer,≤100,7
417661094920749,Mas Que Consumidores,Abdon César Augusto Delgado La Cotera,≤100,3
272413416138213,andino.pe,Odon Guillermo Calsin Calsin,≤100,1
115866821422920,Región 3,Región 3,≤100,2
100712511354031,Instituto Pacífico,These ads ran without a disclaimer,≤100,1
389976681048925,ECMIA,Enlace Continental de Mujeres Indígenas de las Américas,≤100,2
104204428019174,Viajar es Mundial,These ads ran without a disclaimer,≤100,7
107231785611071,Noticias Piura,Noticias Piura,≤100,7
1612843852277789,Jason Colonio,Jason Colonio,≤100,5
105234280884377,Diario Selva,Pamela Isuiza Lopez,≤100,3
104723341438240,EnRumbo Noticias,EnRumbo Noticias,≤100,5
1421316657985315,Esmeralda Limachi,Deyvis Roy Ramos Ninaraqui,≤100,5
108070965600803,Diario Super,Elvita Reategui Tello,≤100,2
