Page ID,Page name,Disclaimer,Amount spent (MXN),Number of ads in Library
109158428495776,Avanzada Nacional Sonora,Gustavo Israel Lara Espino,2233,3
820039028079165,Gerardo Pliego,Gerardo Pliego,2228,8
283480958685751,Obdulio Ávila M,Obdulio Ávila M,2221,8
116313771429275,Diario Coahuilense,Diario Coahuilense,2212,5
104045385943888,Razones ZMG,Razones ZMG,2212,4
105752909164833,Sarahi de Leon,PARTIDO DEL TRABAJO DE MÉXICO,2202,7
66197312668,Revista Internacional de arquitectura y diseño Arquine,Revista Internacional de Arquitectura y Diseño Arquine,2202,14
479303628822906,Movimiento Ciudadano Sonora,Movimiento Ciudadano Sonora,2197,5
852370551453606,GARP,These ads ran without a disclaimer,2196,1
115896348052800,Preparatoria virtual SEP desde casa,UNIDEV Universidad SC,2192,34
577652426246662,Democracia en Positivo,Democracia en Positivo,2174,2
141680549249031,Radio Rosarito,Mario Alberto Serrano Monzon,2173,12
100928595695178,Mónica Fernández Montúfar,Redes Digitales,2169,25
102801038911607,Soy AM,Ivan Carrillo Olvera,2162,25
605060319834712,CCTAO,These ads ran without a disclaimer,2159,2
540260019657508,IVO Peraza,IVO Peraza,2158,30
140110469912857,Hola Guerrero,Hola Media Content,2157,32
924215500923867,Lucy Meza,Global Media Servicios,2154,7
247828812370129,Osma Salud,These ads ran without a disclaimer,2153,6
115077694871448,Chepina Flores,Partido del Trabajo México,2147,7
400106994113819,Cesuma,These ads ran without a disclaimer,2144,2
114182624983282,Nueva Prensa Puebla,Nueva Prensa Puebla,2113,1
350365691762287,Agrupación Ciudadana por la Despenalización del Aborto El Salvador,These ads ran without a disclaimer,2106,4
104885305921535,Puebla Al Día Oficial,Puebla al Día Oficial,2101,1
102373588651567,Arturo Perez Flores,Arturo Pérez Flores,2101,7
276600165791680,Gobierno de Lagos de Moreno,Gobierno de Lagos de Moreno,2100,3
106065802301223,Empresarios Regios,Empresarios Regios,2097,10
101259548948419,BenditaRed,BenditaRed,2088,13
136338923665352,Adrian De La Peña,Adrian de la Peña Villareal,2085,2
243093802904996,Aída Féres de Nader,Aída Féres,2084,5
100532625463049,César Villarreal,CésarVillarreal Sitio Oficial,2066,5
395854097505674,Amparo Beltran Ceballos,Omar Aaron Herrera Bueno,2062,4
2163787800305828,Abelinos,Abelinos,2060,4
116502604717345,Ah Kim Pech News,Ah Kim Pech News,2059,4
312685741710,H. Ayuntamiento de Puebla,Ayuntamiento de Puebla,2058,1
554323484721110,Adriana Medina,Adriana Medina,2055,4
474895786671922,Arturo Gomez Rodriguez,Partido del Trabajo de México,2054,7
242333369437378,Rafael Leyva Pérez,These ads ran without a disclaimer,2053,1
106300249844670,Perspectiva 7 Noticias,Perspectiva 7 Noticias,2048,1
431562774067966,El Binacional,El Binacional,2048,44
507437302690828,María Elena Limón,María Elena Limón,2045,7
108276755314662,Portal Ciudadano de la Cámara de Diputados,Portal Ciudadano de la Cámara de Diputados,2043,39
478319186269282,Despidos Injustificados,Despidos Injustificados,2042,3
104690462484933,Hola MTY,Hola Mty,2038,5
107213894717040,Volumen.com.mx,Volumen Entretenimiento S. A. de C. V.,2035,34
2170836576562672,Territorial,Sistema Territorial,2003,11
105041851050104,Gildardo Leyva,Gildardo Leyva Ortega,2002,3
107635172121696,Bxido Xishe Jara Bolaños,Bxido Xishe Jara Bolaños,2000,5
698680770292245,YucaFlash,Yucaflash,2000,4
171435049569865,Victor Hugo Romo de Vivar,Victor Hugo Romo De Vivar,2000,2
451216681705111,José Luis Polo Palafox,Jose Luis Polo Palafox,2000,1
398056126890565,Travel Time Agencia de Viajes,"TRAVEL TIME AGENCIA DE VIAJES, SA DE C.V.",2000,4
193883354141799,Gobierno Municipal de Saltillo,Journey Comunicación,2000,2
224348128098552,Nora Escamilla,Nora Merino Escamilla,2000,1
590466967664589,El Balcón,Germán Espiridión Martínez,2000,1
1519833484991228,Miguel Lechuga,Miguel Lechuga,2000,1
109445051496669,Gobierno Municipal de Río Bravo 2021-2024,These ads ran without a disclaimer,2000,1
203709812204,José Ramón Gómez Leal JR,Jose Ramon Gomez Leal,2000,1
107459775543951,Pacto Transformación,Pacto Transformación,2000,2
209099229232438,Periódico Central,Periódico Central,2000,4
61924315868,Gobierno de Michoacán,Gobierno de Michoacán,2000,1
110245084073082,Amador Rodriguez Lozano,Amador Rodriguez Lozano,2000,1
358251195195574,Tony Metepec,Antony Addir Ortega Salazar,2000,2
105237735249973,Jazmín Carrión,Jazmín Carrión,2000,4
110531284115995,Joel Elías Paso,Cristian Trejo Ramirez,2000,1
336331806996086,Tsunami veracruzano,Tsunami veracruzano,2000,2
1575180759424905,Tomás Montoya Díaz,Tomas Roberto Montoya Diaz,2000,5
336492163428628,José Luis Santos,José Luis Santos,2000,1
698928537211863,Ayuntamiento de Tijuana,H. Ayuntamiento de Tijuana,2000,1
109696055325462,Políticos en la red,Políticos en la red,2000,3
102789852497674,Digital News 24H,Digital News 24H,2000,4
670501623092621,Miguel Angel Almaraz  Maldonado,Miguel Almaraz,2000,2
104436871547212,Sabrina Morales,Sabrina Morales Chávez,1999,11
101139655205238,Jesús Durán,Jose De Jesus Duran Magallanes,1988,7
104621811930420,Ricardo ICázares,Ricardo Ibarra Cázares,1987,9
332575820600075,Checo Barrera,Sergio Barrera,1986,2
1999224247020642,Ciudad Mirasierra,Ciudad Mirasierra,1983,1
554673461348563,Marco Hernandez,Marco Hernandez Hernandez,1976,2
111143017308411,Politicol,Politicol,1975,20
106866305596350,Tu vecino informa,Tu Vecino Informa,1973,4
101859231211918,Zacatecas al Minuto,Zacatecas al Minuto,1960,10
948352998623812,Local,Elena Duran Jimenez,1959,4
112193307898373,Electoralia Veracruz,José Ramón Rodriguez Romero,1959,3
335598899895433,Luis Aguilar,Luis Aguilar,1959,1
101210129467789,Primero Monterrey,Primero Monterrey,1946,6
109728374729315,24 horas Yucatán,24 Horas Yucatán,1945,29
111907068524382,Jovenes cambiando al Edomex,Cambiando el Edoméx,1944,2
100479299537613,Regios al Cuadrado,Regios al Cuadrado,1943,6
100671096208741,Perfil Fronterizo,Perfil Fronterizo al Momento,1934,12
379501236155049,Benjamín Alfaro,Benjamín Alfaro,1925,8
108128157347207,Pollsmx,Diego Sotelo,1925,6
100552999686504,La Voz de Coahuila,La Voz de Coahuila,1922,5
230608208921694,Sureste en Números A.C.,Luis Anzola,1921,4
584159151722389,Pavel López Gómez,Pavel López Gómez,1920,2
978024885551039,Vox Populi Gto,Vox Populi Gto,1917,36
103165569325422,Qromunicando,Qromunicando,1911,3
160752503961,EMEEQUIS,EMEEQUIS,1907,3
108346657558085,Edmundo Cotero,Brayan Alberto Palma Valdas,1901,4
105215098025200,Marggid,Marggid,1900,17
108355680942466,Zuriel Rosas,Zuriel Rosas,1896,11
179857722071104,UNITEX,Unitex,1896,2
618697572120780,Círculo Rojo,Círculo Rojo Noticias,1892,10
102782229316164,NL Primero,Nuevo León Primero,1888,6
1661676774101223,Claudia Agatón,Claudia Josefina Agatón Muñiz,1886,9
104773258848361,Margarita González Saravia,Margarita González Saravia,1881,3
108039991795197,Unidev prepa en línea - SEP,Unidev Universidad SC,1878,15
147141899286477,Diario Colectivo,Diario Colectivo,1876,6
100960788918098,El Sonora de Hoy,El Sonora de Hoy,1869,5
651805858170081,Movimiento Ciudadano Colima,Movimiento Ciudadano,1867,11
351784981501494,Pepe Yunes,Pepe Yunes,1851,5
107093368815533,No al Populismo,These ads ran without a disclaimer,1847,3
606780089503458,Nodo 360,Nodo 360,1842,5
103953484721340,Termina Tu Prepa Con EducaTijuana,EducaTijuana,1842,3
105880127492594,David Saucedo,David Esteban Saucedo Torres,1840,7
671351789719351,Ricardo Medina Farfán,Ricardo Miguel Medina Farfan,1839,8
108952945073000,Daniel Montiel Tlalnepantla,Daniel Montiel Luna,1831,1
161583254552188,Marizabeth Villaseñor,Marizabeth Villaseñor,1831,11
105801477887900,BDM Noticias,Jose Narciso Mejía Mendez,1818,53
103762085120682,Rubén Barba,Mauricio Espinosa Jasso,1815,3
1027294670734906,Vox Populi Tamaulipas,Vox Populi Noticias,1814,4
163560307917372,Gobierno Municipal SLP,H. Ayuntamiento de San Luis Potosí,1813,8
195400400486017,Antena San Luis,Antena San Luis S de RL de CV,1809,11
1185080875001175,Siguiendo a Mon Maron,Mon Maron,1807,27
166922990060161,Cahova AC Mexicali,CASA HOGAR PARA VARONES A.C.,1805,2
399381110921245,Querétaro en ti,Querétaro en ti,1804,2
110638204921704,Voz Laboral,Partners of the Americas,1804,1
742040689262613,Imelda Castro Castro,Imelda Castro Castro,1800,4
106539264702455,Mario Carlos Culebro Velasco,Karina Guadalupe Martinez Vivanco,1797,4
112161658452933,El Independiente mx,El Independiente MX,1794,4
1724003164500887,Daylín García Ruvalcaba,Daylin García Ruvalcaba,1781,4
156562731088277,"Equidad de Género, Ciudadanía, Trabajo y Familia","Equidad de Género, Ciudadanía, Trabajo y Familia A.C.",1777,10
103417985934116,TE VE QRO,TE VE QRO,1776,1
104533761715047,Exclusivas Tlaxcala,EXCLUSIVAS TLAXCALA COMUNICACIÓN,1774,1
1768914636668990,Andrés Atayde,Andrés Atayde Rubiolo,1773,3
120013501065481,Baja California con Claudia,Maximizando Ideas,1768,13
102843165746526,Es la Hora de Tabasco,Hector Daniel Sanchez Moreno,1768,36
195637654361837,No Hay Derecho MX,nohayderechomx,1766,4
508887689459089,Karina Pérez Popoca,These ads ran without a disclaimer,1761,2
561348627320564,Rocío Abreu Artiñano,Rocío Abreu Artiñano,1759,15
106226478971611,Keño Villarreal,Juan Carlos Garcia Perez,1757,3
104362375825981,Los Industriales,Los Industriales,1751,4
222751968617027,Municipio de Oaxaca,Municipio de Oaxaca,1750,5
103925618420506,Ursula Patricia Salazar Mojica,Gerardo Roberto Ramirez Salazar,1747,12
114316908239447,Raúl Paz Alonzo,Raúl Paz Alonzo,1744,8
100343222861450,La Razón NL,La Razón NL,1739,6
137685613526731,COEPRA Oaxaca,COEPRA Oaxaca,1736,2
390528021812774,Jorge Luis Llaven Abarca,Jorge Llaven,1735,3
1163394640357824,"Comunal Analco, San Mateo",Ricardo Paulino Retana Diaz,1731,2
661065047282648,Noticias ZMG,Noticias ZMG,1730,1
112704675039587,Flash informativo,Flash informativo,1727,16
109718987583190,Brighite Granados,Nubia De La Rosa,1725,8
695915467133155,UNIR México - La Universidad Internacional de La Rioja en México,These ads ran without a disclaimer,1725,2
1545813348822019,El Porvenir MX,These ads ran without a disclaimer,1724,2
293707754465943,Toño Mejía,Redboxmex,1722,13
1103479286344796,Revista de Coahuila,Revista de Coahuila,1721,5
739809672749132,Nuevo Sonora,Nuevo Sonora,1717,9
1087794331355975,Raúl Cantú,Raúl Cantú,1715,2
284604379075587,Transformación de 4ta,Transformación de 4ta,1715,2
244524445753966,Armando Contreras Castillo,Armando Contreras Castillo,1714,22
200425670023135,PAN Baja California Sur,PAN  BCS,1714,3
106323171509719,La Gaceta Noticias,La Gaceta Noticias,1713,12
1438179653137260,Centro Carbonell,Centro de Estudios Jurídicos Carbonell,1713,2
119296954471444,Sonora con Claudia,Maximizando Ideas,1707,14
1572624442979362,José Luis Garza Ochoa,Jose Luis Garza Ochoa,1696,13
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,1695,4
1024212257622837,Paola Jiménez Hernández,LIPCO,1693,8
100951752835721,Lupa Ciudadana,Lupa Ciudadana,1690,6
543905039006932,David Gama,David Gama,1689,6
105269251779541,,Al Momento Noticias,1685,1
100897522808749,Adelante Monterrey,Adelante Monterrey,1682,8
100933779468147,NL Urbano,NL Urbano,1679,7
105429555675502,Regiadísticas,Regiadísticas,1677,5
102096448429084,Centinela México,Centinela México,1662,8
106295648496570,Infiltrados Tamaulipas,Estamos Unidos Mexicanos,1659,1
101540994725549,Bertin Arias.,Jose Isidro Bertin Arias Medrano,1659,12
210185436160612,Alejandro Correa,Pepe Acevedo González,1655,2
2251931065120585,Edmundo Torrescano Medina,Edmundo Azael Torrescano Medina,1654,1
102539288557323,Museo de Ciencias Ambientales,Museo de ciencias ambientales,1654,2
314304785323675,Red Yucatán,Red Yucatán,1645,3
346352612235933,Verónica Camino Farjat,Verónica Camino Farjat,1643,1
174020129929884,Katya Soto,Katya Cristina Soto Escamilla,1642,6
194294770607313,Alejandro Navarro,Anavarro,1640,2
104051184791091,Beneficios en el Gobierno en todo México,Nancy Carmen Ramirez Casas,1640,6
106865972279596,Por amor a México,Por Amor A Mexico,1638,7
108637608565781,Centro de Certificación de Matamoros,Efrain Israel Venegas López,1633,9
990668231016708,Diplomado Comunicación Política y Campañas Electorales UAM Xochimilco,Adrian Hernandez Alanis,1631,6
109177781678957,Bumble Mexico,These ads ran without a disclaimer,1620,5
110520678689087,Nuevo León con Claudia,Maximizando Ideas,1617,14
101649522475058,Eco San Luis,Eco San Luis,1615,15
192507774257431,Omar Borboa,Oscar Hidalgo Quezada,1612,9
104502601405611,Prensa Desde la Raíz,Prensa desde la raíz,1607,7
106956285296380,Cybernoticias,Cybernoticias,1606,1
164856266971710,Es lo Cotidiano,Es lo Cotidiano,1606,17
102662994838169,Indeleble,El México Indeleble,1606,8
114619240665863,Canal 42,Canal 42,1606,8
101781255389017,La Mañanera,La Mañanera,1600,2
109575971718478,Hitzel Bernal,Hitzel Bernal,1599,7
103783664917988,BE-Learning,These ads ran without a disclaimer,1599,6
243111396754988,Edin Estrada,Edin Estrada,1596,4
101938677136208,Christopher Santos El Gallo,Christopher Alan Santos Castillo,1596,15
384495964895391,Willy Ochoa,Eduardo Díaz,1592,4
101301676096544,Salud Regia,Salud Regia,1592,7
107948098900409,Noticias 4T,Noticias 4T,1591,6
932347670168225,Lagos Lupa,Lagos Lupa,1584,4
1640270156235310,Fidel Calderón,Fidel Calderón Torreblanca,1584,7
104364561773822,Oscar Avitia,Nubia De La Rosa,1584,11
1183421698366005,Citlalli Amaya,Citlalli Amaya,1580,4
103821621408670,Programa en el Gobierno Mexicano Independiente,Edith Martinez Orta,1580,7
104051184791091,Beneficios en el Gobierno en todo México,Edith Martinez Orta,1577,6
904619292907245,Enfoque EiM Noticias Ags,Enfoque EiM Noticias Ags,1572,69
106034232292980,Preparatoria en línea Mexico,UNIDEV Universidad SC,1572,28
100979508318448,Diputado Francisco Sánchez Villegas,César Holguín Prado,1567,5
102098972594247,Momorelos,Medios Alternos de Morelos S.A. de C.V.,1567,38
112877297846533,El Pulso.com.mx,"El Pulso de la Información, S.A. de C.V.",1566,38
378454888947214,Roxtec Group,These ads ran without a disclaimer,1566,1
627468831243713,Prensa La Nación,La Nación,1562,8
105153944962600,El Plural de México,El Plural de México,1560,9
101035522790604,Especies Políticas,Especies Políticas,1555,6
103290404864989,Beneficios Nacionales de Gobierno,Cinthia Abigil Torres Medina,1551,7
109927953731014,Espacio Libre México,Espacio Libre México,1549,19
357633994942461,Martha Avila,Martha Soledad Avila Ventura,1546,44
111109218436766,Cambiando Monterrey,Cambiando Monterrey,1546,12
100779742218844,Voz del País,Voz del País,1545,10
348106388909386,El Queretano,Gabriel Morales Lopez,1527,6
153486705119723,PRD-Coahuila,PRD Coahuila,1527,12
244418625661695,BBVA,These ads ran without a disclaimer,1522,1
105758101614814,Erika Díaz Villalón,Erika Díaz Villalón,1520,19
109803645367687,Andrés Bahena,Andrés Bahena,1519,3
507133006131321,7AM Noticias,7Am Noticias,1519,7
210199979381166,Paradigma,Uziel Abel Soto Hernandez,1514,14
101084949601318,Es Claudia Chihuahua,Nubia De La Rosa,1512,12
182224979243764,Benjamín Carrera,Benjamín Carrera Chavez,1507,5
378783752182669,Casa de Apoyo a la Mujer,Hot Marketing,1506,3
1899803496995308,Morena La Libertad.,Angel Montiel,1506,17
108741434881155,Seguros Sura Latam,These ads ran without a disclaimer,1506,1
114608845267298,Ciudad Juárez,Municipio de Juárez,1506,2
2319318891615602,0MG Noticias,These ads ran without a disclaimer,1506,2
111020458630842,Descubre Ibero,Rodrigo Serrano Levin,1500,1
113138624929264,Alza La Voz,Alza La Voz,1500,2
368689083963327,Caty Monreal,Eldaa Catalina Monreal Perez,1500,2
101719859129749,Tv Grillas,Tv Grillas,1500,1
273217553318651,Jorge Russo Salido,Jorge Eugenio Russo Salido,1500,1
1447376292236697,Rommel Pacheco,Rommel Pacheco,1500,3
125131901465195,Yucatán Acontece,Yucatán Acontece,1500,2
105458352516308,Yanira Hernández,Partido Verde Coahuila,1500,1
215048798516165,"INROADS de México, A.C.",These ads ran without a disclaimer,1500,1
109654955110361,Querétaro en la Mira,Querétaro en la Mira,1500,1
110725725196731,Quereyork,Quereyork,1500,1
1970994606275415,Censuradosmx,Censurados MX,1500,5
100259965224091,Mario Humberto Vázquez López,Ivan De Jesus Vazquez Montoya,1500,5
452077778491218,Zárate Abogados,Laura Hoyos,1500,6
318695938319703,Alfonso Ramírez Cuéllar,José Coronel,1500,3
101001474848545,Dr. Jesus Zcruz,Partido del Trabajo México,1498,4
104168636000595,Jalisco Con Claudia,Maximizando Ideas,1497,13
432923167438353,Jorge Hernández Aguilera,Julián Reynoso Mazoy,1495,11
2251910481696111,Oscar Vásquez Llamas,Oscar Vásquez Llamas,1495,2
102444166161961,Noticias de La Laguna,Noticias de la Laguna,1490,5
117037408032444,Guanajuato con Claudia,Maximizando Ideas,1490,14
363952110741119,Jorge Martinez Santiago,Jorge Martinez Santiago,1490,2
181288812503440,MDE México,José Alberto Martinez Morales,1490,3
114818941111142,Cuautla Canal 2,Cuautla Canal 2,1487,20
107987827999009,Beneficios en México Independiente,Jesus Jimenez Perez,1486,6
232336684381335,RED periodismo veraz y objetivo,Ana Cristina Hernández Gallo,1481,7
103111452764294,Yolanda Palacios C,Partido del Trabajo México,1477,4
120158021051953,Puebla con Claudia,Maximizando Ideas,1476,16
103373086082198,Guerrero con Claudia,Maximizando Ideas,1476,19
194885537530704,"Sindicato Minero ""Los Mineros""","Sindicato Minero ""Los Mineros""",1472,3
2044319415808059,Gaby Montoya,Edwin Felipe Yepiz Quintero,1472,2
418046408944771,Gonzalo Puerto,Gonzalo Puerto,1469,6
109736050805126,El Minutero,El minutero,1461,4
100965016196133,Capital Regia,Capital Regia,1458,3
103015469177580,Beauty Chic,These ads ran without a disclaimer,1458,7
102246325298535,Yussara Canales,Juan Diego López Coronado,1458,4
106947498855295,Capitanes Regios,Capitanes Regios,1451,6
707874865918912,ADN Alternativa Democrática Nacional,Canek Ortega Cano,1445,6
368555896997049,Enrique Estrada,Enrique Estrada,1439,8
113488311723763,Oaxaca con Claudia,Maximizando Ideas,1424,19
149884265087506,Al Contacto,Manuel Arturo Narvaez Narvaez,1415,8
103928865079983,The Mexico Network,The México Network,1414,9
201526167017293,Mario Soto Esquer,Benjamín Torres Castro,1411,4
102598911744851,Eliud Saldaña Vázquez,Arturo Eliud Saldaña Vazquez,1405,7
338577189813578,Oscar González Yáñez,Oscar González Yáñez,1404,6
119591381084317,Prepa Unidev SEP,Unidev Universidad SC,1404,27
431479967049576,Coparmex Coahuila Sureste,Centro Empresarial Coahuila Sureste S.P.,1400,2
1958708677787953,Marcos Rosalio,David Angel Rosalio Torres,1400,3
108181375090086,Marco Antonio Santamaría Rivera,Marco Antonio Santamaría Rivera,1400,2
101150181841711,Diario Medio Dia,Diario Medio Día,1400,7
140514606039191,Iepc Jalisco,Instituto Electoral y de Participación Ciudadana del estado de Jalisco,1400,2
445313688987004,Rosa Elena Trujillo Llanes,Rosa Elena Trujillo Llanes Diputada Local,1400,2
100722181941711,Diego Calderón M,Diego Calderon Martinez,1400,2
813742525470115,Pemex Picacho Emilio Portes Gil Tlalpan,Ivette Díaz,1398,7
236510279713136,SéUno Noticias,SéUno Noticias,1396,7
102515245994693,Tlaxcala Si,tlaxcalasi.net,1395,1
272513363841,IFAL - Institut français d'Amérique latine,These ads ran without a disclaimer,1390,1
556154224879853,López Blanco PT,Partido del Trabajo de México,1390,5
107987827999009,Beneficios en México Independiente,Cinthia Abigil Torres Medina,1387,6
1856514037937535,SuperMesa,Ramon Jorge Guardado Pérez,1384,4
1437703432958929,Nadia Bernal,Nadia Edith Bernal Jimenez,1379,5
1692643974305322,Fabiola Alanís Sámano,Angelica Yazmin Navarro Arroyq,1378,3
636669016755546,Librería “La Cháchara Periférica”,Emilio Ivan Montaño Pereda,1374,5
101385435125458,Ivonne Pantoja,Laura Ivonne Pantoja Abascal,1374,5
1441496505905381,Gobierno del Estado de Nayarit,Gobierno del Estado de Nayarit,1372,11
110763055151832,Preparatoria en línea SEP,UNIDEV Universidad SC,1370,11
179039462918664,Diputado Baltazar Gaona García,Baltazar Gaona Garcia,1364,4
496096610569383,Diputados en Acción CDMX,Diputados en Acción,1363,2
103724085705940,LAEM,These ads ran without a disclaimer,1361,2
107982061699172,Tolok Negro,Tolok Negro,1353,5
1439738092756927,Juan Carlos Mezhua,Juan Carlos Mezhua Campos,1350,4
107860171089781,Medios AGS,Medios AGS,1350,3
102099595581892,Germán Borja,Germán Borja,1344,10
459981687466000,TjNoticias.info,Rudolph y De Regil,1341,2
111811104956211,Vámonos Por Partes,Ammy Bethsua Bañuelos,1340,11
492853084519289,Héctor Narváez MX,Héctor Freddy Robaldi Narváez,1335,25
1453035258301900,Carol Antonio Altamirano,Carol Antonio Altamirano,1333,8
616061725124082,Mario Vázquez,Mario Humberto Vázquez Robles,1333,7
111978535209645,Ciudad de México con Claudia,Maximizando Ideas,1331,13
106092085781613,Preparatoria desde casa,Unidev Universidad SC,1331,34
108365995414780,Código Regio,Código Regio,1330,5
164373266931161,Máspormás,These ads ran without a disclaimer,1329,1
113766141696020,San Luis Potosí con Claudia,Maximizando Ideas,1325,13
643513979193133,Justicia para Beatriz,Neuma,1322,2
102826849470076,Sinaloa con Claudia,Maximizando Ideas,1320,13
104845682293711,Universidad Internacional Virtual,Universidad de la Organización virtual de Innovacion y Desarrollo,1312,8
1497756133850327,La Revista Peninsular,La Revista Peninsular,1310,16
113321998407166,Tamaulipas con Claudia,Maximizando Ideas,1309,14
878654108845351,Armando Tejeda,Armando Tejeda,1309,2
110470775150520,Luis Quiroga,Luis Quiroga,1306,6
106809387739556,Calkinoticias,Calkini,1304,11
104051184791091,Beneficios en el Gobierno en todo México,Jesus Jimenez Perez,1301,5
109380465343668,El Agua en NL,El Agua en NL,1300,2
556204284838704,Realidades “Periodismo con verdad”,Karina Guadalupe Martinez Vivanco,1300,3
102735202524490,Sufragio ORG,Sufragio Org,1300,2
109947015376438,Juntos Transformando Tabasco,Juntos Transformando Tabasco,1300,3
102004491396763,HOYTamaulipas Oficial,HOYTamaulipas Oficial,1300,2
113261374924245,Efecto Regio,Efecto Regio,1300,2
477874639002114,Joaquín López-Dóriga,PLATAFORMA DIGITAL JOAQUIN LOPEZ DORIGA. S. DE R.L. DE C.V,1296,2
106952860994073,La Crítica,La Crítica,1294,3
110149955356090,Politic Times,Politic Times,1293,2
111980355074733,Adriana Grajales Gómez,Adriana Grajales Gómez,1293,7
113232271616467,La Sierra Madre,La Sierra Madre,1292,3
100332908733199,Fundación Traxión,Fundación Traxión,1289,22
105950984827623,Alianza Patriótica Nacional Baja California,COMINICACIÓN DIGITAL,1289,2
106951785589824,Tu Alcalde Regio,Tu Alcalde Regio,1289,3
107331780685270,Página: Roberto Ahumada,Roberto Ahumada Valdes,1284,2
1874020462842106,Electorama,Electorama,1284,5
856254677838693,César Damián,Cesar Damian,1284,4
1464452090535253,Red Ciudadana,Red Ciudadana,1281,6
104330519152040,Yo con Gilberto,Yo con Gilberto Herrera,1280,8
34767149008,Tecnológico de Monterrey,These ads ran without a disclaimer,1273,3
815084088508730,Dr. Chilo Isidro Ovando,Isidro Ovando Medina,1263,9
240020389360646,The Food Tech,These ads ran without a disclaimer,1260,4
242821705872747,Revolución 3.0,Revolución 3.0,1260,4
105784844959519,Olson,Carlos Vicente,1257,7
104422492556187,Andrea Flores,Andrea Flores,1256,2
113342271719951,Filiberto Benavides,Filiberto Benavides,1255,3
101521069574453,Oscar Nelson,Oscar Nelson,1253,6
640017696057644,Jousin Palafox Noticias,Rudolph y De Regil,1251,1
116206710188098,Preparatoria SEP Virtual,Unidev Universidad SC,1251,10
111807781533688,El Habanero News,Lizbeth Morales Morales,1250,5
541613226753915,Elsa Nayeli Pardo Rivera,Elsa Nayeli Pardo Rivera,1250,3
100768026266345,Agora Ciudadana,These ads ran without a disclaimer,1249,5
113894447125228,Pancho Aceves,Pancho Aceves,1246,4
343056139153924,La Manga Mx,La Manga Medios de Comunicación,1244,7
110073740357039,Mario Arellano,Mario Arellano Bustos,1244,5
1256616351140075,Nora Lagunes Jauregui,Nora Jessica Lagunes Jauregui,1242,4
111690518395853,Noticias virales,Noticias Virales,1242,2
103821621408670,Programa en el Gobierno Mexicano Independiente,Cinthia Abigil Torres Medina,1240,6
101924738980276,Bachillerato en línea Unidev,Unidev Universidad SC,1237,15
1082836978406151,OCNFeminicidio México,Mario Bernal Gomez Llanos,1237,1
100905166136342,Preparatoria SEP en línea,Unidev Uiversidad SC,1235,12
109806005428592,Chihuahua con Claudia,Maximizando Ideas,1232,13
104048655999102,El Pulpo Indiscreto,El Pulpo Indiscreto,1229,12
235709416785239,México Minero,These ads ran without a disclaimer,1226,2
107388102211536,Percepcion Social,Percepcion Social,1223,5
470731336657991,El Noticiero de Noticieros,El Noticiero de Noticieros,1223,5
101356262092275,Mario Llergo,Mario Llergo,1223,1
101576808749637,Asesorias de Matamoros,Efrain Israel Venegas López,1213,4
2261689357409967,Alberto Lara Bazaldúa,Alberto Lara Bazaldúa,1212,2
1856486611250925,Marisela Terrazas,Marisela Terrazas Muñoz,1210,4
101179015404551,Andrea Gordillo,Andrea Gordillo,1205,3
100818636339746,Chiapas con Claudia,Maximizando Ideas,1200,13
841441875939734,Indagar Estudios de Mercado,Indagar Estudios de Mercado,1200,7
101116288314135,Escárcega Noticias,Escarcega,1200,10
100921228946492,Cesar Gonzalez,César González,1200,3
109497591179054,Ojo Cívico,Ojo Cívico,1200,2
1985095215139869,Alejandro Carvajal,Alejandro Carvajal,1200,7
101418072088431,Marylupe Arellano,Alfonso López,1200,1
395852717192874,Samuel Hidalgo,Samuel Hidalgo,1200,1
112436570506048,El Fuerte Campeche,EL FUERTE CAMPECHE,1200,10
1733783633590811,Jorge Valera Cortes,Jorge Eduardo Valera Cortes,1199,5
219168613441556,Abogados México,Jose Miguel Ramirez Valenzuela,1196,4
735663383283813,Alfredo Fernández,Alfredo Fernández Arceo,1190,5
996060393800265,Betty Rivera al Aire TV,Beatriz Rivera,1190,26
1462084200761339,Estrategias De Aprendizaje Acelerado,Francisco Cabrera Roselló,1189,6
215474162361086,Agenda Viral,Frank Sanchez Espinoza,1178,5
113844584874483,La voz de la Experiencia,La Voz de la Experiencia,1169,3
119970814402442,Michoacán con Claudia,Maximizando Ideas,1167,13
106348013297814,Carlos Ulloa,Carlos Ulloa,1165,3
105949785593660,Fuerza Mujer Mx,These ads ran without a disclaimer,1164,1
1567532173316231,Alejandra Morales,Alejandra Morales,1163,1
2409264252632925,Newsroom noticias,Newsroom noticias,1162,1
623059864992990,No se Vale Mx,No Se Vale,1161,4
1024697394224040,David De La Peña,David De La Peña,1154,7
104094185438978,Contadores Mexicanos,Contadores Mexicanos,1154,2
102492928333364,Revista Forja,Revista Forja,1150,3
102254572233058,Ayuntamiento de Rioverde 2021 - 2024,Ayuntamiento de Rioverde 2021-2024,1150,3
354326078079338,Campaigns and Elections Mexico,Mario Alberto Rivera Lagarreta,1147,2
587797105018741,Queretano de toda la vida,Queretano de toda la vida,1139,1
100429095437952,Moni Valdez,Seis Cero Tres Marketing,1132,6
101468242939913,Sembrando Memes,Luis Anzola,1128,3
111810526917005,Leticia Olivares Jiménez,Faustino Damian Claudio,1128,2
