Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
12860228293,Politiken,Politiken,261207,99
65929129383,Røde Kors,Røde Kors,218811,94
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,158042,52
26458152911,SOS Børnebyerne,SOS Børnebyerne,117859,59
399210657232918,PlanBørnefonden,PlanBørnefonden,91802,93
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,76771,28
100493784938009,Danske Æg,Danske Æg,70191,4
246977185497434,Plastic Change,Plastic Change,67524,54
110321008383861,Red Barnets landsindsamling,Red Barnet,66841,139
1677055535924085,Røgfri Fremtid,Røgfri Fremtid,66732,20
116269191760882,DSB,DSB,64070,3
748887235210811,Obton Forvaltning A/S,Obton Forvaltning A/S,56565,19
55365680705,Greenpeace Danmark,Greenpeace Danmark,55980,106
12787473132,Berlingske,Berlingske,51707,56
143304556048382,PostNord Danmark,These ads ran without a disclaimer,50091,2
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,48821,54
72672361910,Børns Vilkår,Børns Vilkår,45152,41
304554445813,Videncentret Bolius,Videncentret Bolius,44688,19
250994288337708,Sex og Samfund,Sex og Samfund,44656,28
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,44129,54
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,40528,70
867877683280051,Weekendavisen,Weekendavisen,40487,42
66328502645,Dagbladet Information,Dagbladet Information,33287,34
99632942471,Læger uden Grænser (MSF),Læger uden Grænser (MSF),33186,2
748887235210811,Obton Forvaltning A/S,Obton A/S,33107,13
121570596369,CARE Danmark,CARE i Danmark,32879,15
1029970060346902,EWII,EWII A/S,32806,3
104544224264943,3F Transport,3F Transport,31442,5
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,31168,6
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,31060,30
337166195327,BRYD TAVSHEDEN,BRYD TAVSHEDEN,28924,60
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,28803,13
102154048301476,Lederstof.dk,Lederne,27500,73
200709746630443,Dyrenes Beskyttelse,Dyrenes Beskyttelse,26569,8
126543540781090,Ældre Sagen,Ældre Sagen,24890,33
22030968736,Anima,Anima,22880,5
