Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
197770137236410,日本維新の会,日本維新の会,5334856,468
108136530968730,おねがい社長！,These ads ran without a disclaimer,4137172,119
1904070096535109,スマート選挙,株式会社センキョ,3256266,99
684161888345926,西日本新聞me,西日本新聞me,2401700,112
651455718373362,ハイクラスに特化した転職支援『転機』,These ads ran without a disclaimer,1986313,2
148562291987208,ザ・ホワイトデンタルクリニック,These ads ran without a disclaimer,1711523,75
117914038333112,自由民主党 大阪府支部連合会,自民党大阪府連,1325309,4
475681929154100,国連UNHCR協会,国連UNHCR協会,969780,27
102476939317078,トレンド発信オンライン,These ads ran without a disclaimer,855993,4
116754254661229,大阪市選挙管理委員会,大阪市選挙管理委員会,498929,2
239558679475625,株式会社トマス技術研究所,Kenji Fukutomi,483750,14
113784721685783,チーム北区みらい／東京都北区,Satomi Ichikawa,377269,12
101580979109769,簡単diet,These ads ran without a disclaimer,375344,2
108971153774431,品川区議会自民党,株式会社マイム,357503,13
117914038333112,自由民主党 大阪府支部連合会,自由民主党大阪府支部連合会,300000,1
106309682126339,メタバリアプレミアム通信／富士フイルム,These ads ran without a disclaimer,292038,2
579187028792625,社長と会社の手元現金を増やす仕組みづくりの専門家,社長と会社の手元現金を増やす仕組みづくりの専門家,280717,1
102891618059843,ケイミュー株式会社,These ads ran without a disclaimer,267768,6
253264005099427,世田谷区,世田谷区,258511,1
651801698258818,NewsTV,NewsTV,255255,60
200480966638039,Supremacy 1914,These ads ran without a disclaimer,238825,2
103914976352692,選挙ドットコム,イチニ株式会社,221572,4
105817000162440,大分県選挙管理委員会,大分県選挙管理委員会,215741,30
101793092394959,東京都民生児童委員連合会（都民連）,東京都民生児童委員連合会,198791,5
102468941548369,宮城県民共済,宮城県民共済,188635,5
819272734776033,兵庫県選挙管理委員会,兵庫県選挙管理委員会,186198,8
185093341699735,洋々,These ads ran without a disclaimer,180855,2
853050658125901,マイリノ,These ads ran without a disclaimer,175081,1
103921962501743,こまざき美紀,こまざき美紀,170111,17
371396839635758,トレジャーデータ,These ads ran without a disclaimer,169158,4
102621342802413,野沢なな＠練馬区議会議員広報,秀輔 小泉,161323,4
105839479114586,栃木県選挙管理委員会,栃木県選挙管理委員会,146025,2
109928068682116,長野県選挙管理委員会,長野県選挙管理委員会,141704,12
177973785580860,株式会社アクティブアンドカンパニー,These ads ran without a disclaimer,129580,4
101060982860934,福岡県選挙管理委員会,福岡県選挙管理委員会,124412,7
200121530091286,いただきへの、はじまり　富士市,富士市,123500,12
115864264779759,ヒーローズコンバット II,These ads ran without a disclaimer,120783,1
