Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
367719083645242,Arif Rahman HL,These ads ran without a disclaimer,159941,1
110921328370571,Bala Gus Shidqi,These ads ran without a disclaimer,159163,3
109335605140131,Invest SEA,These ads ran without a disclaimer,156666,3
109326160749798,Hamdan Fuadi Urang Gambut,Hamdan Fuadi,154070,1
102163059470591,soedesontandra.id,These ads ran without a disclaimer,151561,2
104770645852398,dpdgerindrantt,These ads ran without a disclaimer,150396,1
103584384805755,Soloraya Terkini,Bayu Wicaksono,150000,10
106819071134947,Lamhot Sinaga,Oki Ohara Sibarani,147600,1
632561713457871,Satria Zhang,These ads ran without a disclaimer,146739,1
1471787229768516,Art+Feminism,These ads ran without a disclaimer,146739,1
106662402320800,Rakyat Beropini,Rakyat Beropini,146023,11
105444038030861,Thai Wah,These ads ran without a disclaimer,137231,2
107549925215373,Sahabat Ka Choe,These ads ran without a disclaimer,134387,1
164800207258203,SUARANTB.com,SUARANTB.com,131694,2
338109312883186,China Xinhua News,These ads ran without a disclaimer,130716,1
101157472699039,Lensa Lebak,Ganjar Nusantara Indonesia,130301,2
105050674724076,Golkar Kota Dumai,Golkar Kota Dumai,130000,2
489179047956298,Allwork.Space,These ads ran without a disclaimer,124582,1
2347169595501845,HouseJakarta.com,These ads ran without a disclaimer,123963,1
107378875547050,Sahabat Maria Chrisanti Bana,Maria Chrisanti Bana,123689,2
117277367909551,Indo Times,These ads ran without a disclaimer,122880,1
110698888374790,Weng88Property,These ads ran without a disclaimer,120447,1
102481892738495,Lanal Banten,Lanal Banten,120000,1
644915769288869,Daratkan,Daratkan,119692,12
102672669369785,Suara Akar Bawah,Suara Akar Bawah,118438,4
105162375779431,Bambang Dwijatmiko - BD For Senayan 2024,These ads ran without a disclaimer,117849,2
105113684736305,StreamsGallery,These ads ran without a disclaimer,117767,1
195487390483853,IPD Forum - Bahasa Indonesia,These ads ran without a disclaimer,117392,1
286167845362408,Amaliah Sobli S.KG,These ads ran without a disclaimer,117392,2
28312410177,World Food Programme,These ads ran without a disclaimer,117116,6
102576539089840,Novita Violeta Maramis,Jackson Iqbal De Hesselle,115823,2
352905798604161,Sahabat Ahmad Darwis,Sahabat Ahmad Darwis,114942,1
104843487722931,Portal Islam id,Portal Islam ID,114611,1
102109935792410,Amsal-amsal Salomo - Hikmah Tuhan untuk Kehidupan,These ads ran without a disclaimer,112256,1
102305531653467,Suara Perjuangan,Suara Perjuangan,111857,3
111499825105824,Jaringan Bisnis Muslim,These ads ran without a disclaimer,111142,4
108791055091382,"Ferdiansyah, SE",Ferdiansyah,110000,2
1452232881531908,UNICEF East Asia & Pacific,These ads ran without a disclaimer,109614,1
100634344801574,Gus Raharjo,Septian Raharjo,106478,1
168612046627985,KATADATA Indonesia,These ads ran without a disclaimer,105887,1
105930461325512,seminar_kesehatan2023,These ads ran without a disclaimer,105827,1
109516065386612,niamahesa,These ads ran without a disclaimer,105040,1
100181865018519,Jastip Bekasi Tambun,These ads ran without a disclaimer,104188,1
115398708122358,Sahat Parulian Tambunan,These ads ran without a disclaimer,103211,2
230952368296605,Khitan Lampung,These ads ran without a disclaimer,102968,1
104297619044779,Halo Depok,Ganjar Nusantara Indonesia,100000,1
105348782270164,Kontrol trenggalek,Ganjar Nusantara Indonesia,100000,1
101348296012080,Batu raya merangkul,Ganjar Nusantara Indonesia,100000,1
109071325223743,Lamongan satu,Ganjar Nusantara Indonesia,100000,1
109247435205581,Gresik berwarna,Ganjar Nusantara Indonesia,100000,1
104262792380394,Update jombang,Ganjar Nusantara Indonesia,100000,1
100184799462772,Update magetan,Ganjar Nusantara Indonesia,100000,1
103813185760502,Tulungagung cerah,Ganjar Nusantara Indonesia,100000,1
103778105764269,Rangkuman madiun raya,Ganjar Nusantara Indonesia,100000,1
111313231664204,Bersama Sukabumi,Ganjar Nusantara Indonesia,100000,1
100712919410182,Sidoarjo tersenyum,Ganjar Nusantara Indonesia,100000,1
100580589422621,Cahaya bojonegoro,Ganjar Nusantara Indonesia,100000,1
108368611961682,Pusat mojokerto,Ganjar Nusantara Indonesia,100000,1
110798661714362,Bandung Barat Bersuara,Ganjar Nusantara Indonesia,100000,1
103856925756142,Membaur surabaya raya,Ganjar Nusantara Indonesia,100000,1
105831108888060,Pasuruan bersama,Ganjar Nusantara Indonesia,100000,1
102342702575723,Lentera bangkalan,Ganjar Nusantara Indonesia,100000,1
104537159020412,Pangandaran Mendengar,Ganjar Nusantara Indonesia,100000,1
111345751661034,Sampang terhebat,Ganjar Nusantara Indonesia,100000,1
105533338917792,Pikiran Purwakarta,Ganjar Nusantara Indonesia,100000,1
110120475117865,Subang Berdiskusi,Ganjar Nusantara Indonesia,100000,1
110706065058871,Tentang Indramayu,Ganjar Nusantara Indonesia,100000,1
100820999398181,Melihat Cianjur,Ganjar Nusantara Indonesia,100000,1
105869408883391,Sumenep gembira,Ganjar Nusantara Indonesia,100000,1
102315419246267,Banjar Update,Ganjar Nusantara Indonesia,100000,1
106706392132350,Probolinggo info,Ganjar Nusantara Indonesia,100000,1
104865885651439,Suara Bekasi,Ganjar Nusantara Indonesia,100000,1
102292785914950,Idola pacitan,Ganjar Nusantara Indonesia,100000,1
104108629063055,Kediri bermakna,Ganjar Nusantara Indonesia,100000,1
109125065219055,Story Garut,Ganjar Nusantara Indonesia,100000,1
107126438755201,Mata situbondo,Ganjar Nusantara Indonesia,100000,1
104413062365657,Bogor Berargument,Ganjar Nusantara Indonesia,100000,1
112287718233835,Tuban terlihat,Ganjar Nusantara Indonesia,100000,1
105337025602786,Lumajang terpandang,Ganjar Nusantara Indonesia,100000,1
102185832591509,Bandung Raya Update,Ganjar Nusantara Indonesia,100000,1
110342845095083,Insting Majalengka,Ganjar Nusantara Indonesia,100000,1
106151352188226,Pamekasan cerah,Ganjar Nusantara Indonesia,100000,1
109933408468992,Intisari malang,Ganjar Nusantara Indonesia,100000,1
104446389029591,Tasikmalaya Pedia,Ganjar Nusantara Indonesia,100000,1
102465072563116,Pelindung bondowoso,Ganjar Nusantara Indonesia,100000,1
108526685278844,Warna warni blitar,Ganjar Nusantara Indonesia,100000,1
109984318465038,Ngawi keren,Ganjar Nusantara Indonesia,100000,1
106730535462607,Nilai nganjuk,Ganjar Nusantara Indonesia,100000,1
103394729135185,Cerita jember,Ganjar Nusantara Indonesia,100000,1
101467788192176,DPC TMP Asahan,DPC TMP Asahan,100000,1
103020259173359,Info Ciamis Terdepan,Ganjar Nusantara Indonesia,100000,1
101372009341896,Kata cirebon,Ganjar Nusantara Indonesia,100000,1
100982406049172,Cahaya Cimahi,Ganjar Nusantara Indonesia,100000,1
104756772331381,Discussion Sumedang,Ganjar Nusantara Indonesia,100000,1
105528572251003,Kuningan Opini,Ganjar Nusantara Indonesia,99994,1
108365135296345,Caption's Karawang,Ganjar Nusantara Indonesia,99542,1
104679361050541,seafood3putra,These ads ran without a disclaimer,97803,2
107977465625941,Medio Yulistio,These ads ran without a disclaimer,97064,1
106039172449976,Semesta,These ads ran without a disclaimer,97027,3
114285991645475,Ganjar Pranowo Presiden,These ads ran without a disclaimer,96646,1
1903557846575402,"Dominikus Okbertus Srikujam, S.Sos,M.Sos",Dominikus Okbertus Srikujam,95000,1
367381239359,Abah Qomar - Nurul Qomar,Abah Qomar - Nurul Qomar,94845,2
104563194242253,Enjoy Jateng,Bayu Wicaksono,94603,13
100547539698190,Kamisuto,These ads ran without a disclaimer,93420,1
156279764411149,Times Higher Education,These ads ran without a disclaimer,92295,3
115004494728289,Ali Ahbar,These ads ran without a disclaimer,91066,3
102565517862902,Rumah Digital Indonesia,These ads ran without a disclaimer,90917,3
173863123253591,Kang Kholis Malik,These ads ran without a disclaimer,90822,1
303339530017265,Huawei For Indonesia,Wonny Nur Rimba Utami,89997,3
119832869924688,WartaLampung.id,Ahmad Zaelani,89982,1
104987922529013,kevinlkusuma,These ads ran without a disclaimer,89911,1
175135209273073,Pace MS Komber,These ads ran without a disclaimer,89043,4
105038842018663,butlisten,These ads ran without a disclaimer,87163,1
311860525576814,Zest Hotel International,These ads ran without a disclaimer,87016,1
109569663928564,Stay with Prabowo,These ads ran without a disclaimer,85909,2
1062126860561994,B20,These ads ran without a disclaimer,84099,1
109738061991908,banglukman75,These ads ran without a disclaimer,83584,2
100585988812140,dyusniarman,These ads ran without a disclaimer,82049,1
100126279157126,yedinvan_alif,These ads ran without a disclaimer,81174,1
1268657973256272,Jakarta Islamic School,These ads ran without a disclaimer,80599,2
1825341730851080,"Ekti Imanuel, SH.,MM",These ads ran without a disclaimer,80256,3
110189224999168,We Love PPP Kota Palu,Moh Randi M,79999,4
110433734853186,Partai Buruh Exco Kab. Cirebon,Partai Buruh Exco Kab. Cirebon,79998,1
1891131687577468,Mohamad Machbub,Mohamad Machbub,79998,1
109635261356229,"Bornok Simanjuntak, SH, MH",Bornok Simanjuntak,79977,4
106296905452092,praktekdrgtessykartika,These ads ran without a disclaimer,79164,1
116043248133060,veda1801,These ads ran without a disclaimer,77033,1
170800756875453,Putra Production Yogyakarta,These ads ran without a disclaimer,76148,1
366284537137769,Muda Mahendrawan,These ads ran without a disclaimer,74916,1
110333278659387,Wahyudi,Wahyudi,73987,1
100155699310558,Willi Muchlisien,Willi Muchlisien,72189,1
203242799706913,Timbas Tarigan,These ads ran without a disclaimer,71854,1
108263714441795,MATU DERRY,These ads ran without a disclaimer,71259,1
115264664808019,NX POWER,These ads ran without a disclaimer,70288,1
1452855008355425,Partai Perindo Kota Malang,Partai Perindo Kota Malang,68465,1
102278846199342,pangrojongkangsaepul,These ads ran without a disclaimer,67354,1
109620658762463,Gerakan Muda,Syafira Firdayana,67300,1
102849411389238,Mola TV Movies,These ads ran without a disclaimer,67179,1
316323706189,Bisnis.com,These ads ran without a disclaimer,66965,1
1394278387367423,Langit Biru Podcast,Janur Ananda,65941,1
108488138840760,Reynold Kondar,These ads ran without a disclaimer,65723,2
102415047928145,Shanghai Electric,These ads ran without a disclaimer,65426,5
117503780118347,ACLC KPK,These ads ran without a disclaimer,64707,1
108323317964897,Bimbel BP,These ads ran without a disclaimer,64173,4
1661538023902236,Rockinvisual Indonesia,These ads ran without a disclaimer,63911,2
108890982014028,Eka Mulya Putra,These ads ran without a disclaimer,63429,2
408242866229668,Maurits Mantiri,These ads ran without a disclaimer,62093,1
116680078056981,olss_girls.education,These ads ran without a disclaimer,61766,1
122064391180645,Asian Development Bank Institute,These ads ran without a disclaimer,60414,1
285530825204,Klitschko,These ads ran without a disclaimer,60256,5
106253264560859,Air Kami,Air Kami,60000,3
113661907061512,"Farhana Mallawangan, SE",These ads ran without a disclaimer,59363,2
109409617545185,SMA MA Al-Muhajirin Purwakarta,These ads ran without a disclaimer,58309,2
293937480708088,Clement Hii,These ads ran without a disclaimer,57810,4
100155699310558,Willi Muchlisien,SIAK RUMAH KITA,57776,4
2207240609524770,Andre Prasetyo Tanta,These ads ran without a disclaimer,57080,1
107856085543679,Pro Patria Pro Ganjar - Sekretariat NTB,These ads ran without a disclaimer,56228,2
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,55497,3
100226310084172,University of Reading,These ads ran without a disclaimer,55377,3
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,53266,7
214697158909990,Huawei Digital Power,These ads ran without a disclaimer,51946,1
40747989917,WALHI,These ads ran without a disclaimer,51754,1
393676307712944,Alfedri,Drs H Alfedri MSi,50000,1
100879728277263,100 Juta Like Fans Berat Jokowi-Ahok,H. Dimjati,49999,1
108211978653996,Quran Taqwa Foundation,These ads ran without a disclaimer,49823,1
112689601817791,Faizal Rachman,These ads ran without a disclaimer,49104,3
112365180213139,Kampus Langit,These ads ran without a disclaimer,48105,1
106256777922958,SEA Today News,These ads ran without a disclaimer,47121,4
102053215914541,I Gede Ngurah Eka,These ads ran without a disclaimer,45570,1
109337631355835,Beta Kawan Awang,These ads ran without a disclaimer,44969,1
163644961068352,Muhammad Widad,These ads ran without a disclaimer,44500,1
104332505838334,Awang Notoprawiro II,These ads ran without a disclaimer,44488,1
115898211415578,sidikpramono20,These ads ran without a disclaimer,44286,1
222338775095198,Baraya Kang Udi,These ads ran without a disclaimer,44264,3
427648547297783,Hasan Ismaik - حسن إسميك,These ads ran without a disclaimer,44022,4
617101088690380,Dr. Harris Turino for NKRI,These ads ran without a disclaimer,43401,1
1911415915749241,Abdullah Abu Bakar - Mas Abu,These ads ran without a disclaimer,43057,1
110192468241688,Rumah Subsidi oleh Taman Asri Group,These ads ran without a disclaimer,43019,1
907441676013650,Yayasan Dharma Bhakti Astra,These ads ran without a disclaimer,41526,1
111287201947034,Srikandi Demokrat Situbondo,Janur Ananda,41206,1
109426892062900,rasyidh03,These ads ran without a disclaimer,41052,1
108574458173387,Pemerintah Provinsi Sulawesi Tengah,These ads ran without a disclaimer,40513,3
108807418502504,White Windmills on the Aegean Coast,These ads ran without a disclaimer,40207,1
345891679488462,Chairul Anwar,Fauzi Hermansyah,39999,1
982367558511350,Mattewakkan,These ads ran without a disclaimer,39444,1
565225540184937,CGTN,These ads ran without a disclaimer,39324,5
633246560165629,Fujifilm Global,These ads ran without a disclaimer,39269,1
983135718420987,Visit Jiangsu,These ads ran without a disclaimer,39256,1
100616339429546,fabriek.badjoe,These ads ran without a disclaimer,38667,1
107774578474560,Bro Erko,These ads ran without a disclaimer,38365,1
197545083607941,Harian Kompas,These ads ran without a disclaimer,37460,1
120351620997535,FPS For Parlemen Sulut 2024,These ads ran without a disclaimer,37302,1
112617448344379,Iman Firmansyah Official,These ads ran without a disclaimer,37094,1
159036574117298,Ushvani Day Spa,These ads ran without a disclaimer,36918,1
152522308527970,Yayasan Sahabat Al-Qur'an,These ads ran without a disclaimer,36918,1
110750361762052,Pikiran Rakyat,These ads ran without a disclaimer,36680,3
100979618530429,mentari_covid19,These ads ran without a disclaimer,36576,1
105130779087864,Antony Hylton,These ads ran without a disclaimer,35225,2
101620178338881,Garuda TV,These ads ran without a disclaimer,35217,1
1885882304988666,Muhammad Anas Muttaqin,Muhammad Anas Muttaqin,35036,2
395997657147730,صحيفة الشعب اليومية أونلاين بالعربية,These ads ran without a disclaimer,33750,1
462045357217096,"Kimton, SM - DPRD Kota Medan 2024",These ads ran without a disclaimer,33258,1
160368511216287,FrieslandCampina Careers,These ads ran without a disclaimer,32396,1
103946998591896,bimbelakses_jogja,These ads ran without a disclaimer,32199,1
119383101124011,repern,These ads ran without a disclaimer,31353,1
146822255731958,Fast Travel Games,These ads ran without a disclaimer,30882,1
315543515306,Jing Daily,These ads ran without a disclaimer,30375,1
101765599559892,yaelahlif,These ads ran without a disclaimer,30054,1
100609976121893,diengzone_,These ads ran without a disclaimer,29484,1
273302691168,Fajar gegana,These ads ran without a disclaimer,29402,1
106615352099209,maritimes_crimes,These ads ran without a disclaimer,29348,1
154680184946903,Superplastic,These ads ran without a disclaimer,29348,1
118562497812908,People's Daily Online_BM,These ads ran without a disclaimer,29348,2
110463704610731,Cute Kiwi,These ads ran without a disclaimer,29348,6
198802866938396,Opple Lighting,These ads ran without a disclaimer,29348,1
106020838076592,Tanah Kapling,These ads ran without a disclaimer,29197,1
139336407890,"StellarNet, Inc.",These ads ran without a disclaimer,29054,1
1916642798597693,Prokopim Setda Ketapang,These ads ran without a disclaimer,28998,1
171522852874952,Juventus,These ads ran without a disclaimer,28994,1
218560423517893,the.nitik,These ads ran without a disclaimer,28466,1
112472298504116,Pangrojong kang epul,These ads ran without a disclaimer,28245,1
104771088115349,RMOL Network,Perdana Wahyu Jatmiko,28000,1
293205499138713,Forum Terkini News,These ads ran without a disclaimer,27926,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,27880,48
100769345853089,astra.infra,These ads ran without a disclaimer,27658,1
119073864492531,Saudara FR,These ads ran without a disclaimer,27381,1
104780860985148,AJF ABADI JAYA Furniture,These ads ran without a disclaimer,26706,1
915454735170764,Tani Comfort,These ads ran without a disclaimer,26170,1
142440189265081,Dinas Lingkungan Hidup Jawa Barat,These ads ran without a disclaimer,25591,1
131664893560695,Origins OSU,These ads ran without a disclaimer,25533,2
107666594003366,BQ Islamic Boarding School,These ads ran without a disclaimer,25328,1
111076108633569,Angga Ferdianto Kumolontang,These ads ran without a disclaimer,25183,1
405199520209766,The Belt and Road News Network,These ads ran without a disclaimer,24946,1
100765764897120,Azhar Arsyad,These ads ran without a disclaimer,24547,1
280516985394854,Kabar Gereja Yesus Kristus dari Orang-Orang Suci Zaman Akhir,These ads ran without a disclaimer,24359,1
102087832820033,readyby,These ads ran without a disclaimer,23549,1
114113221595465,SatuViral,These ads ran without a disclaimer,23404,1
1014581548669815,MasWaras,These ads ran without a disclaimer,23334,1
1705249126357753,Gellori Screen Printing,These ads ran without a disclaimer,22482,1
103326671056341,Lowokwaru Bangkit,These ads ran without a disclaimer,22134,1
105046366700031,Info Yunik,These ads ran without a disclaimer,22051,1
106662402320800,Rakyat Beropini,These ads ran without a disclaimer,21725,2
102332655592625,BidikNews24.com,BidikNews24.com,21341,5
109389942108626,syahrul_beddu,These ads ran without a disclaimer,21335,1
103013484811323,Jangan Lupa Sejarah,These ads ran without a disclaimer,21093,1
218228558196506,Tiket.com,These ads ran without a disclaimer,20889,1
111991224887757,Andi Muzakkir Aqil,INSIDE,20773,1
2089209467825385,Arie Septia Adinata,These ads ran without a disclaimer,20612,1
223977261292988,PKS Klaten,These ads ran without a disclaimer,20503,1
100769012776712,elanuranefesol,These ads ran without a disclaimer,20400,4
111067505107541,Japan-ASEAN Integration Fund,These ads ran without a disclaimer,20380,1
112289955044276,Infopaser.id,Infopaser.id,20000,1
112238463479620,Fajar gegana,These ads ran without a disclaimer,20000,1
603322783397850,Gus Ali Ahmad,Muhammad Anas Muttaqin,20000,1
112058958479405,apahabar Jakarta,These ads ran without a disclaimer,20000,1
361164327681144,Radar Nusantara,These ads ran without a disclaimer,20000,1
108552765129669,Asik-asik,These ads ran without a disclaimer,19974,1
1273032926173618,DPC PDI Perjuangan Kota Manado,Jerry Joseph Taulu,19910,3
100923925159137,Voice,These ads ran without a disclaimer,19627,1
115494050282397,Bio Healing Therapy,These ads ran without a disclaimer,18956,6
1814331908795344,DDTCNews,These ads ran without a disclaimer,18768,2
111616445232472,steelhorse_uk,These ads ran without a disclaimer,18459,1
192844937480061,The Third Pole,These ads ran without a disclaimer,18459,1
108538181516294,ISC Research,These ads ran without a disclaimer,18459,1
2092924957605425,Solis,These ads ran without a disclaimer,18196,1
100414042188357,Fendy Pratama,Fendy Pratama,18058,1
1910290179098603,DJPEN Kementerian Perdagangan,These ads ran without a disclaimer,18018,1
103326711651955,PT Medialab Indonesia,These ads ran without a disclaimer,18009,2
100968752804098,Arwenda Prameswari,These ads ran without a disclaimer,17717,1
101648062902269,Emerentiana Ping bayau,These ads ran without a disclaimer,17644,1
122610304898,Science Centre Singapore,These ads ran without a disclaimer,16617,2
175846072821088,十方視角,These ads ran without a disclaimer,16207,1
102688189181011,Immunify.Life,These ads ran without a disclaimer,16198,3
114377231459289,Dr. Ruth Lopes & SergiMedics AB,These ads ran without a disclaimer,16021,1
108372785079761,Ida Yulita Susanti,These ads ran without a disclaimer,16000,1
120576854292201,Abdul Muis Syam,These ads ran without a disclaimer,15938,1
111342171694193,Cessa Car,These ads ran without a disclaimer,15606,4
435622873710513,univ.karyadarmakpg,These ads ran without a disclaimer,15393,1
118619754438467,Arfizal Anwar,These ads ran without a disclaimer,15253,1
110513395219879,坂本誠,These ads ran without a disclaimer,15211,1
1590142214577386,Intsiawati Ayus,These ads ran without a disclaimer,14742,2
104581267611148,giftinside.id,These ads ran without a disclaimer,14684,1
110650694777785,restiapriw,These ads ran without a disclaimer,14674,1
110879028591764,CIFOR-ICRAF,These ads ran without a disclaimer,14674,2
151808344940167,Jevpic Productions,These ads ran without a disclaimer,14674,1
102205436049206,chasecassine,These ads ran without a disclaimer,14674,1
106170661628518,香港V,These ads ran without a disclaimer,14674,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,14674,6
31235346489,DJ Lionpaw,These ads ran without a disclaimer,14674,1
490469407792174,Partidu Libertasaun Popular - PLP,These ads ran without a disclaimer,14674,2
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,14674,1
103394522684172,,These ads ran without a disclaimer,14674,2
108253425576014,Ama Stef. Mira Mangngi,These ads ran without a disclaimer,14102,1
107022925652110,abangmpokbekasi,These ads ran without a disclaimer,14080,1
821430017924241,Sungrow,These ads ran without a disclaimer,13940,3
414568835776123,Sewa Tenda Roders,These ads ran without a disclaimer,13849,1
110195418669687,Sahabat Yatim,These ads ran without a disclaimer,13806,2
287842647957979,EU International Partnerships,These ads ran without a disclaimer,13768,1
110656720618507,ikhsanfajrin,These ads ran without a disclaimer,13768,1
1924315711129121,kumparan,kumparan,13497,13
573559656375819,Shirvano Consulting,These ads ran without a disclaimer,12913,1
100376423033657,Hengky Irawan,These ads ran without a disclaimer,12907,1
109292782081820,Duadigits Present,These ads ran without a disclaimer,12497,1
114950191561562,Panyili Printing Kendari,These ads ran without a disclaimer,12228,1
103089332689511,BRANI-Barisan Airlangga Untuk Indonesia,Robby Binur,12079,1
108140278923803,Ksp Mandiri,These ads ran without a disclaimer,11842,1
131189377574,MDPI,These ads ran without a disclaimer,11525,1
108335290903100,MITRA TANI Slogohimo,These ads ran without a disclaimer,11522,1
340577086006224,CRI German,These ads ran without a disclaimer,11446,1
1524796867736498,ADA APA,These ads ran without a disclaimer,11250,1
229204470946342,Voertaal,These ads ran without a disclaimer,11230,1
103213418869168,mensfolio,These ads ran without a disclaimer,11005,1
107979228846117,Gigi Bird,These ads ran without a disclaimer,10970,1
279870685422915,Eviance,These ads ran without a disclaimer,10827,1
984203991753488,Research Outreach,These ads ran without a disclaimer,10522,1
102374509356327,Alam Terindah Lestari,These ads ran without a disclaimer,10166,1
488872541655552,Akmal Akmadi,These ads ran without a disclaimer,10155,1
104157751709648,Chery Motor Indonesia,These ads ran without a disclaimer,10024,1
110268914570587,budiardi_8,These ads ran without a disclaimer,10012,1
111963891815048,Sallih Fahri For Serabi Timur,These ads ran without a disclaimer,9947,1
108157361978564,Eternal Fire Sacred Earth Conscious Clothing,These ads ran without a disclaimer,9709,1
1570975959815201,PANJI Tabanan,"Anak Agung Ngurah Panji Astika, ST",9672,2
847034142012155,Bank Indonesia,These ads ran without a disclaimer,9605,1
107503268982664,Hong Zhuan Palace,These ads ran without a disclaimer,9568,1
102265096099887,Sobat Kang Yunandar Perwira,sky_perwira,9118,1
112191631585976,sofialeal____,These ads ran without a disclaimer,8793,1
108106972000348,URECA,These ads ran without a disclaimer,8658,1
1643211482432270,Handi Hardiansyah,Handi Hardiansyah,8378,1
368913796888098,Agung Tri Putra,These ads ran without a disclaimer,8291,1
110946718169672,Militan Partai BURUH,These ads ran without a disclaimer,8056,1
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,7937,3
1341588385976704,Niken Tia Tantina,These ads ran without a disclaimer,7930,1
101763776204336,Fera Yuniart,These ads ran without a disclaimer,7726,1
1243588015766971,Michael Jhon Yarisetouw,These ads ran without a disclaimer,7589,1
105376954960797,PUPUK PATEN,These ads ran without a disclaimer,7567,1
104641175915549,KL Best Property Deals,These ads ran without a disclaimer,7102,1
106358045060016,Dini Widiastuti,These ads ran without a disclaimer,7046,1
520171088019503,Liforme,These ads ran without a disclaimer,6897,1
107405141962799,Call Us Monyet,These ads ran without a disclaimer,6814,1
115561911500844,Al-Madinah Peduli Sesama,Ariya Rofid Hariyanto,6797,1
102530545236753,felix.soesanto,These ads ran without a disclaimer,6766,1
104046692525365,abulyatama.indonesia,These ads ran without a disclaimer,6610,1
277374024108425,International Admission Office-Xi’an Jiaotong University,These ads ran without a disclaimer,6602,1
385822541529169,Kementerian Pekerjaan Umum dan Perumahan Rakyat RI,These ads ran without a disclaimer,6531,1
102553519328274,Sahabat Firdaus Noezula,These ads ran without a disclaimer,6529,1
354397697217,IEEE Xplore,These ads ran without a disclaimer,6163,1
17973644177,Global Peace Foundation,These ads ran without a disclaimer,6163,2
429957570419097,Professor Israel,These ads ran without a disclaimer,5833,1
345840486219924,Energy China,These ads ran without a disclaimer,5723,1
110074622072959,Reglow Your Beauty,These ads ran without a disclaimer,5521,1
115693791505455,岛屿农场游戏,These ads ran without a disclaimer,5283,2
158683991465603,Anidar Wisata Persada,These ads ran without a disclaimer,5238,1
104397305143528,Neko Maru Design Ads สาขา 7,These ads ran without a disclaimer,5151,1
338724923216596,Astrolog Işıl Nolan,These ads ran without a disclaimer,4859,1
112393176137285,Indra Catri,These ads ran without a disclaimer,4798,3
2046452302292477,Kawan H. Nuruddin Amin,These ads ran without a disclaimer,4783,1
105376242469300,,These ads ran without a disclaimer,4748,1
194781790600017,Hijab Meryam,These ads ran without a disclaimer,4582,1
105125831205687,Rumah Yatim Piatu dan Dhuafa Al hikmah,These ads ran without a disclaimer,4369,1
114162664949624,Leosambud Shop,These ads ran without a disclaimer,4338,6
103997142547258,和合文化全球论坛 Hehe Culture Global Forum,These ads ran without a disclaimer,4246,1
112401325091319,Barung ART Studio,These ads ran without a disclaimer,4129,2
111334178617506,English Teachers' Tree Hole,These ads ran without a disclaimer,3817,1
102359519358953,benreggi,These ads ran without a disclaimer,3749,1
116613291394584,Spendi W,These ads ran without a disclaimer,3581,1
117937307931673,schinriaart,These ads ran without a disclaimer,3522,2
111506334775197,Cherryfields Children’s Home,These ads ran without a disclaimer,3398,1
749827318378462,Versa Design Printing,These ads ran without a disclaimer,3362,1
105799345810647,viradef.id,These ads ran without a disclaimer,3280,1
376224865747238,Servier,These ads ran without a disclaimer,3240,1
105963665254430,魅力台州 Charm of Taizhou,These ads ran without a disclaimer,3099,1
1678013235823698,Komunitas Kibar Indonesia,These ads ran without a disclaimer,3038,1
102017675943520,Veronica Silva Guedes,These ads ran without a disclaimer,2931,1
110705718569609,"Dominikus Okbertus Srikujam,S.Sos,M.Sos",These ads ran without a disclaimer,2844,1
119775841095546,ashari_gpnd,These ads ran without a disclaimer,2838,1
450131485341745,Future Energy Asia,These ads ran without a disclaimer,2718,1
100153073030007,pdiperjuangan.manado,These ads ran without a disclaimer,2716,1
176017608539,National University of Singapore,These ads ran without a disclaimer,2641,1
731046070564929,Informasi dan Komunikasi PMK,These ads ran without a disclaimer,2634,1
117023901352521,the_alyanch,These ads ran without a disclaimer,2380,2
100044401420505,,These ads ran without a disclaimer,2302,1
182715921890493,Fi Global - Food ingredients Global Portfolio,These ads ran without a disclaimer,2268,3
150793518281117,Covestro,These ads ran without a disclaimer,1944,3
421002731270405,swisspeace,These ads ran without a disclaimer,1807,1
417235025304279,Sumber Rezeki Books Store,These ads ran without a disclaimer,1788,1
118040991236173,NKRIPapuaku,These ads ran without a disclaimer,1765,1
333141140132864,China.org.cn,These ads ran without a disclaimer,1761,1
112973765062222,Ridha Dharmajaya,These ads ran without a disclaimer,1674,1
19746387261,Humane Society International,These ads ran without a disclaimer,1614,1
577078926016841,Tintenra Shop,These ads ran without a disclaimer,1519,1
110697875316729,r2s_signature.weddings,These ads ran without a disclaimer,1435,1
72149536933,SKF,These ads ran without a disclaimer,1432,3
109501468706093,Choki,These ads ran without a disclaimer,1349,1
159891511295284,Sahabat Azhari Buton Tengah,These ads ran without a disclaimer,1326,1
101054365776547,Charming Changzhou,These ads ran without a disclaimer,1321,1
248242682390831,IMA MAHDIAH,Bayu Wicaksono,1250,1
134331253305084,ITI International Team for Implantology,These ads ran without a disclaimer,1152,1
101404409466744,Belnestore Sustentable,These ads ran without a disclaimer,1080,1
106763262211682,Idriss Adoum Idriss,These ads ran without a disclaimer,1027,1
1606155556168996,Si Amo Afrin,These ads ran without a disclaimer,880,1
