Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,424266,87
106136394376777,Idan Yakov,Rama Yarimi,234111,412
103907495935157,צו חירום,צו חירום,126442,50
104743111658191,Ron Ben Shushan,רון בן שושן,118761,31
604890186681585,מור ויצמן,Mor Weitzman,48410,86
102548956115520,תקומה 23 - להיות עם יהודי בארצנו,תורת לחימה,48185,55
121179420924897,המשאל של ישראל,הביתה,37555,35
113172981678041,הביתה,הביתה,28113,40
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",26654,194
116563891775107,עיריית פתח תקווה,עיריית פתח תקוה,26198,81
325048350950892,רמי גרינברג,עיריית פתח תקוה,24694,60
114777898543659,Docaviv דוקאביב,Docaviv,24403,20
204780362875106,מקור ראשון,מקור ראשון,23059,131
256244498134186,אגף הביטחון - משרד ראש הממשלה,אגף הביטחון - משרד ראש הממשלה,22735,4
655073717925481,קרן ברל כצנלסון,קרן ברל כצנלסון,21827,112
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,20908,82
279345532129864,ההסתדרות הציונית העולמית,ההסתדרות הציונית העולמית,20432,49
203379449685023,לוחמים לשלום,לוחמים לשלום,18483,19
849824028408565,תנועת אם תרצו,תנועת אם תרצו,18367,49
210968782252395,פתחון לב,פתחון לב,17659,102
172654247853282,Shenhav musanbar,Shenhav Musanbar,17394,46
256546887847232,עיריית רמת גן,עיריית רמת גן,16682,20
103851895179872,אמהות לביאות,Nataly Milner,16081,4
100230935579742,מתחת לרדאר,מתחת לרדאר,16000,6
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,15550,16
1432282697015880,הסתדרות הפועל המזרחי,הסתדרות הפועל המזרחי,14988,20
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,14769,35
175285029214345,הציונות הדתית,ציונות דתית,13683,18
199381213757428,שי קינן - shai keinan,שי קינן - shai keinan,13586,17
1073548259341247,לובי 99,לובי 99,13316,4
100900832922166,אחים לנשק-לוחמים ולוחמות במסע להצלת הדמוקרטיה,Michal Even,13124,21
106057988971053,אלי כהן - Eli Cohen,אלי כהן - Eli Cohen,12347,42
119995701391029,בית בן-גוריון בתל אביב,בית בן גוריון,12032,36
108037760571199,הקונגרס הישראלי,הקונגרס הישראלי,11862,65
814204852123809,"תורת לחימה - למען צה""ל",תורת לחימה,11807,6
268108602075,Benjamin Netanyahu - בנימין נתניהו,מפלגת הליכוד,11611,3
57400032655,קבלה לעם,"בני ברוך קבלה לעם ע""ר",11557,35
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",11452,23
1099335593559205,כנס החירות FreedomCon,THE OBJECTIVIST FREEDOM CENTER LTD. (CC),11371,60
444832565529651,המכון הישראלי לדמוקרטיה,המכון הישראלי לדמוקרטיה,11178,77
114355804884727,רונן דגמי לראשות המועצה האזורית יואב,digibird,11066,15
271404389601060,Yaakov Hagoel - יעקב חגואל,Yaakov Hagoel - יעקב חגואל,10874,35
153664638161877,מתן דיל- Matan Dil,מתן דיל,10194,23
109523830757998,דמוקרטtv,דרכנו,10010,14
178433145502975,Avigdor Liberman - אביגדור ליברמן,ישראל ביתנו,9846,33
110917020553426,Ari Shavit - ארי שביט,Ari Shavit - ארי שביט,9833,28
115028251920872,זהבה גלאון Zehava Galon,צו חירום,9406,28
977353718949028,מיקי זוהר-  Micki Zohar,ח״כ מיקי זוהר  Micki Zohar,9386,6
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,8943,18
128641160502301,גלובס - Globes,גלובס - Globes,8861,5
377161539406940,רפי סער,רפי סער,8838,36
190032861033009,השומר החדש,השומר החדש,8767,7
137449656335533,Amnesty International Israel,Amnesty International Israel,8757,118
936130799779065,עו״ד אלברט טייב בשביל הכפר,עו״ד אלברט טייב בשביל הכפר,8568,16
662721113760589,TheMarker Labels,TheMarker Labels,8124,13
116194014677604,עופר סלע. ממשיכים את התנופה ביואב,Ofer Sela,7607,11
303720457847,לשכת רואי חשבון בישראל,לשכת רואי חשבון בישראל,7527,17
114429471587565,"יפעת עובדיה לוסקי - יו""ר קק""ל",קרן קימת לישראל,7522,8
1392138171047822,"ארגון נכי צה""ל","ארגון נכי צה""ל",7442,8
134252303927914,Майкл Мур - מייקל מור,Майкл Мур - מייקל מור,7374,24
113410581644966,אורית גוטמן,אורית גוטמן,7329,109
104222621115858,הביטחוניסטים,הביטחוניסטים,7221,21
1514952655390958,משרד תומר ורשה - עורכי דין • הגירה והסדרת מעמד • אשרות בישראל • זכויות אדם,"משרד עו""ד תומר ורשה",7198,18
562900707171914,ליעד אילני לראשות עיריית רמת-גן,סיעת רמת-גן שלנו,7100,12
536794249813012,תומר גלאם - Tomer Glam,עיריית אשקלון,7034,28
767262423350854,פורום הדיור הציבורי,Danny Gigi,7031,15
371986449521679,הקרן למורשת הכותל המערבי,Tal Sanderoni,6908,127
263132347056967,BINA: The Jewish Movement for Social Change,Yishay Sayag,6866,15
159416337497662,Nir Barkat - ניר ברקת,NIr Barkat,6622,17
219256864871723,Lea Fadida לאה פדידה,Lea Fadida לאה פדידה,6521,42
105907482438233,שלומית שיחור רייכמן לראשות מ.א. עמק יזרעאל,שלומית שיחור רייכמן,6467,15
429184557235927,בצלאל סמוטריץ',בצלאל סמוטריץ,6420,38
219091481560790,מרים פיירברג - איכר,נתניה אחת,6384,28
111177802287614,Begin Center | מרכז מורשת מנחם בגין,Begin Center | מרכז מורשת מנחם בגין,6363,29
500238833397356,ציפי ברנד,ציפי ברנד,6298,22
