Page ID,Page name,Disclaimer,Amount spent (XAF),Number of ads in Library
663561770504877,SoluEtude Brazzaville & Pointe Noire,These ads ran without a disclaimer,270262,1
110122358477613,TRT Afrika Français,These ads ran without a disclaimer,11036,1
111096161892488,New World : La célébrité,These ads ran without a disclaimer,2971,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,2545,2
105706142445358,"Ma santé, Ma Priorité",These ads ran without a disclaimer,2377,1
881675718576355,VIP Diffusion Presse,These ads ran without a disclaimer,1968,3
1623731087898826,"Tudilu Eventos,Royal & Petroleum",These ads ran without a disclaimer,1462,2
155174084508744,Banque mondiale,These ads ran without a disclaimer,1391,5
101344784921723,messibatint,These ads ran without a disclaimer,1312,1
370593446733873,Ndembomag,These ads ran without a disclaimer,794,1
1840617676028308,MC Max 大力,These ads ran without a disclaimer,656,1
371227786709544,Refund Express LLC,These ads ran without a disclaimer,594,1
109038485497626,Joysmi tv,These ads ran without a disclaimer,531,1
117601104550544,Brazzaville International Leadership Youth Forum-BILYF,These ads ran without a disclaimer,438,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,394,4
101398472856147,Offre d'emploi,These ads ran without a disclaimer,244,1
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,226,2
109992798294853,Good View Hunting,These ads ran without a disclaimer,172,2
102415047928145,Shanghai Electric,These ads ran without a disclaimer,151,5
983135718420987,Visit Jiangsu,These ads ran without a disclaimer,149,1
28312410177,World Food Programme,These ads ran without a disclaimer,105,6
109504592077849,AK-prod,These ads ran without a disclaimer,≤100,1
181206425370207,Vivien Patrice Lloyd Amos Makaga Péa,These ads ran without a disclaimer,≤100,1
110861658082667,Planet One,These ads ran without a disclaimer,≤100,1
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,2
112314738439063,Hon Elisha Matambo,These ads ran without a disclaimer,≤100,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,1
110980888642151,Twibbon April,These ads ran without a disclaimer,≤100,5
429957570419097,Professor Israel,These ads ran without a disclaimer,≤100,1
109181011928509,Vivian Nwakaego Onuigbo,These ads ran without a disclaimer,≤100,1
1807507359273674,West African Tax Administration Forum,These ads ran without a disclaimer,≤100,1
426799224176976,Ebenezer is Marketing,These ads ran without a disclaimer,≤100,1
133945616646913,RioOnWatch.org,These ads ran without a disclaimer,≤100,2
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,≤100,1
405199520209766,The Belt and Road News Network,These ads ran without a disclaimer,≤100,1
1655478897929127,Ladies Social Network,These ads ran without a disclaimer,≤100,1
1065252286883009,Makur Majeng,These ads ran without a disclaimer,≤100,1
293937480708088,Clement Hii,These ads ran without a disclaimer,≤100,1
171522852874952,Juventus,These ads ran without a disclaimer,≤100,1
395997657147730,صحيفة الشعب اليومية أونلاين بالعربية,These ads ran without a disclaimer,≤100,1
104151925811127,Mario Cartaya,These ads ran without a disclaimer,≤100,1
108061471650955,SoluTec,These ads ran without a disclaimer,≤100,3
8539814909,International Animal Rescue,These ads ran without a disclaimer,≤100,1
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100,2
105958935270880,Ignitation DNA Motivation,These ads ran without a disclaimer,≤100,2
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,1
316496640057,7iber,These ads ran without a disclaimer,≤100,1
101612816067577,X24 Afrika,These ads ran without a disclaimer,≤100,1
1684724295099974,Trending Taiwan潮台灣,These ads ran without a disclaimer,≤100,1
427648547297783,Hasan Ismaik - حسن إسميك,These ads ran without a disclaimer,≤100,3
153371894688575,World Bank,These ads ran without a disclaimer,≤100,1
1359136157453700,Bere Ramos,These ads ran without a disclaimer,≤100,1
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
343786409509707,The East Gate,These ads ran without a disclaimer,≤100,1
146947445351555,مركز الفكر الاستراتيجي للدراسات,These ads ran without a disclaimer,≤100,1
172630432773629,UCA News,These ads ran without a disclaimer,≤100,1
