Page ID,Page name,Disclaimer,Amount spent (HTG),Number of ads in Library
103119027899256,Caribbean Climate-Smart Accelerator,These ads ran without a disclaimer,9275,1
744157752428507,United Haiti,These ads ran without a disclaimer,1985,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1541,2
113850851219092,China Chat,These ads ran without a disclaimer,763,1
681614015247190,Caribbean National Weekly,These ads ran without a disclaimer,656,8
115812288156168,Edem kite Ayiti sove lavim tanpri.,These ads ran without a disclaimer,611,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,518,4
100760298338742,Medyapa'w,These ads ran without a disclaimer,458,1
155174084508744,Banque mondiale,These ads ran without a disclaimer,350,6
438651852841000,COLEAD.link,These ads ran without a disclaimer,337,1
120547992894380,nmrigaud,These ads ran without a disclaimer,305,1
133945616646913,RioOnWatch.org,These ads ran without a disclaimer,272,2
103607555996001,j_deniro,These ads ran without a disclaimer,220,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,169,1
171522852874952,Juventus,These ads ran without a disclaimer,169,1
178041726995063,blacwater_lee,These ads ran without a disclaimer,153,2
241664783089008,Xin,These ads ran without a disclaimer,153,3
371227786709544,Refund Express LLC,These ads ran without a disclaimer,153,1
101016751419178,ministerzay,These ads ran without a disclaimer,153,1
111254080238119,ZenLyfe,These ads ran without a disclaimer,153,1
106313092408190,Michelle Jota VBE,These ads ran without a disclaimer,128,3
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,104,3
102415047928145,Shanghai Electric,These ads ran without a disclaimer,101,5
107967534815674,Vahid immigration Canadian,These ads ran without a disclaimer,≤100,1
101023909605973,IIMoadi,These ads ran without a disclaimer,≤100,4
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,15
354397697217,IEEE Xplore,These ads ran without a disclaimer,≤100,1
772854679419443,Karl Roussel,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,5
102300279228311,MadeinChina,These ads ran without a disclaimer,≤100,1
1580082582270698,General Auditing Commission,These ads ran without a disclaimer,≤100,1
983135718420987,Visit Jiangsu,These ads ran without a disclaimer,≤100,1
154680184946903,Superplastic,These ads ran without a disclaimer,≤100,1
101054365776547,Charming Changzhou,These ads ran without a disclaimer,≤100,1
100490729492964,Sebastian Bello,These ads ran without a disclaimer,≤100,24
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,8
173529603456986,Claudy Bastien,These ads ran without a disclaimer,≤100,1
429957570419097,Professor Israel,These ads ran without a disclaimer,≤100,1
101289218907718,Web News,These ads ran without a disclaimer,≤100,2
365038286972781,Jubileosuramericas,These ads ran without a disclaimer,≤100,1
1286486861452393,Asia World Model United Nations,These ads ran without a disclaimer,≤100,1
110980888642151,Twibbon April,These ads ran without a disclaimer,≤100,5
105958935270880,Ignitation DNA Motivation,These ads ran without a disclaimer,≤100,2
1498021203828633,Poder Geopolítico,These ads ran without a disclaimer,≤100,1
426799224176976,Ebenezer is Marketing,These ads ran without a disclaimer,≤100,1
107853262147319,Washington003,These ads ran without a disclaimer,≤100,1
104444237650160,برنامج مع الرئيس,These ads ran without a disclaimer,≤100,1
102998939765184,Persian bms,These ads ran without a disclaimer,≤100,1
114184975000819,Unexplained Beasts,These ads ran without a disclaimer,≤100,1
113371165037158,Wsp34,These ads ran without a disclaimer,≤100,1
1642929092406128,Knowable Magazine,These ads ran without a disclaimer,≤100,1
102491502776287,Nancy Proxy,These ads ran without a disclaimer,≤100,1
104151925811127,Mario Cartaya,These ads ran without a disclaimer,≤100,1
109916775214130,JY Vacation 926,These ads ran without a disclaimer,≤100,1
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,3
423609701387941,Peachbruh,These ads ran without a disclaimer,≤100,2
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
