Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
106881235709437,Kıvanç Çetinkaya - Deva Partisi,Kıvanç Çetinkaya,2917,3
2295613834046230,İşçinin Kendi Partisi,Pinar Erol Pur,2910,9
1435320236741754,Üsküdar Kültür Sanat,These ads ran without a disclaimer,2907,1
220319391464566,Vahap Akay,Utku Yilmaz,2905,5
101153892971560,Fatih Bahattin Cantürk,Fatih Bahattin Cantürk,2898,4
346006742126033,Bornova Belediyesi,Bornova Belediyesi,2866,19
1382994178639723,AK Parti Rize İl Başkanlığı,AK Parti Rize İl Başkanlığı,2856,2
106069795796596,Ali Acar,Ali Acar,2855,5
190217144502606,Av. Sinan Tekin,Sinan Tekin,2834,6
103421122698907,Daaas,These ads ran without a disclaimer,2820,3
365143460306115,Şerafettin Kılıç,Saadet Partisi,2816,4
102191762736431,Murat Toycan Selçuk,Digivizyon Reklamcılık,2800,2
110728302013791,Memleket Partisi Yalova Milletvekili Adayı Ertan Şener,Ertan Şener,2755,11
236386023080287,Fatih Aydın,Fatih Aydın,2720,11
108223931642561,SamsunE-dergi,Samsun E Dergi,2719,4
118738861159955,Ömer Keskin,Ömer Keskin,2667,4
110734265223274,Av. Dr. Veli Böke,avdrveliboke,2661,3
1411702415710467,Zekai Kaya,Zekai Kaya,2635,23
121585317548122,Makbule Dal,Makbule Dal,2629,6
107391181880678,Uzm. Dr. İrfan Karatutlu,Uzm. Dr. İrfan Karatutlu,2625,4
119819051082863,Ümit Faruk Yenici,Ümit Faruk Yenici,2619,4
108386155559989,Doç.Dr.Oğuz Kurdoğlu - CHP Artvin Milletvekili Adayı,Oğuz Kurdğlu,2579,11
100147956293561,Düzcenin Evladı,Düzcenin Evladı,2552,7
103166416075350,Cüneyt Erol Büyük Birlik Partisi,Cüneyt Erol,2550,4
104981089219933,Duygu Çetinkaya Acar,Duygu Çetinkaya Acar,2537,4
102135501584696,Türkiye İşçi Partisi - Mersin,Türkiye İşçi Partisi - Mersin,2507,8
103475819373578,Ebru Sungar,Cumhuriyet Halk Partisi Eskişehir Milletvekili Aday Adayı,2501,22
511748452272603,Av. Halil Öztürk,Yahsi Media,2500,4
225592197622783,Lütfü Savaş,Lütfü Savaş,2500,2
116014468128749,Ferhat Kabaiş,Rengin Uğur,2496,2
108212475567352,Yücel Yenilmez,Yücel Yenilmez,2482,3
1657215431168321,Mustafa Gültak,Mustafa Gültak,2457,1
108855465479915,Halk Haber Ajansı Yerel Gündem,Resul Mesut Büyüksarı,2453,1
107276120819529,Halk Haber TV,SİRİUS REKLAM ORGANİZASYON SANAYİ VE TİCARET LİMİTED ŞİRKETİ,2453,1
1389428918022204,Kanal 5 Türkiye,Kanal 5 Televizyon Radyo ve Yayıncılık A.Ş.,2452,7
111499880433378,Abdülkadir ADAR,Abdülkadir ADAR,2449,6
127896160644676,KORAY AYDIN,KORAY AYDIN,2439,51
1386832938211808,Doç. Dr. Necmettin Çalışkan,Beyzade Fm & Tv ile anlaşmalı,2425,3
108552928182311,Al Sancak Partisi,Nuri Çelebi,2418,1
1493940890859471,Birileri Var,Birileri Var,2410,51
105654439175027,Kaan KOÇ,Selçuk Soner Yılmaz,2403,8
701383649899309,MHP Aydın İl Başkanlığı,MHP Aydın İl Başkanlığı,2389,1
120679647668758,Trabzon - Millet İttifakı Cumhurbaşkanlığı Seçim Koordinasyon Merkezi,İlker Akinci,2381,1
114267224969416,Mustafa Gökhan Ofluoğlu,murat gökhan ofluoğlu,2360,5
451783681662191,Ali Özkaya,Ali Özkaya,2324,6
115203036969497,Mehmet Yunus Seven,Mehmet Yunus Seven,2314,18
114168168328121,Mehmet Tahtasız,Mehmet Tahtasız,2311,14
355008318614782,Doç. Dr. Emin Serin,Ahmet Emin Serin,2307,36
1220684161421297,Hikmet Hatunoğlu,Hikmet Hatunoğlu,2304,7
102525806170947,Ata İttifakı Konya,Recep Böber,2283,6
549579538907553,Erhan ÖZHAN I Bünyan I Kayseri,Erhan Ozhan,2273,18
610661965731902,Mersin BEYAZ Gündem,Suleyman Tas,2273,15
104090479330001,Emin YETİM,These ads ran without a disclaimer,2259,1
1156591567874276,Halil Arda,Halil Arda,2241,2
104267921764717,Deva Partisi Trabzon İl Başkanlığı,Kubilay Çiçek,2229,15
116335429034559,Prof.Dr. Himmet Karadal,Prof.Dr. Himmet Karadal,2216,2
113869445007107,Cem Avşar,TABBHOUSE SANAL OFİS VE SANAYİ TİCARET LİMİTED ŞİRKETİ,2191,22
413113452433564,Cengiz Gökçel,Cengiz Gökçel,2174,9
100582266255364,International Molecular Plant Protection Congress,These ads ran without a disclaimer,2163,2
102477212191748,Rahmi Galip Vidinlioğlu,Rahmi Galip Vidinlioğlu,2156,4
111233088612610,Dursuncolak,Dursun Çolak,2149,13
320343148103104,AK Parti Afyonkarahisar İl Başkanlığı,Buğra Gülcan,2147,21
306491676172909,Gerçek Gazetesi,Gerçek Gazetesi,2135,7
107924807410702,Samet Bağcı,Samet Bağcı,2135,42
114888940432389,Medya Midas,Medya Midas,2130,2
101315571670453,Webagron Tarımsal İçerik Platformu,Webagron Tarımsal İçerik Platformu,2118,63
110981947086145,Cumali İnce,Cumali İnce,2114,4
284533088850685,Avukat Gözde ÇELİK,Avukat Gözde Çelik,2108,2
103342869403542,Sıtkı Keçeci MHP 28Dönem Çanakkale 1Sıra Mv.Adayı,Sıtkı Keçeci,2106,4
815048841929079,M. Ergün Turan,M. Ergün Turan,2081,12
117364971317866,İbrahim BAĞ - MHP Bilecik Milletvekili Adayı,Semih Yavuz,2069,2
231927487518942,Dr. Pelin Coştur Filiz,Erol Derin,2068,7
1620080691588973,Serkan SARI,Serkan Sarı,2068,7
241215079962982,Vahit Atalan,Vahit Atalan,2058,7
127443153589651,Hasan Demir,These ads ran without a disclaimer,2040,1
108390012832175,Fatih Akkentli,Fatih Akkentli,2038,33
100476223039427,Turgut Koç 2023,Turgut Koç,2035,1
113096951745078,Şükrü Kuleyin,These ads ran without a disclaimer,2023,1
1633758113519161,Deniz Depboylu,Deniz Depboylu,2022,12
1609569505990338,Східноукраїнський національний університет імені Володимира Даля,These ads ran without a disclaimer,2020,1
320343148103104,AK Parti Afyonkarahisar İl Başkanlığı,AK Parti Afyonkarahisar İl Başkanlığı,2000,2
326403044634322,Abdurrahman Dursun,Muhammet Isik,2000,1
524890664242849,Türkiye Petrolleri A.O.,Gökay Şahindokuyucu,2000,1
100562259259829,Ümit Özlale,Ümit Özlale,2000,1
821150371248664,Özgürlük Araştırmaları,Özgürlük Araştırmaları,1998,4
1414574845504535,Mimar İbrahim Demir chp adana Milletvekili adayı,Mimar İbrahim Demir chp adana Milletvekili adayı,1994,3
108675144970867,7/24 Gündem,7/24 Gündem,1987,9
112597851804558,Gaming Area,These ads ran without a disclaimer,1985,1
552260448501128,Çan'ın Sesi,Begum Bayyar,1984,20
116905004727285,Mesut Soyfidan,Mesut Soyfidan,1974,9
238363898094485,Balıkesirin Sesi,Balıkesirin Sesi,1940,15
106575805511426,Adıyaman'da Gündem,These ads ran without a disclaimer,1940,2
101352224679488,Belgin İba,Eyup Seha Ugurluel,1939,1
105329881493726,Rüstem Çetinkaya,Temmer Marble,1939,1
377969368913746,Ali Özcan,Ali Özcan,1936,2
114285611619762,Metin Bilgili,Metin Bilgili,1933,3
302982416894185,Hasan Baltacı,Hasan Baltaci,1919,2
209175722605698,Saffet Sancaklı,These ads ran without a disclaimer,1916,4
109514177857013,Yeniden Refah Partisi Simav,Yeniden Refah Partisi Simav İlçe Başkanlığı,1910,3
104503205755017,Brittany Johnston,These ads ran without a disclaimer,1905,1
145750926090655,Zeki Gül,Zeki Gül,1901,1
107850404005558,Kent 77,Umut Kucukbayraktar,1897,6
105606068096395,Manşet 35,Manşet 35,1896,5
114723078258874,Köksal Tek,Köksal Tek,1896,34
109212482156275,Bülent Kaya,Saadet İstanbul,1884,2
1604958276192112,Alper Taban,Alper Taban,1875,28
101452232253259,Kubilay Çiçek,Kubilay Çiçek,1862,14
100611073033265,Mustafa KAYA,Saadet İstanbul,1859,2
1410342882615385,Eskişehir Haber,Eskişehir Haber,1859,49
264018517607219,Mehmet Zeybek,Mehmet Zeybek,1855,2
104039202681868,Anıl Denizci,Kazım Sadıkoğlu,1853,2
425757864244456,Süleyman Karaman,These ads ran without a disclaimer,1844,3
112566648474505,Osman YAMAN,Osman Yaman,1840,3
461639080653445,Ayhan Gider,Ayhan Gider,1839,6
27211034606,emlyon business school,These ads ran without a disclaimer,1834,1
463215923715177,Mehmet Yiğiner,Bekir Koyuncu,1826,69
2246877825584322,Çağrı Parlak,Çağrı Parlak,1825,4
150157215021128,Akahan,Akahan,1825,3
118027934573584,Ramazan Şerif Fırat,Ramazan Şerif Fırat,1823,1
102191762736431,Murat Toycan Selçuk,Murat Toycan Selçuk,1819,11
1563142747277396,Vecdi Gündoğdu,Vecdi Gundogdu,1810,15
928921137187670,ALİ UÇAK,These ads ran without a disclaimer,1808,6
2176700602589333,Dr. Mustafa İduğ,Dr. Mustafa İduğ,1808,5
126049944265561,Ömer Çelik,These ads ran without a disclaimer,1797,1
610379905652811,İsmail OK,İsmail OK,1793,10
465887546792664,Halkın Kurtuluş Partisi - HKP,TAYFUR BİN,1793,14
100299875110384,samsunsehirgazetesi.com,samsunşehirgazetesi.com,1786,11
109648772104972,NNC MEDYA I nnchaber.com.tr,Kağan Onaran,1784,17
337722134198223,Yaşar Yazici,yaşar yazıcı,1760,5
111936101871596,Havva Sibel Söylemez,Havva Sibel Söylemez,1758,3
105239412529211,Ramazan Uğural,Göktuğ Kerem Coşkun,1751,6
270657470472039,Yalçın Ertaş,Murat Efe,1750,2
101136958182226,Kırşehir Haber Vakti,Kırşehir Haber Vakti,1739,56
1631511173750513,Haber Has,Hasan Benzer,1729,9
112316738427545,Hakan Halim Okudan,Hakan Halim Okudan,1725,1
545629665828465,M. Mustafa Kocaman,Serhat Gunduzalp,1700,2
633911116669593,CHP Sakarya İl Başkanlığı,CHP Sakarya İl Başkanlığı,1681,2
114976648230009,Türker Ateş,Türker Ateş,1678,6
109698035438316,fatihhkayya,Fatih Kaya,1669,7
123509507310356,Orhun Ertürkmen,Orhun Ertürkmen,1661,6
105352772550773,Av.Abdulvahap POLAT,Abdulvahap Polat,1650,2
734572063273378,Dr. Mustafa KAYA,Mustafa Kaya,1646,15
964504217092348,Muhammed Tayyar Türkeş,These ads ran without a disclaimer,1645,1
801586336532462,Rize Belediyesi,Rize Belediyesi,1640,2
130103131910403,Kırşehir Hakimiyet,Kırşehir Hakimiyet,1632,12
101373896284011,Sma Hastası Azer Bebek - Bağış Kampanyası,Irem Kaplan,1629,8
422728948538319,Recep Bakırcı,Hasan Fehmi Demir,1625,6
111743571824100,Av. Filiz Tuğçe Ayrancı İplikçi,Deniz Guner,1622,1
2106476036299977,Dr. Metin İlhan,Dr. Metin İlhan,1600,5
355906905169362,M.Erkut Ekinci,Kemal Afşin Ekinci,1579,19
117292434655657,Mehmet Kamil ŞİRİN,Nergiz Elmas Aydoğdu,1578,10
118074911239792,Ali ARI,Ali Ari,1565,4
102485661587914,Pantum International,These ads ran without a disclaimer,1555,1
1001476859872937,Atilla ZORLU,Atila Zorlu,1553,4
1093516560666635,Asrın Adamları,Huseyin Rahat,1537,1
155518138432438,Proji Dijital Pazarlama Ajansı,Proji Dijital Pazarlama Ajansı,1531,3
786257948380440,Çetin Akın,Çetin Akın,1523,7
108640498871482,Murat Aslanoğlu,Murat Aslanoğlu,1516,11
129348497218806,Afyonkarahisar Belediyesi,Afyonkarahisar Belediyesi,1510,4
320343148103104,AK Parti Afyonkarahisar İl Başkanlığı,These ads ran without a disclaimer,1500,1
906394629482043,CHP Parti Okulu,CHP Parti Okulu,1500,4
103984509238399,Halk Haber,Halk Haber,1499,1
100457632875627,Ergin Arslan,Arslan Bilgi Teknolojileri Ltd Şti,1498,10
922594934433874,Kulis Özel,Burak Rahat,1496,1
171941146846358,Ali Er,Ali Er,1487,1
108716982186956,Haberet,Recep Murat Solmaz,1487,2
106721105738428,Emin Selim Akgül,These ads ran without a disclaimer,1458,1
100930021431743,Gazete Kolektif,Ercan Erdal,1454,3
104251929216147,iyipartiispartamerkez,These ads ran without a disclaimer,1445,1
679165132193261,Saadet Partisi Kütahya,Hemen hediye,1440,4
115158148183991,Melisa Ceylan,Melisa Ceylan,1431,1
219031704851494,SAS (Satın Almayın Sahiplenin),Fırat Yıldız Ahmet,1426,4
115849018111288,Already in your city,These ads ran without a disclaimer,1425,2
102824892800588,Zeynep Bilgiç,Zeynep Bilgiç,1420,10
163862207788753,Muhammed Levent Bülbül,Hasan Sağlam,1403,4
103544029389930,RTE Yozgat,Erol Ulus,1401,2
119329642802238,Gökhan Baylan,Gokhan Baylan,1399,6
557866130988813,Çiftçi TV,Çiftçi TV,1389,44
111476868575292,Fahrettin Kermen,Fahrettin Kermen,1389,2
2460602023969969,Erhan Kılıç,Erhan Kılıç,1386,3
589313961445602,Dr. Osman Berke Duvan CHP Adana Milletvekili Adayı,Dr. Osman Berke Duvan CHP Adana Milletvekili Adayı,1385,6
596449673702582,Gaziantep Büyükşehir Belediyesi,Gaziantep Büyükşehir Belediyesi,1375,2
116558998079080,Ajans,Yalçın Bayrak,1373,2
109407151806354,İsmail İnlidere,İsmail İnlidere,1370,5
103532162729914,Dursun Çağlayann,Dursun Çağlayan,1369,9
113917671638332,Cumhuriyet Halk Partisi Milletvekili Aday Adayı Emre Şahin Köroğlu,Emre Şahin Köroğlu,1354,3
998645140157494,Çankırı Postası TV,Ercan Şeker,1350,1
1952748275030916,Kürşad Mithat ÖZKAN,Kursad Mithat Ozkan,1349,2
216808935584204,Sefer İpekli,Sefer İpekli,1336,3
109839222078602,Serap Bozpolat Ayan - offical,Serap Bozpolat Ayan,1333,3
101451778253942,Hilmi Durgun,Faruk Islek,1328,3
103400816031847,Halkhaberajansı,Sirius Reklam Organizasyon Sanayi ve Ticaret Ltd. Şti,1325,1
109659401460510,Hülya Perin Meriç,Hülya Perin Meriç,1321,3
101519926236417,Mustafa Akın,Oğuz Erdağı,1316,6
123012914059692,Ömer Özden,Abdullah Keskin,1314,24
103452022713912,Tahsin Becan,Eylem Şen,1311,8
338793596222051,Aksaray Ülkü Ocakları,Aksaray Ülkü Ocakları,1301,4
2222003764721494,Halit Doğan,Halit Doğan,1300,4
2312287989041656,MHP Rize İl Başkanlığı,Hasan Fehmi Demir,1300,2
101647438616294,Sertaç Alkaya,Sertaç Alkaya,1290,11
106126972457656,Emirali Türkmen,Suzan Karabaş,1288,8
107043192369545,h.ufukcakir,Hasan Ufuk Çakir,1277,5
1706624339582436,Tüsiar Araştırma Danışmanlık Ltd.Şti,TÜSİAR ARAŞTIRMA DANIŞMANLIK LTD ŞTİ,1268,18
107517299002511,Bahadır Şahin,Hasan Benzer,1260,18
105809474836992,Av. Akın İlhan,AKIN İLHAN,1259,4
2046352065625409,Adnan BEKER,Rolof,1257,6
102659758758117,amsterdamli_gezgin,These ads ran without a disclaimer,1254,3
2100392293415636,Av. Ahmet ÖNAL,Ahmet Önal,1253,5
173600383301847,İlhan Alpboğa,İlhan Alpboğa,1239,6
688171551625323,Sümeyra Moda,These ads ran without a disclaimer,1239,1
116527871418570,Eray Yıldemir,Eray Yıldemir,1238,3
426324184162531,Halil Aydoğdu,These ads ran without a disclaimer,1231,3
645654898902725,Arnoma Marketing,Arnoma Marketing,1231,3
112590458461110,Hakkı Aydos,Hakkı Aydos,1231,6
2156166711143331,Sertaç Durak,Sertaç Durak,1223,4
416780908423861,Nurullah CAHAN,Nurullah CAHAN,1216,2
427667890724620,Tarkan Akıllı,Tarkan Akıllı,1212,1
498579987170393,العدسة  The Lens,thelenspost,1201,17
105723702398203,Ankara Haber Özel,Ankara Haber Özel,1200,3
103285814499773,Hikmet Yalım Halıcı,Kadir Dede,1200,1
866178810191059,Mahmut Koçak,Mahmut Koçak,1199,1
103848288831310,Serkan Karayiğit,Baran Alperen Pınar,1199,3
585934561515114,HÜSNÜ DOĞAN,HÜSNÜ DOĞAN,1199,4
442942082484899,Ege Gündem Gazetesi,Ege Gündem Gazetesi,1198,15
114824293604025,Av. Yavuz Kuzucu,Batuhan Efe Öner,1190,4
101774565815407,Seyfullah Yavuzer Siyaset ve Gündem,Seyfullah Yavuzer Siyaset ve Gündem,1184,7
107875758479330,Glory Amazing,These ads ran without a disclaimer,1181,1
110059011802356,smafevziye,These ads ran without a disclaimer,1172,1
804210899660885,Ahmet Katar,These ads ran without a disclaimer,1165,2
105815121459307,Enes Faruk Nom,Enes Faruk Nom,1160,7
101049279648025,Hulusi Akar FAN,Gökhan Akbaba,1154,16
1154567641227291,Türkiye Komünist Hareketi - TKH,Türkiye Komünist Hareketi - TKH,1154,9
119045737834039,Tülin Kececi Güngör,Tülin Keçeci Güngör,1150,3
114645601565956,Uğur Karaca,Uğur Karaca,1147,2
1609845882562987,Millet İttifakı Çorum Milletvekili Adayı Seyit Ahmet Güher,Millet İttifakı Çorum Milletvekili Adayı Seyit Ahmet Güher,1146,4
1323549900995846,Celal Fırat,Celal Fırat,1144,7
100516989042507,Balıkesir Posta TV,Ahmet Namlı,1131,6
1635963623197424,On Medya,Orhan Efe,1126,26
114791788263474,Mimar Ali Çavuş,Ali Çavuş,1118,3
810303245771147,Erkan Yücel Kültür Merkezi,Erkan Yücel Kültür Merkezi,1117,3
457983201324467,Ahmet Ertürk Aydın Milletvekili Adayı,Ahmet Ertürk,1108,3
111589081920420,Kadınların Gücü,Kurumsal Reklam,1105,10
114269278299196,Ahmet Ertürk İyi Parti,Ahmet Ertürk,1103,3
258739788026400,Emine Küçükali,Emine Küçükali,1087,2
104795475464990,Çiğdem Er,Çiğdem Er,1076,3
1753655168291606,Milli Düşünceler,These ads ran without a disclaimer,1073,1
834885123241488,Selçuk Türkoğlu,These ads ran without a disclaimer,1072,3
105860245746871,Sponsorlu Reklamlar,Kamil Gürbüz,1071,1
102978139400834,Uğur Likoğlu,Uğur Likoğlu,1064,2
459038757593904,OptimumBC,OPTİMUM MEDYA VE REKLAM TANITIM HİZMETLERİ A.Ş,1059,1
113506495059583,Kadınların Reisi,Kurumsal Reklam,1058,10
128234402766154,Çorum Haber Merkezi,Çorum Haber Merkezi,1056,11
426339260809702,Oğul Aktuna,These ads ran without a disclaimer,1045,1
357501401734611,Yeniden Refah Partisi Başakşehir ilçe Başkanlığı,Yeniden Refah Partisi Başakşehir ilçe Başkanlığı,1044,5
122345964110908,Av. Hüseyin İldan,Av. Hüseyin İldan,1041,1
105716839182141,Köylü Kadın,Kurumsal Reklam,1039,10
443339629168243,Uşak Şehir,Ibrahim Ethem Karahan,1038,2
126424754165391,Yunus Kaan Kısaca,Yunus Kaan  Kisaca,1022,2
119960821075537,Milletin Sesi,Kurumsal Reklam,1019,10
108091285256529,Ertuğrul KAYA,Ertuğrul KAYA,1019,3
1485448038348994,Birol Aydın,Saadet İstanbul,1015,2
104328402631793,Op.Dr. İbrahim Girgin,Burak Taşkan,1000,1
755201084826878,Aşkın Tören,Aşkın Tören,1000,3
108199998165906,Seydi Tahsin Güngör,Seydi Tahsin Güngör,1000,1
154267848761807,BBP Yaşar SAYAN,Büyük Birlik Partisi,1000,2
306280408778,MURAT ALPARSLAN,MURAT ALPARSLAN,1000,1
120293891041256,Deli Kadın,Kurumsal Reklam,1000,10
113562291720284,Cumhuriyetçi Kadın,Kurumsal Reklam,999,10
117645754589647,MHP AKIN ÇAKIR,Akın Çakır,997,2
738327650239961,rprefahsakarya,These ads ran without a disclaimer,986,2
107071471602676,sma.nuhalperen,These ads ran without a disclaimer,986,1
114597108291949,Haydi..ama nereye?,Excelligents,986,7
105807139173493,Halil Ercan,Halil Ercan,986,1
114800218162558,Haber Penceresi,Haber Penceresi,985,2
372064082969329,AK Parti Akhisar İlçe Teşkilatı,AK Parti Akhisar İlçe Teşkilatı,983,10
1418853658209381,MHP Edremit İlçe Başkanlığı,Enes Güngör,980,2
624657744622150,Hüseyin Aksu Kent Bilimci,These ads ran without a disclaimer,969,5
109530428771561,Ali Paşa Naipoğlu,Nergiz Elmas Aydoğdu,967,4
101906452899804,Bay Kemal,Kurumsal Reklam,966,10
535720086896194,Dr. Ömer Selim Alan,Can Bayram,965,5
107342085674724,Yeniden Refah Partisi Karabük,Fatih Ahmet Karahasan,965,7
113944458195273,Rahmi Mete AY,Rahmi Mete Ay,964,3
100942688529011,osmaniyeyerfistigi80,These ads ran without a disclaimer,963,1
612582702103642,Av. İsmail Atakan Ünver,Av. İsmail Atakan Ünver,959,10
1093710237307888,TV 9,Numan Zeliha Ölmez,957,45
116422714744406,Hasan Çetin MP,Hasan Çetin,955,4
588319621318434,Op.Dr. Mustafa Seven - Samgüdef,Mustafa Seven,955,17
463298557101498,AK Parti Manisa Yunusemre İlçe Başkanlığı,Hasan Bünyamin Akdoğan,951,8
103599182728857,Doğru Adam,Kurumsal Reklam,950,8
503007503173885,Ruhi Ersoy,These ads ran without a disclaimer,950,3
170296720302020,Necmettin ERKAN,OPTİMUM MEDYA VE REKLAM TANITIM HİZMETLERİ A.Ş,945,10
105490174926326,Medya Penceresi TV,Medyatik Haber,944,1
108049655614131,Cumhurun Seçimi,Kurumsal Reklam,939,9
102552206127847,Saffet Acar,Saffet Acar,937,2
195024141128040,Meliha Akyol,These ads ran without a disclaimer,931,2
358423644240138,Aydın Hedef Gazetesi,Aydın Hedef Gazetesi,930,5
834954409860187,Gamze Akkuş İlgezdi,Gamze Akkuş İlgezdi,927,5
221184964598098,Faber-Castell,These ads ran without a disclaimer,925,1
171980546770146,CHP Kırıkkale İl Başkanlığı,Cumhuriyet Halk Partisi Kırıkkale İl Başkanlığı,911,2
343046426301452,Hakan Koştu,Hakan Koştu,901,2
1436421629982486,SEYİT ALİ ÇETİN,Seyit Ali Çetin,900,2
1572709256359993,İnternethaber TV,HADİ ÖZIŞIK,900,1
104790481715851,ازجمله,Azjomle,899,1
772187612859346,Erkan Haberal,These ads ran without a disclaimer,893,3
100607390047925,Saadet Partisi Burdur,HASAN HÜSEYİN ERTAŞ,892,5
104288932664068,Eray Ertürk,Eray Ertürk,887,3
529361357567752,Serhat Oğuz,Serhat Oğuz,885,1
100439749704061,Cengiz ZOR - Yeniden Refah Partisi,Şevket Erer,881,4
120298797674045,Altan Tufan,Altan Tufan,868,2
103315052537581,Rapor Bülteni,Rapor Bülteni,861,8
111397225250193,eensarozcelik,These ads ran without a disclaimer,860,4
106134918581394,MEDYA 28,MEDYA 28,860,3
102966916122277,T͏.C͏ H͏a͏z͏i͏n͏e͏ B͏a͏k͏a͏nl͏ıg͏ı,These ads ran without a disclaimer,858,1
114452544957872,T͏.C͏ Ha͏z͏i͏n͏e͏ B͏a͏k͏a͏n͏l͏ıg͏ı,These ads ran without a disclaimer,858,1
872082709520557,Ahmet Zenbilci,These ads ran without a disclaimer,858,2
103651876043241,dizeradnan,These ads ran without a disclaimer,856,1
1622164058014589,Mestan Özcan,Mestan Özcan,856,5
1776545895921237,Nedersiniz,Nedersiniz,853,3
675852185895583,Samsun ETİK HABER,Samsun ETİK HABER,850,6
105281861303439,Orhan Kılıç Sayfası,Orhan Kılıç,849,7
243308135735519,Aydın Ses Gazetesi,Aydın Ses Gazetesi,848,5
105282555805690,Semih Gülerer,Semih Gülerer,846,2
107243319015793,avalibozan,These ads ran without a disclaimer,841,3
100600216273365,Figen Yıldırım,Figen Yıldırım,841,3
106271542257137,Refah Gelecek,Refah Gelecek,836,4
101703364865964,Mustafa Durmus,Talha ŞEŞKA,831,5
742924015834670,Başak Gazetesi,Başak Gazetesi,830,3
908649702648456,Levent Caglanci,Tasarım Medya Reklam,827,1
420235368167321,Samsun Haber Ajansı SHA,Çağatay Yıldırım Durmuş,822,45
106406051603973,Mega Haber,Mega Haber,819,3
102371719506008,vejdinensarioglu,These ads ran without a disclaimer,812,1
522932747798137,Turgut Bucak,Turgut Bucak,811,2
118887067843855,Mehmet Akif Zerdeci,Fırat Gezer,811,3
116537104727003,Firuzan Kardaş,Firuzan Kardaş,808,4
103642866058013,InteraBro,These ads ran without a disclaimer,807,26
108851202110913,Aziz Kömürcü,Aziz Kömürcü,800,15
119872211077754,Av. Mehmet Akgül,metamediajans.com,800,2
1764577253790486,Mehmet Yılmazer,Mehmet Yılmazer,800,2
506107706201274,Antalya Esnaf ve Sanatkarlar Odaları Birliği,Antalya Esnaf ve Sanatkarlar Odaları Birliği,800,2
281934188895543,Önce Vatan,Önce Vatan,800,2
511775742289775,Evren Tezcan,Evren Tezcan,800,2
122690747467671,Sana Söz Türkiye,Kurumsal Reklam,798,6
105469248981400,Necla Yasdıman Kitaplar,These ads ran without a disclaimer,797,1
1141918389172185,ManisaTürk,Memis Berna,796,13
2171025259612438,Tufan Akan,Tufan Akan,791,1
102853382541707,İklim Salatası,These ads ran without a disclaimer,789,1
1468307700083126,Kaktüs Creative Ltd. Şti.,Servet Törer,786,2
378454888947214,Roxtec Group,These ads ran without a disclaimer,783,1
119001987829988,Av. Onur Yüksel Bozdağ,Onur Yüksel Bozdağ,778,2
105425719213411,Vekilünsal,Muharrem Uğur Ünsal,777,4
101753999567441,İsmail Başar,Ilgın Buğrahan Aka,777,3
117410877956719,NaimSöylemezoğlu,Naim Söylemezoğlu,770,4
101670354686873,Türkiye Ümmetin Nabzı  تركيا نبض الأمة,These ads ran without a disclaimer,769,1
105281861303439,Orhan Kılıç Sayfası,These ads ran without a disclaimer,767,1
1432036000274690,İsmet Köksal,İsmet Köksal,761,12
105449905860618,Bilal Uzun,Muhammed Ölçücüoğlu,760,9
106201252468924,FATİH KAYA,Fatih Kaya,759,3
101762399559251,Cengiz Yalçın,BKMEDYA,758,7
225545067816330,AK Parti Kaman İlçe Teşkilatı,AK Parti Kaman İlçe Teşkilatı,749,4
125583954288495,AK Parti Manisa İl Başkanlığı,AK Parti Manisa İl Başkanlığı,748,4
364737534025103,Bora Yörükoğlu İYİ Parti,Bora Yörükoğlu İYİ Parti,748,3
106801542364347,ulkemuruk,These ads ran without a disclaimer,747,1
109863662074183,seyhmusgocmezsponsor,These ads ran without a disclaimer,746,1
2296906653927431,Av.Salih Akça,Av.Salih Akça,745,1
113279311715408,Adnan Duman,Karavan Ajans,742,2
105715185809457,Mustafa Kemal Çokakoğlu,Mustafa Kemal Çokakoğlu,741,5
164102030875768,BETÜL TOSUN,BETÜL TOSUN,739,3
101782816223706,Asar Murat Baltacı,Asar Murat Baltaci,734,9
101493316279448,Derya Akdemir,Derya Akdemir,732,1
122351297459177,Prof.Dr. Tamer Dodurka,Hazim Tamer Dodurka,730,3
612342159242377,Yeniden Refah Partisi Artvin,Talip Sücü,724,2
100761966109102,Marine Li,These ads ran without a disclaimer,720,3
102140562817277,Gündem Türkiyem,Gündem Türkiyem,719,16
118252304569567,Ahmet Baran Yazgan,Serkan Yanıkses,719,67
506041856143607,Saadet İnegöl,Hasan Eroglu,711,11
174773480020145,Ömer Bağcı,Ömer Bağcı,710,1
887254944697864,CHP Süleymanpaşa İlçe Başkanlığı,Ozge Alper Uysal,707,1
452645601857521,Sermet Atay,Sermet Atay,704,1
1921374511491494,Muhammet Gökhan Kilit Sayfası,Muhammed Gokhan Kilit,700,2
849273831775608,Burhanettin Bulut,Burhanettin Bulut,700,3
212556146253726,Allah Yolunda,Allah Yolunda,699,2
103512145794595,İnsanlık İçin,İnsanlık İçin,697,2
365305797600089,İbrahim Palaz,Ibrahim Palaz,697,7
101762502501680,Komşu Kızı,Komşu Kızı,696,2
107393581995540,Milletin Sesi,Milletin Sesi,696,2
100390712964512,Deli Kadın,Deli Kadın,696,2
108440741701807,Samsun Devlet Opera ve Balesi,These ads ran without a disclaimer,684,1
