Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
100771226087265,Susie's Tips,Susie's Tips,377232,102
311627208673,WWF UK,WWF UK,231588,237
102639461303190,Fair Pay For All,Fair Pay For All,200694,589
7715002593,UNICEF UK,Unicef UK,154839,224
7214031395,Oxfam Great Britain,Oxfam Great Britain,97463,243
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),91262,83
8807334278,Conservatives,The Conservative Party,88688,114
9250349228,Greenpeace UK,Greenpeace UK,78624,250
106626487721376,Amazon Europe,Amazon Europe,69473,14
25749647410,The Labour Party,The Labour Party,61954,3600
348366988862054,Oxfam Campaigns,Oxfam Great Britain,57847,74
66188945100,Ben & Jerry's,Ben & Jerry's,49304,8
6233536938,War Child UK,War Child UK,45833,10
799576543492660,The Week Junior,The Week Junior,38419,70
360322167647280,"Mayor of London, Sadiq Khan",The Greater London Authority,38364,35
841894835830532,Electoral Commission UK,Electoral Commission UK,37708,63
514212165305248,Leigh Day,Leigh Day,35712,107
101602743218479,Stop It Now! UK and Ireland,"Stop It Now! UK and Ireland, The Lucy Faithfull Foundation",34233,59
408582579294175,UK government,UK Government,33398,4
7527864602,WaterAid UK,WaterAid UK,28206,169
10677003998,Shelter,Shelter,26442,742
21242962092,ClientEarth,ClientEarth,23742,121
7043497714,Christian Aid,Christian Aid,23338,103
121936349543,World Vision UK,World Vision UK,22931,76
61950489543,Labour North West,The Labour Party,22787,408
35671512696,World Animal Protection UK,World Animal Protection UK,22175,43
18168505158,The Woodland Trust,Woodland Trust,21261,50
139695000173,Good Energy,Good Energy,20101,223
34044296391,Surfers Against Sewage,Surfers Against Sewage,19796,283
177855115588808,The Week UK,The Week UK,18050,54
365948210785448,Criminal Injuries Helpline,Criminal Injuries Helpline,17908,14
569834799727730,National Grid UK,National Grid UK,16750,75
220543443746,International Rescue Committee - UK,International Rescue Committee UK,16219,65
13047522725,Crimestoppers,Crimestoppers,15806,111
109602554296513,Your Funded Energy Solution,Huw John Llewellyn,15732,109
104259838288065,Independent Monitoring Authority,Independent Monitoring Authority,15615,12
200480966638039,Supremacy 1914,These ads ran without a disclaimer,15277,3
1586251881644270,Keir Starmer,The Labour Party,15083,947
117476785190,Save the Children UK,Save the Children UK,15037,52
89151782746,Fauna & Flora International,These ads ran without a disclaimer,14257,18
107310464728068,Britain Remade,BRM Futures Limited,14053,74
10114144851,NSPCC,NSPCC,14041,9
47612991154,Dignity in Dying,Dignity in Dying,13931,49
1660600037490738,Guardian Labs,Guardian Labs,13833,45
107509044383300,Médecins Sans Frontières / Doctors Without Borders (MSF),Médecins Sans Frontières / Doctors Without Borders (MSF),13345,21
101958682650112,ESG UK,Energy Saving Grants,13198,181
26698813123,British Red Cross,British Red Cross,12971,37
137385490131,Electoral Reform Society,Electoral Reform Society,11943,693
46074836918,The Trussell Trust,Trussell Trust,11479,12
59367068326,The Ramblers,The Ramblers,11317,37
401847960644025,Extinction Rebellion UK,Extinction Rebellion,11243,196
114302109964775,Make My Money Matter,These ads ran without a disclaimer,10661,10
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,10423,15
143837658998810,WWT,Wildfowl and Wetlands Trust,10361,14
208573062515662,Freedom from Torture,Freedom from Torture,10262,142
195754307110390,Right To Life UK,Right To Life UK,9936,46
40409120801,Refugee Council,Refugee Council,9816,46
358706239805,Scope,Scope,9708,232
112712550420527,Ekō UK,Ekō,9405,25
274651352565844,Oltco Ltd,Oltco Ltd,8674,119
103662352102391,Family Debt Help,Ian Keith Parsons,8672,12
1608245282744484,Yorkshire and the Humber Labour Party,The Yorkshire and Humber Labour Party,8607,343
246872175166,Action Against Hunger UK,Action Against Hunger UK,8523,419
805056259512648,Transport for Greater Manchester,Transport for Greater Manchester,8362,7
158077247591710,Refuge,Refuge,8334,90
169042736456594,All Out,All Out,8305,26
114302109964775,Make My Money Matter,Make My Money Matter,7857,10
108951391565231,Help to Heat,Huw John Llewellyn,7782,95
264444526901270,Human Aid & Advocacy,Human Aid & Advocacy,7530,14
122052607808255,CAGE,CAGE,7448,15
685018844928882,Labour North,The Labour Party,7418,268
601388547012748,Ecologi,Ecologi,7404,210
2047806148766050,Animal Equality UK,Animal Equality UK,7225,4
358126247463,Speech and Language UK,Speech and Language UK,6819,35
18044497940,Plan International UK,Plan International UK,6710,66
353224381469808,ifaw,IFAW,6681,103
55984857501,Open Doors UK & Ireland,Open Doors with Brother Andrew,6618,87
10499876484,Compassion in World Farming,Compassion in World Farming,6570,57
249209468838241,Good Law Project,Good Law Project,6421,86
116410721348434,Liberate Liverpool,Liberate Liverpool,6392,214
200006375787,38 Degrees,38 Degrees,6391,73
103298513038722,PennyAppeal,These ads ran without a disclaimer,6287,29
1104066886293096,East Midlands Labour,East Midlands Labour Party,6194,80
208189704820,Ellen MacArthur Foundation,Ellen MacArthur Foundation,6100,85
159969930741814,The Wildlife Trusts,The Wildlife Trusts,6046,46
241312696375349,National Education Union,National Education Union,5991,3
290498754454402,European Movement UK,European Movement UK,5915,9
