Page ID,Page name,Disclaimer,Amount spent (UYU),Number of ads in Library
2229936167288652,Juan Sartori,Equipo Juan Sartori,70251,10
105372794744976,Intendencia de Paysandú,Intendencia Departamental de Paysandú,25490,3
165920193432209,Intendencia de Montevideo,Intendencia de Montevideo,23598,24
721629447857727,567 El Espacio,Sol Ines Pereyra Zunin,19137,8
1663909410533738,Pit-Cnt - oficial,PITCNT,16178,9
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,15599,33
860395507438977,Compromiso con el Cambio,Santiago Raffo Arias,8405,7
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,7508,4
308762172579887,Rodrigo Goñi Reyes,Maria Florencia Porro,5883,9
339506493370193,Richard Sander,Richard Saul Sander Darín,5545,23
227537964299216,Javier Radiccioni,Javier Radiccioni,4139,1
2332750643467917,Yamandú Costa,José Manuel Gutiérrez Pereira Das Neves,3904,2
102337244995366,Prudencia Uruguay,Santiago Raffo Arias,3551,3
107574220629167,Carolina Batista,Norma Valentina Pérez Nunez,2584,6
409758545881921,Intendencia de Colonia,Intendencia de Colonia,2569,2
1451998975071651,Mario Silvera Intendente,Mario Fabian Silvera Araujo,2000,1
103988995047541,Diputada Nancy Nuñez Soler,Nancy Estela del Pilar Nuñez Soler,1300,6
984834781647717,Diputada Alexandra Inzaurralde,Alexandra Inzaurralde,967,1
530640683655093,President,These ads ran without a disclaimer,900,1
100695741925657,Juan Pablo Rocca Selgas,Juan Pablo Rocca Selgas,698,2
1633909283493941,Ert Bps,Director Representante del Sector Trabajadores Ramón Ruiz,650,2
1496397947313142,Edil Diego Guevara,Diego Enmanuel Guevara Crosi,600,3
668626516485308,Enred Frenteamplista - Enred Socialista,Partido Socialista del Uruguay,537,2
292074670808351,Frente Amplio,Frente Amplio,458,1
100641784733064,Sebastian Arballo,These ads ran without a disclaimer,428,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,389,2
120501764365405,sindicalyclasista,These ads ran without a disclaimer,387,1
103576537743462,La Floresta Partido Nacional,La Floresta Partido Nacional,387,1
111574611736906,La Patriada Salto,These ads ran without a disclaimer,387,1
104674184203730,Famet Ltda,These ads ran without a disclaimer,357,4
182064165247111,Fronteira Criativa,These ads ran without a disclaimer,304,4
107678274350407,Jhans Acosta,Jhans Christian Acosta Ledesma,300,2
106688362420120,Andrea Zumar,These ads ran without a disclaimer,283,1
118374491163701,acostaylarag,These ads ran without a disclaimer,258,1
1491374901085252,Braguay,These ads ran without a disclaimer,253,1
114494837074225,Rodrigo Vercellino,Rodrigo Vercellino,250,1
966094286814864,21 de junio Humanidades,Andrés Fernández,250,1
106973842317140,Sophia Ribeiro,These ads ran without a disclaimer,247,9
140280689337896,Escuela de Posgrados en Comunicación - Universidad Austral,These ads ran without a disclaimer,234,2
106962558985029,Naty Suarez,These ads ran without a disclaimer,218,14
110734558628120,antonelp_94,These ads ran without a disclaimer,189,1
108318715562829,Abi Espin,These ads ran without a disclaimer,168,16
100461366389167,Bienestar Social IDR,Marcio Protti Toya,159,2
110361961971071,Életviteli tanácsadás,These ads ran without a disclaimer,130,1
111917558300996,MPP 609 Rivera,These ads ran without a disclaimer,129,1
1424003061235730,Asociación Autismo en Uruguay,Arlene Raquel Navarro Aguiar,116,2
809829809193027,Lista 1 FEMI,These ads ran without a disclaimer,113,1
151203664917967,Departamental  Flores PCU,Departamental Flores PCU,110,1
2189692867780422,Marcio Protti,Marcio Protti Toya,106,2
122543727499138,Mpp Castillos,These ads ran without a disclaimer,102,2
225968600759645,Andrés Lima,These ads ran without a disclaimer,≤100,1
103185325615086,Chamana UY,These ads ran without a disclaimer,≤100,2
94005676787,Hitachi Vantara,These ads ran without a disclaimer,≤100,1
101443721586040,lacasa8astrologia,These ads ran without a disclaimer,≤100,2
782846321738864,Marfrig,These ads ran without a disclaimer,≤100,1
104204428019174,Viajar es Mundial,These ads ran without a disclaimer,≤100,4
82928774489,Panda Security,These ads ran without a disclaimer,≤100,3
678862909193684,Jesús de León,These ads ran without a disclaimer,≤100,1
420916501408724,Smart City Expo Latam Congress,These ads ran without a disclaimer,≤100,2
106025095512593,Corazón Celeste,These ads ran without a disclaimer,≤100,1
113433361345082,Mariale de Viaje,These ads ran without a disclaimer,≤100,1
113176005044352,Go Punta,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,2
112872221753732,Sara Perez,These ads ran without a disclaimer,≤100,16
644619142352278,Volvo Construction Equipment Hispanoamérica,These ads ran without a disclaimer,≤100,2
1465646276779035,Los Secretos Judíos,These ads ran without a disclaimer,≤100,6
1803279899993382,"Ni Una Palmadita, Fernanda Restrepo",These ads ran without a disclaimer,≤100,3
1133083640127775,Cabañas La Armoniosa - Colón,These ads ran without a disclaimer,≤100,2
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,3
638298683189782,Topclass Academy,These ads ran without a disclaimer,≤100,1
103172549436914,Noticias del mundo todos los días,These ads ran without a disclaimer,≤100,1
499413494191734,martinianoterragni,These ads ran without a disclaimer,≤100,1
101358036245588,App Leap,These ads ran without a disclaimer,≤100,1
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,≤100,3
774547935953940,Seafood Show,These ads ran without a disclaimer,≤100,3
101155476033811,Somos Cambio,These ads ran without a disclaimer,≤100,1
101934159564223,Mònica Chp,These ads ran without a disclaimer,≤100,1
1760283014257159,Kódigo Tropikal,These ads ran without a disclaimer,≤100,1
115895401463440,Entretenimiento,These ads ran without a disclaimer,≤100,6
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
109926928389181,Gabriel Nunes,These ads ran without a disclaimer,≤100,10
100912541413695,Más Impulso,These ads ran without a disclaimer,≤100,3
110432104464742,El Vigía,These ads ran without a disclaimer,≤100,1
105607552434777,Instalador Solar,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,6
108562965017764,vaccottifer,These ads ran without a disclaimer,≤100,1
100427526341454,Active active,These ads ran without a disclaimer,≤100,2
105827774238496,luanagoesperes,These ads ran without a disclaimer,≤100,1
102570387827628,Juscirlene Ribeiro Advogada,These ads ran without a disclaimer,≤100,1
124109327256894,Dra. Ângela Pistão,These ads ran without a disclaimer,≤100,5
260505207474088,Libélula Cambio Climático,These ads ran without a disclaimer,≤100,2
187766727949541,Deportivo Alavés,These ads ran without a disclaimer,≤100,7
112994818439099,Alejandro Martinez,These ads ran without a disclaimer,≤100,1
104630912620139,historia.ordenmundial,These ads ran without a disclaimer,≤100,1
100162738241949,Xu Zeyu,These ads ran without a disclaimer,≤100,1
104722751816273,Diplomatura en Bioarquitectura,These ads ran without a disclaimer,≤100,4
261393040627329,Universidad Bíblica Latinoamericana,These ads ran without a disclaimer,≤100,1
859053560892477,Ojo al Clima,These ads ran without a disclaimer,≤100,1
108061471650955,SoluTec,These ads ran without a disclaimer,≤100,5
108248861009872,Método RESPEM,These ads ran without a disclaimer,≤100,1
113423241733053,Group Energy Solar,These ads ran without a disclaimer,≤100,1
102535489433789,ev_latam,These ads ran without a disclaimer,≤100,1
111232968542053,Manual del Instalador Solar,These ads ran without a disclaimer,≤100,1
101436044789330,pato.cine,These ads ran without a disclaimer,≤100,1
199897540054379,Félix Gracia,These ads ran without a disclaimer,≤100,1
448577818540347,Tatiana Schapiro,These ads ran without a disclaimer,≤100,1
117052698001766,First Wala,These ads ran without a disclaimer,≤100,1
517175865060779,Rosita y un Lobo Feroz,These ads ran without a disclaimer,≤100,1
117036884684307,Manuel Garcia,These ads ran without a disclaimer,≤100,1
101726209529539,VI Conferencia Panamericana,These ads ran without a disclaimer,≤100,1
134479433307392,Votorantim Cimentos,These ads ran without a disclaimer,≤100,1
104419332593712,Historia Anti Oficial,These ads ran without a disclaimer,≤100,1
1823807254333065,Soy Más País,These ads ran without a disclaimer,≤100,2
101773339229998,Jesi Licht,These ads ran without a disclaimer,≤100,1
747420075340256,El Agricultor Primero,These ads ran without a disclaimer,≤100,1
100685516644957,Fundación Foro,These ads ran without a disclaimer,≤100,1
282609205261913,Soy Rico,These ads ran without a disclaimer,≤100,1
106416299392381,PrimiciasYa.com,These ads ran without a disclaimer,≤100,1
100520825048827,Movant Connection,These ads ran without a disclaimer,≤100,1
110980888642151,Twibbon April,These ads ran without a disclaimer,≤100,4
116679401363112,Kelce Jam,These ads ran without a disclaimer,≤100,1
665908820279437,Manuel García,These ads ran without a disclaimer,≤100,1
216741958412414,Avon Worldwide,These ads ran without a disclaimer,≤100,1
105073207967492,CTG Perú,These ads ran without a disclaimer,≤100,1
117697811288537,Super Master,These ads ran without a disclaimer,≤100,1
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,1
150793518281117,Covestro,These ads ran without a disclaimer,≤100,1
820262131363591,Arabi21 - عربي21,These ads ran without a disclaimer,≤100,1
100301029708896,mimlatam,These ads ran without a disclaimer,≤100,1
141271779363886,Christian Harfouche,These ads ran without a disclaimer,≤100,1
125540182400469,The Daily Resource,These ads ran without a disclaimer,≤100,1
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,2
111889881892479,Alison Vega Pachas,These ads ran without a disclaimer,≤100,1
137775936298821,HoneyTrek,These ads ran without a disclaimer,≤100,1
8428544759,Six Degrees Records,These ads ran without a disclaimer,≤100,2
150830641743673,Tomplay,These ads ran without a disclaimer,≤100,2
1543353175947544,Tibidabo Ediciones,These ads ran without a disclaimer,≤100,1
1484031468591827,nexos+1,These ads ran without a disclaimer,≤100,2
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,3
105745092069271,psiraimundomaracaipe,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,9
133945616646913,RioOnWatch.org,These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,2
172348652806226,DEKRA,These ads ran without a disclaimer,≤100,1
116355337718182,Moli lulu,These ads ran without a disclaimer,≤100,5
