Page ID,Page name,Disclaimer,Amount spent (XAF),Number of ads in Library
106983891952270,Deep Wallpaper-wei316,These ads ran without a disclaimer,1837,2
102164338173839,Fadoul Zakaria Fadoul,These ads ran without a disclaimer,1837,3
963673023971383,Tpt+ La Chaîne du Moment,These ads ran without a disclaimer,1837,3
109936358165892,Hôpital Général de Douala Officiel,These ads ran without a disclaimer,1837,1
191453580768,Yeni Şafak,These ads ran without a disclaimer,1812,1
565225540184937,CGTN,These ads ran without a disclaimer,1798,96
1600262000010146,Mory Conde,These ads ran without a disclaimer,1764,1
881675718576355,VIP Diffusion Presse,These ads ran without a disclaimer,1712,4
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,1659,6
105374557808288,Le chinois avec Xu Li,These ads ran without a disclaimer,1635,2
112838911660025,WhatsApp Business 5053743607,These ads ran without a disclaimer,1598,1
253207738024669,ARPCE Congo,These ads ran without a disclaimer,1550,1
623445727805131,Enrico Mattei Campus,These ads ran without a disclaimer,1522,1
711009978986796,广交会,These ads ran without a disclaimer,1507,4
171795872872353,ISPI - Istituto per gli Studi di Politica Internazionale,These ads ran without a disclaimer,1430,5
245783122707027,Mars Solar Power System Manufacturer,These ads ran without a disclaimer,1399,2
110250330354380,Discover Beijing,These ads ran without a disclaimer,1347,10
102386009265966,Aline Antunes,These ads ran without a disclaimer,1322,8
1129445490476594,La Tribune Afrique,These ads ran without a disclaimer,1312,1
126529410723954,AFD - Agence Française de Développement,These ads ran without a disclaimer,1312,6
1555658471149141,Afrikili.tv votre chaine d'opinions,These ads ran without a disclaimer,1312,2
113195383790236,Dave Mafoula,These ads ran without a disclaimer,1312,1
102228158885528,miss_voltan,These ads ran without a disclaimer,1312,3
103566018596157,Fondation Frenel Loembe,These ads ran without a disclaimer,1299,1
101778395401198,Cooperative AgroPastorale Ya Dïyi,These ads ran without a disclaimer,1298,2
101344784921723,messibatint,These ads ran without a disclaimer,1260,1
127187187348820,Kaspersky,These ads ran without a disclaimer,1243,3
1592184267758930,Round-Table,These ads ran without a disclaimer,1238,4
111170593804363,Lamouka,These ads ran without a disclaimer,1225,1
299358830553644,Pointe-Noire,These ads ran without a disclaimer,1225,1
218770071636407,Light the Window Alliance,These ads ran without a disclaimer,1225,2
101495549405606,For A Bigger Smile,These ads ran without a disclaimer,1225,1
117283577974969,Papa Haïfa,These ads ran without a disclaimer,1225,1
104725898550671,Librairie en ligne de Brazzaville,These ads ran without a disclaimer,1225,1
107947081375103,Ferdinand Mamona,These ads ran without a disclaimer,1225,1
101767765591766,Ndindili fashion,These ads ran without a disclaimer,1225,1
208685479508187,U-Report,These ads ran without a disclaimer,1219,8
785478744814752,Lucius Ngoye,These ads ran without a disclaimer,1176,1
6013004059,The Economist,These ads ran without a disclaimer,1160,27
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,1145,3
203423866195067,Jésus christ Shop,These ads ran without a disclaimer,1096,2
216311481960,Bill Gates,These ads ran without a disclaimer,1090,58
360424321432255,Doha Debates,These ads ran without a disclaimer,1035,5
103711989361127,Replik.CD,These ads ran without a disclaimer,986,2
100929648464258,Global Alliance of Territorial Communities,These ads ran without a disclaimer,986,1
115591005188475,Global Times,These ads ran without a disclaimer,980,19
267410650127820,NRD Companies,These ads ran without a disclaimer,971,5
112204658447734,Ca Ro Le Hess,These ads ran without a disclaimer,964,1
184661098229492,Global Development Network,These ads ran without a disclaimer,938,3
107843228942297,"Gouverneur Mariame Tounkara, District 403-A1, 2023-2024",These ads ran without a disclaimer,919,1
262370800536,CanadaHelps,These ads ran without a disclaimer,895,1
285530825204,Klitschko,These ads ran without a disclaimer,892,94
170142236176876,Festival International des Musiques Sacrées,These ads ran without a disclaimer,866,2
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,846,37
405199520209766,The Belt and Road News Network,These ads ran without a disclaimer,845,4
17043549797,MIT Technology Review,These ads ran without a disclaimer,833,72
1126060947467307,Scatter HoldEm Poker,These ads ran without a disclaimer,827,2
116066208106047,عالم مثير للاهتمام,These ads ran without a disclaimer,814,1
193394557345243,Devex,These ads ran without a disclaimer,802,12
230834147675510,LabXchange,These ads ran without a disclaimer,800,1
451345392021672,Afrika Makambo,These ads ran without a disclaimer,774,1
164524410285253,GSMA,These ads ran without a disclaimer,774,1
7258206754,Jeune Afrique,These ads ran without a disclaimer,771,23
273189143282803,Leadership for Conservation in Africa - LCA,These ads ran without a disclaimer,751,3
1925756184371398,Pollicy,These ads ran without a disclaimer,735,20
68793499001,UNICEF,These ads ran without a disclaimer,735,21
1703163179968105,Natou P. Sakombi,These ads ran without a disclaimer,704,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,680,33
102726706030124,Kinshasa 243,These ads ran without a disclaimer,672,2
108464032356797,Vincent Murina,These ads ran without a disclaimer,661,2
325265207341521,ONG Amis Missionnaires,These ads ran without a disclaimer,656,1
109038485497626,Joysmi tv,These ads ran without a disclaimer,656,1
130883453634181,QIAGEN,These ads ran without a disclaimer,656,2
180666670332274,René NZITA,These ads ran without a disclaimer,656,1
885712971572858,Ministère du tourisme et des loisirs. Congo.,These ads ran without a disclaimer,656,1
711017695688460,Droit.Africa,These ads ran without a disclaimer,656,1
159781483889539,Mr. Anatole Collinet Makosso,These ads ran without a disclaimer,656,1
390860291545207,Prince Malela.,These ads ran without a disclaimer,656,1
568987369810521,ANADER,These ads ran without a disclaimer,656,1
162705830487473,Kimbangu Solo,These ads ran without a disclaimer,656,1
934765689978660,ITAO KAVUN TEDDY,These ads ran without a disclaimer,656,2
986930541352325,Pas 2 Quartier,These ads ran without a disclaimer,656,2
210994092095876,Mouvement Progressiste Congolais,These ads ran without a disclaimer,656,2
100799556027237,Aimé Ange Wilfrid Bininga,These ads ran without a disclaimer,656,1
106648878818829,sambadaisy,These ads ran without a disclaimer,656,1
2271046846348466,Missionshammah,These ads ran without a disclaimer,656,1
1637519203176011,ClearFox Wastewater Treatment,These ads ran without a disclaimer,656,2
103246331543515,Ayuel Monykuch,These ads ran without a disclaimer,656,1
110894781744542,Maatikment_Votre,These ads ran without a disclaimer,656,2
638490329676984,12 DGPD,These ads ran without a disclaimer,656,1
377609782100073,Actualités officielles de Denis Sassou N’Guesso,These ads ran without a disclaimer,656,2
110934805212753,Nouvelles des Congo,These ads ran without a disclaimer,656,1
190126634445277,Africa Defense Forum ADF Magazine,These ads ran without a disclaimer,643,9
110223380476268,Génération Sans Tabac,These ads ran without a disclaimer,643,7
104987934716662,clopur,These ads ran without a disclaimer,630,1
113615355316959,WIRED UK,These ads ran without a disclaimer,615,2
371171589575669,China.org.cn,These ads ran without a disclaimer,612,7
161659107033442,Honorable Rick Gerald Bokilo,These ads ran without a disclaimer,612,1
1527158520930974,Cercle de Soutien à Denis Christel Sassou Nguesso,These ads ran without a disclaimer,612,1
107499437953437,Centre d'Initiatives pour une Migration Sûre - CIMS.,These ads ran without a disclaimer,612,1
170360176854212,La JEUNE GARDE,These ads ran without a disclaimer,612,5
788505334609291,Focus Médias,These ads ran without a disclaimer,612,2
106732102014552,Hautes Personnalités Magazine,These ads ran without a disclaimer,612,1
893704437379805,Power Africa,These ads ran without a disclaimer,612,1
401958913937196,Denise Nyakeru Tshisekedi,These ads ran without a disclaimer,612,1
270250766731958,Agence Ambition,These ads ran without a disclaimer,612,1
102091458359321,English with Coach Clark,These ads ran without a disclaimer,612,1
413711796111521,Muana mboka +242,These ads ran without a disclaimer,612,2
115176616623092,Naïma Allao,These ads ran without a disclaimer,612,1
29056789480,Project Syndicate,These ads ran without a disclaimer,612,5
110087151496085,Gedeon mbuyi,These ads ran without a disclaimer,612,1
130794497100920,Global Forest Watch,These ads ran without a disclaimer,612,2
108375822194732,Germaine Tshinyama,These ads ran without a disclaimer,612,1
70877580782,IFC - International Finance Corporation,These ads ran without a disclaimer,612,13
209464653188838,Brice Dimtri Bayendissa,These ads ran without a disclaimer,612,2
103583955836259,Tout sur l'Afrique,These ads ran without a disclaimer,612,1
167034980027706,Tecnotree Corporation,These ads ran without a disclaimer,612,3
101877172901764,precieuxmassoueme,These ads ran without a disclaimer,612,1
371227786709544,Refund Express LLC,These ads ran without a disclaimer,612,5
102539025048010,mpoyi_princesse_tshiamala,These ads ran without a disclaimer,612,1
102322412681169,Zephirine Etotowa Ntutume,These ads ran without a disclaimer,612,1
569860976724395,Satellite Congolais .Com,These ads ran without a disclaimer,612,1
124252504303223,UNICEF (FR),These ads ran without a disclaimer,612,4
166552420658535,Mawete  Média,These ads ran without a disclaimer,612,2
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,612,59
1703499683075428,Brazza Picture,These ads ran without a disclaimer,612,1
29637975401,The Mariners' Museum and Park,These ads ran without a disclaimer,612,1
1456172994602986,Beacon of Hope,These ads ran without a disclaimer,612,2
111899877355524,Rachel Rachetée Kombela,These ads ran without a disclaimer,612,2
265429444271594,MAJ CONGO,These ads ran without a disclaimer,612,1
108951581636561,Sakola tv,These ads ran without a disclaimer,612,1
107207931828456,Next Thing Technologies,These ads ran without a disclaimer,612,5
107035108708252,CPR,These ads ran without a disclaimer,612,1
1635372166480101,TOP 2,These ads ran without a disclaimer,612,1
104446759133504,Citoyenneté immigration Canadienne,These ads ran without a disclaimer,612,1
931458143625686,Maître Avatar Jean Pierre Manzolo,These ads ran without a disclaimer,612,2
111590011821864,Congo finance,These ads ran without a disclaimer,612,1
148423685184180,"איל""ן - איגוד ישראלי לילדים נפגעים",These ads ran without a disclaimer,599,1
104015742220554,Mimic,These ads ran without a disclaimer,588,6
187429968296722,Harvard Online,These ads ran without a disclaimer,583,4
101398472856147,Offre d'emploi,These ads ran without a disclaimer,582,1
1495062327433191,Sunhak Peace Prize,These ads ran without a disclaimer,580,8
100126212204265,Homebond Properties,These ads ran without a disclaimer,564,1
101273705782943,Rubrik Immobiler,These ads ran without a disclaimer,563,2
1840617676028308,MC Max 大力,These ads ran without a disclaimer,558,3
100126129326486,MSD for Mothers,These ads ran without a disclaimer,557,2
107600958493138,Bobo wallpaper,These ads ran without a disclaimer,539,1
102504238965672,womenofcryptonft,These ads ran without a disclaimer,533,4
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,UNICEF,527,39
1091110144415484,Skytech Congo,These ads ran without a disclaimer,527,1
0,Instagram User 836641289,These ads ran without a disclaimer,527,1
2231696263590705,Conseil Consultatif de la Jeunesse,These ads ran without a disclaimer,527,1
105573718430472,Forêtsmag,These ads ran without a disclaimer,521,1
500895353689021,Africa's Business Heroes,These ads ran without a disclaimer,498,15
1616354495243083,International Fellowship of Reconciliation - IFOR,These ads ran without a disclaimer,492,7
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,490,12
120444487996350,Banque mondiale Région Afrique,These ads ran without a disclaimer,490,4
102415047928145,Shanghai Electric,These ads ran without a disclaimer,486,14
101837288924546,Muslimi,These ads ran without a disclaimer,475,32
674374605962850,Future of Life Institute,These ads ran without a disclaimer,472,2
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,460,8
423670114403144,Trending in China,These ads ran without a disclaimer,459,8
983135718420987,Visit Jiangsu,These ads ran without a disclaimer,451,3
117601104550544,Brazzaville International Leadership Youth Forum-BILYF,These ads ran without a disclaimer,447,1
100722408729129,Gabriella  Kikwaki Author,These ads ran without a disclaimer,447,1
249611678919630,AfriCanada Consulting Inc.,These ads ran without a disclaimer,447,1
695669030493619,La Tribune Events,These ads ran without a disclaimer,440,2
800966353274558,Sam Egube,These ads ran without a disclaimer,438,9
175469506172598,Ouédraogo Wendinminté,These ads ran without a disclaimer,435,4
447918769373957,CoC Playful Minds,These ads ran without a disclaimer,430,1
106827194681183,Africa Equity Media,These ads ran without a disclaimer,422,20
103035368477515,Mariam KEITA,These ads ran without a disclaimer,421,8
102287686189271,NB Store,These ads ran without a disclaimer,416,1
2371071496554597,La Vérité,These ads ran without a disclaimer,414,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,394,4
1238173096287495,Azur Games,These ads ran without a disclaimer,392,3
204740833658478,Exness Life,These ads ran without a disclaimer,392,5
107954162096392,Institute of Public Policy & Diplomacy Research,These ads ran without a disclaimer,392,2
687481384981804,Guy ramy Lonia,These ads ran without a disclaimer,386,2
102573331784359,Nouvelle du Pieu de Diata,These ads ran without a disclaimer,381,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,379,97
101835906339510,Jeune Chambre Economique Congo Brazzaville,These ads ran without a disclaimer,374,2
107694388510841,Leadership Pour Un Congo Nouveau,These ads ran without a disclaimer,374,4
719853864726295,Mindvalley,These ads ran without a disclaimer,367,21
301941440408981,Fortifi Lushima,These ads ran without a disclaimer,367,3
793541217464814,Cisco Global Problem Solver Challenge,These ads ran without a disclaimer,349,1
176104589110851,IEEE,These ads ran without a disclaimer,339,4
131189377574,MDPI,These ads ran without a disclaimer,326,61
101079809576012,KAMA NA MUNU,These ads ran without a disclaimer,321,3
715337551812957,One Ummah,These ads ran without a disclaimer,319,13
103449517822304,CNPC,These ads ran without a disclaimer,318,2
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,318,3
270951116255236,GEA Farming,These ads ran without a disclaimer,315,4
111622410196045,State of Youth,These ads ran without a disclaimer,315,18
342526129176907,World Maritime University - headquarters,These ads ran without a disclaimer,313,4
100342762418085,Blessing Light’ngozi,These ads ran without a disclaimer,300,3
68793499001,UNICEF,UNICEF,294,56
100162738241949,Xu Zeyu,These ads ran without a disclaimer,294,8
134278719946186,Bayer,These ads ran without a disclaimer,294,8
106852784106445,LGMG,These ads ran without a disclaimer,293,1
306607746706858,Biso buzz,These ads ran without a disclaimer,288,1
64588666340,Haaretz.com,These ads ran without a disclaimer,288,11
102877471454350,Kande Gao,These ads ran without a disclaimer,282,2
106901475616747,La franc-maçonnerie,These ads ran without a disclaimer,276,1
148117115058766,Fight 4 Africa,These ads ran without a disclaimer,276,1
100435705425417,CAPI MARKET INTERNATIONAL,These ads ran without a disclaimer,273,1
131664893560695,Origins OSU,These ads ran without a disclaimer,270,24
165735080129039,Prisca Massossa,These ads ran without a disclaimer,269,1
1826241344357594,MultiChoice Group,These ads ran without a disclaimer,264,3
89529786318,Elizabeth Glaser Pediatric AIDS Foundation,These ads ran without a disclaimer,263,3
100672138658787,Massolo Media,These ads ran without a disclaimer,263,1
130369030334301,KidsRights,These ads ran without a disclaimer,262,9
994736153883626,Abdoul Kaba,These ads ran without a disclaimer,261,4
638820659597919,Foire de Canton,These ads ran without a disclaimer,251,2
345840486219924,Energy China,These ads ran without a disclaimer,245,19
10750083165,The Africa Report,These ads ran without a disclaimer,243,29
106620807391911,Roche,These ads ran without a disclaimer,242,4
110268564951923,Wildlife Solutions,These ads ran without a disclaimer,236,2
1140960735939014,"Viany Art, Culture & Environnement",These ads ran without a disclaimer,232,2
100444065759459,The Renata,These ads ran without a disclaimer,227,3
1448903671990351,China.org.cn,These ads ran without a disclaimer,227,4
138278482866502,The Wrestling Game,These ads ran without a disclaimer,223,1
1917695525217627,Clinique Médicale De La Fondation Matete,These ads ran without a disclaimer,216,3
108383491480436,Have U Heard,These ads ran without a disclaimer,214,12
108974874154249,Universal Peace Federation - Africa Region,These ads ran without a disclaimer,214,2
195799657105195,SEGi University & Colleges,These ads ran without a disclaimer,213,23
183654238361613,World Diabetes Foundation,These ads ran without a disclaimer,212,1
113046460881917,christbikouedi,These ads ran without a disclaimer,203,1
103882051026543,Never Limit Children,These ads ran without a disclaimer,202,1
1818779975045249,EduConservation,These ads ran without a disclaimer,201,1
100324982879552,Takapté,These ads ran without a disclaimer,197,2
402685743676956,E-Volve Energy,These ads ran without a disclaimer,196,1
107935894688657,docfliq,These ads ran without a disclaimer,191,1
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,190,4
954162551399498,Vitaly Malkin,These ads ran without a disclaimer,190,1
520043348202458,Marianne.NgCoshop,These ads ran without a disclaimer,190,1
107779832230387,herve_isamanga,These ads ran without a disclaimer,184,2
112014055141188,Andrea Longo,These ads ran without a disclaimer,184,5
15549290636,Njacko Backo,These ads ran without a disclaimer,181,1
105848558790469,"Word Office - Reader, Editor & Viewer",These ads ran without a disclaimer,178,1
169042736456594,All Out,These ads ran without a disclaimer,178,1
678954262167350,Discover China,These ads ran without a disclaimer,178,3
109992798294853,Good View Hunting,These ads ran without a disclaimer,178,2
116163254919357,Thales Nunes,These ads ran without a disclaimer,175,4
112992870832988,Genertec,These ads ran without a disclaimer,171,5
103377668330393,Mirësi Për Botën,These ads ran without a disclaimer,171,4
102860875465067,New Marco Polo,These ads ran without a disclaimer,171,2
342505102498595,"Public Service And Administration, RSA",These ads ran without a disclaimer,168,1
105012451157797,Uniathena - Short Courses,These ads ran without a disclaimer,167,2
1589154051350606,FOZ - Friends of Zion Museum,These ads ran without a disclaimer,163,3
242956038894860,Andréa Carole Sassou Nguesso,These ads ran without a disclaimer,157,1
102878304613665,Global Heroes,These ads ran without a disclaimer,154,6
105972509425490,KADIST,These ads ran without a disclaimer,153,3
100172476278127,Easy Study,These ads ran without a disclaimer,152,1
488629597893093,Goodwall,These ads ran without a disclaimer,147,1
105728695286283,الشرق للأخبار - السودان,These ads ran without a disclaimer,147,7
119096577794445,Oasismore,These ads ran without a disclaimer,147,6
353371268085999,Lorraine LionHeart,These ads ran without a disclaimer,147,1
103512969698091,Le Tour de France,These ads ran without a disclaimer,144,1
100151016279664,CHW 2023 Symposium Liberia,These ads ran without a disclaimer,141,1
125540182400469,The Daily Resource,These ads ran without a disclaimer,141,4
103266239357283,Femmes Guerrières En Christ,These ads ran without a disclaimer,141,1
146627512070062,International Air Transport Association (IATA),These ads ran without a disclaimer,141,3
101489936134366,NovelOasis,These ads ran without a disclaimer,141,24
105363750882345,Young Activists Summit,These ads ran without a disclaimer,140,14
100149906713244,350 Africa,These ads ran without a disclaimer,137,2
122094853676016135,Trophy Trivia,These ads ran without a disclaimer,135,1
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,135,4
1675360659149686,University of Aberdeen School of Geosciences,These ads ran without a disclaimer,132,2
1733294896913672,The Cherise Makubale Foundation,These ads ran without a disclaimer,132,1
947141812042694,Egypt Energy Show - Egypes,These ads ran without a disclaimer,130,23
1174024365982168,Howard的家居好物推荐,These ads ran without a disclaimer,130,1
176451929056436,Redress Design Award,These ads ran without a disclaimer,129,3
149572951788851,Quotidien du Peuple,These ads ran without a disclaimer,129,4
101971649108245,SOFARSOLAR,These ads ran without a disclaimer,129,3
123279176118,DHgate,These ads ran without a disclaimer,129,1
109926774968672,"Shenzhen Top-Peak Electronics Co.,Ltd.",These ads ran without a disclaimer,129,2
101305668633517,Bob's Hideout - Lifestyle,These ads ran without a disclaimer,129,1
562471887119419,DHL Africa,These ads ran without a disclaimer,127,15
108747708692898,Naomie Seho,These ads ran without a disclaimer,123,9
449554621832200,IOM Uganda,These ads ran without a disclaimer,122,1
1984620174988993,1945 Air Force,These ads ran without a disclaimer,122,2
1017490151713022,ICOM General Conference,These ads ran without a disclaimer,122,2
158399880691393,Éditions Agence française de développement,These ads ran without a disclaimer,119,1
216650141692498,DEIDO BOY MAGAZINE,These ads ran without a disclaimer,118,12
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,116,30
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,114,1
1114928958600672,Un Autre Regard Sur Soi.,These ads ran without a disclaimer,112,1
287695354586062,CIBAC Party-List,These ads ran without a disclaimer,110,3
113502287096979,I Luv Australia,These ads ran without a disclaimer,110,2
349837788460874,CRI Kiswahili,These ads ran without a disclaimer,110,4
115225196522482,Camarade Jeff Roméo Apanga,These ads ran without a disclaimer,110,1
107967534815674,Vahid immigration Canadian,These ads ran without a disclaimer,110,1
132937020053182,Adventist Review,These ads ran without a disclaimer,110,4
429009974099356,Hiphopgamer,These ads ran without a disclaimer,110,2
106479017486767,Mercy to Humanity - جَمْعِيَة رَحْمَةً لِلْعَالَمِين,These ads ran without a disclaimer,109,7
119428541568709,SciDev.Net: Sub-Saharan Africa,These ads ran without a disclaimer,109,8
550280998481446,Rasha Kelej,These ads ran without a disclaimer,109,5
684480475094920,Discover Inner Mongolia,These ads ran without a disclaimer,104,3
101416789396654,GP COM,These ads ran without a disclaimer,104,1
100949305633793,Silent_High Quality113-V,These ads ran without a disclaimer,104,1
103733191524431,Liuxininbeijing,These ads ran without a disclaimer,104,8
643647332320553,Orient - أورينت,These ads ran without a disclaimer,103,11
103262481273356,ADNAFRICA,These ads ran without a disclaimer,≤100,4
108462078527983,Mvl Tv officiel,These ads ran without a disclaimer,≤100,1
101019396090035,Khadim Rassoul M,These ads ran without a disclaimer,≤100,2
1216974131650148,Beijing Mutianyu Great Wall,These ads ran without a disclaimer,≤100,2
417161858838974,China Council for International Cooperation on Environment and Development,These ads ran without a disclaimer,≤100,4
1747956948592119,Visit 2 Israel,These ads ran without a disclaimer,≤100,2
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,35
317793148081182,Mwimbo,These ads ran without a disclaimer,≤100,2
102648558666499,World Vision NE,These ads ran without a disclaimer,≤100,1
166991466508106,Direction Générale de la Jeunesse - République du Congo,These ads ran without a disclaimer,≤100,1
109662488246997,Explore Haikou,These ads ran without a disclaimer,≤100,5
