Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
268644129832550,GSD - Gibraltar Social Democrats,GSD - Gibraltar Social Democrats,3474,159
113405606703088,GSLP Social,GSLP Social,3252,69
747934725413071,Together Gibraltar,Together Gibraltar,132,7
193051710722341,GSLP Youth Section,GSLP Youth Section,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,111
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,5
160423600676763,Hammonds TV,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,238
124968667548300,Gibraltar Panorama,These ads ran without a disclaimer,≤100,3
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100,184
432363893938433,KPOP MUSIC,These ads ran without a disclaimer,≤100,86
110178328228079,NinjaOne Europe,These ads ran without a disclaimer,≤100,6
105254271207122,Ian Lawman,These ads ran without a disclaimer,≤100,6
441717016632433,Kasaba Lagup,These ads ran without a disclaimer,≤100,60
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,11
709250726175073,OTWO,These ads ran without a disclaimer,≤100,1
125925807272897,Panorama Newsdesk,These ads ran without a disclaimer,≤100,2
98673036962,ROLDA,These ads ran without a disclaimer,≤100,40
102251318064432,Organon,These ads ran without a disclaimer,≤100,4
797617580350795,Kaitlin Hawayek & Jean-Luc Baker,These ads ran without a disclaimer,≤100,1
113405606703088,GSLP Social,These ads ran without a disclaimer,≤100,1
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,26
150989111432457,The Bigger Picture,These ads ran without a disclaimer,≤100,1
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,2
110038557114533,Imagine5,These ads ran without a disclaimer,≤100,9
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,58
1993650304246254,San Joe,These ads ran without a disclaimer,≤100,12
914265645328931,Gibraltar Alzheimer's & Dementia Society,These ads ran without a disclaimer,≤100,1
1008024479244051,Ibex Insurance Gibraltar,These ads ran without a disclaimer,≤100,1
842108685901659,Xi's Moments,These ads ran without a disclaimer,≤100,1
845620825830146,Deel,These ads ran without a disclaimer,≤100,5
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,≤100,9
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,45
101033562637947,sgkleinworthambros,These ads ran without a disclaimer,≤100,3
382081373056,BMW Group,These ads ran without a disclaimer,≤100,13
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,23
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,10
715337551812957,One Ummah,These ads ran without a disclaimer,≤100,12
139666286225597,Euranet Plus - Official,These ads ran without a disclaimer,≤100,14
92376343177,DJ TONY TOUCH,These ads ran without a disclaimer,≤100,23
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,5
114319561948157,PCRF - Palestine Children's Relief Fund,These ads ran without a disclaimer,≤100,9
1648670215356137,Fabio Marziali,These ads ran without a disclaimer,≤100,9
110612345067413,illumishare_srg,These ads ran without a disclaimer,≤100,1
103377668330393,Mirësi Për Botën,These ads ran without a disclaimer,≤100,4
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
101837288924546,Muslimi,These ads ran without a disclaimer,≤100,24
209897660339,John Isner,These ads ran without a disclaimer,≤100,3
181924628560212,Ekō,These ads ran without a disclaimer,≤100,5
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
102749896226364,חיים בשביל החי,These ads ran without a disclaimer,≤100,9
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,12
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,22
102500518635499,ENTR en,These ads ran without a disclaimer,≤100,31
107898798686030,Postcards from Ukraine,These ads ran without a disclaimer,≤100,5
103004792660944,Longleaf Valley,These ads ran without a disclaimer,≤100,1
122010267871418,Cámara de Comercio del Campo de Gibraltar,These ads ran without a disclaimer,≤100,1
455133101359253,Tax Consulting South Africa,These ads ran without a disclaimer,≤100,10
200754027058964,Consejos De Amor,These ads ran without a disclaimer,≤100,11
105068988430553,Carbon Credits,These ads ran without a disclaimer,≤100,5
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
170578859467775,Harainbow,These ads ran without a disclaimer,≤100,20
111934001883608,Emília Anastasia,These ads ran without a disclaimer,≤100,1
579848135530446,Porzellanmanufaktur FÜRSTENBERG,These ads ran without a disclaimer,≤100,6
463704000312151,Videonewsharing,These ads ran without a disclaimer,≤100,1
153967071280480,Daniel Eisenman: The Freedom Catalyst,These ads ran without a disclaimer,≤100,5
9814846723,Eric Edmeades,These ads ran without a disclaimer,≤100,3
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,6
110279758515616,3addedminutes,These ads ran without a disclaimer,≤100,1
208189704820,Ellen MacArthur Foundation,These ads ran without a disclaimer,≤100,4
1184617548286663,Arctic Basecamp,These ads ran without a disclaimer,≤100,1
101869252545585,House of Power: The Game,These ads ran without a disclaimer,≤100,22
101653285444113,SK텔레콤 뉴스룸,These ads ran without a disclaimer,≤100,3
112857077857582,Omo - Weight Loss With Psychology,These ads ran without a disclaimer,≤100,3
490153494688705,Aisha Usman,These ads ran without a disclaimer,≤100,12
171766144470874,Bruno crazy,These ads ran without a disclaimer,≤100,9
105039417804164,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,2
104877488982288,SLB,These ads ran without a disclaimer,≤100,7
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100,10
102393821206111,RainKiss,These ads ran without a disclaimer,≤100,2
138278482866502,The Wrestling Game,These ads ran without a disclaimer,≤100,1
340577086006224,CRI German,These ads ran without a disclaimer,≤100,11
89151782746,Fauna & Flora,These ads ran without a disclaimer,≤100,7
116114768127226,Idle Survivor Fortress Tycoon,These ads ran without a disclaimer,≤100,1
104405159011073,Sheba Tel HaShomer Global Division,These ads ran without a disclaimer,≤100,3
101885221985443,Volkswagen we drive football,These ads ran without a disclaimer,≤100,15
1887394344883841,Leakshare,These ads ran without a disclaimer,≤100,18
852370551453606,GARP,These ads ran without a disclaimer,≤100,7
619651344863672,Justin Peck,These ads ran without a disclaimer,≤100,2
108941249155931,Science and Nonduality Conference,These ads ran without a disclaimer,≤100,8
102477742553018,Aurorannie,These ads ran without a disclaimer,≤100,5
902485329837313,NinjaOne,These ads ran without a disclaimer,≤100,6
161707728106607,BayWa r.e. Global,These ads ran without a disclaimer,≤100,2
20031443281,Namecheap.com,These ads ran without a disclaimer,≤100,2
626987914308883,PlanetCare,These ads ran without a disclaimer,≤100,3
111425141958605,Sparklo,These ads ran without a disclaimer,≤100,5
1509812532424154,Sulapac,These ads ran without a disclaimer,≤100,1
148083078714007,International Humanitarian Relief - IHR,These ads ran without a disclaimer,≤100,5
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
