Page ID,Page name,Disclaimer,Amount spent (PKR),Number of ads in Library
107739801980383,Karachi Stories,Karachi Stories,18609257,375
287842647957979,EU International Partnerships,These ads ran without a disclaimer,2849083,9
106467375444708,Karachi Presenter,Karachi Presenter,1284778,62
282015575255187,Moonis Elahi,Moonis Elahi,907987,7
110196941769209,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶,678303,366
108032181861181,Suno News HD,SUNO TV,643882,227
110657041281786,South Today,South Today,632207,9
252434368713670,Humayun Akhtar Khan,Humayun Akhtar Khan,618197,68
109493084543028,Four Corners with Tarar,NEXT TV,561653,44
381142805249210,Alkhidmat Karachi,Alkhidmat Karachi,551428,1
110196941769209,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶 𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹,481581,55
108032181861181,Suno News HD,Suno News HD,469728,56
304781399652673,Jamshed Iqbal Cheema,Jamshed Iqbal Cheema,397495,31
111378401865271,Jawad Sohrab Malik,Rehma Chaudhary,366924,51
243333470951488,Coca-Cola Pakistan & Afghanistan,These ads ran without a disclaimer,357664,3
170143393060313,MaxBachat Super Market,These ads ran without a disclaimer,318838,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,289511,3
315863402653597,Prime Minister’s Youth Programme,Prime Minister’s Youth Programme,280016,13
111320974880220,The Solution,Taha Bin Muhammad,270163,41
171980796153771,Siraj ul Haq,Siraj ul Haq,255135,52
107542108709237,Revolutionary Karachi,Revolutionary Karachi,246322,11
543755195637715,Mian Aslam,Mian Aslam,244934,12
407889229718531,Sardar Tanveer Ilyas Khan,Sardar Tanveer Ilyas Khan,237160,47
1374640176192198,BISP Pakistan,Mercury Transformations,234297,139
448981518645687,Chaudhary Shahid Bashir,Chaudhary Shahid Bashir,226708,119
1706863532970589,Nasir Hashmi,Osama Rehman Butt,224191,104
101048095987984,Ayaz Shuja,These ads ran without a disclaimer,223595,177
112611718401040,Pakistan Markazi Muslim League - Karachi,Pakistan Markazi Muslim League - Karachi,220087,30
107739801980383,Karachi Stories,These ads ran without a disclaimer,214100,22
111021638285303,Chaudhry Aurangzeb,Chaudhry Aurangzeb,210992,200
