Page ID,Page name,Disclaimer,Amount spent (PGK),Number of ads in Library
337504050225186,PNG BUZZ,PNGEC,11280,10
765439466917271,PNG SUN,PNG SUN,11263,81
111505803727092,"Hon. Pila Niningi, LLB, MP",Thelma Kavanamur,6416,68
115303976967791,"Peter O'Neill, MP",Peter Paire O'Neill,5572,24
102833145253971,Jackson Kiakari,Jackson C Kiakari,3772,32
137478786455392,PNC People's National Congress,Peter Paire O'Neill,2796,18
102204072285898,"Hon. KEITH IDUHU, MP-Member for Hiri-Koiari",These ads ran without a disclaimer,2516,9
1692218347708164,Hon. Justin Tkatchenko MP,Justin Wayne Tkatchenko,2484,25
106819965274796,Zechariah YAKAP for NCD,Zechariah Yakap,1954,14
104713668819658,Tania Bale,Tania Anne Fewec Bale,1751,13
933310850194959,Israel Alliance,These ads ran without a disclaimer,1075,13
113061438072821,Sheldon Deilala,Sheldon Deilala,1050,8
107542608636904,PANGU PATI - 2022 National General Elections,PANGU PARTY,897,12
102184609218786,Robert Agen 2022 NCD Regional Seat,Robert Agen,885,6
130945820519,FIMI,These ads ran without a disclaimer,840,2
103770768699542,Kopiago SDA church Miss Chntenance,These ads ran without a disclaimer,745,1
104465271554941,Sylvia Pascoe Official,These ads ran without a disclaimer,682,3
287683225711,UN Environment Programme,UN Environment Programme,677,16
115727174471980,Andy Bawa for NCD Regional Seat 2022,Douglas Sil Kala,615,4
103072572452334,Justin Herepe for Moresby North East 2022,Bartholomew Francis Pakakota,519,2
103968558464034,Dr. Thaddeus Kambanei,Seymour Klewaki,479,6
110236691694943,Dr. Alphonse Kambu - Kerowagi Open,These ads ran without a disclaimer,473,3
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,457,21
765439466917271,PNG SUN,Wanpis Ako,450,6
107051848638021,Kakale Amena Pingipe Landowners Association Inc.,Zechariah Yakap,377,3
68793499001,UNICEF,UNICEF with Facebook Ad Credits,303,23
117103960988888,Vote For Change For Kokopo District - Melkie Anton,Andy Bill,277,16
200480966638039,Supremacy 1914,These ads ran without a disclaimer,277,3
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,275,5
257935064296094,UNICEF Papua New Guinea,These ads ran without a disclaimer,261,3
104086695972136,New Ireland Government News,These ads ran without a disclaimer,254,3
211278712925199,Amnesty International,These ads ran without a disclaimer,243,94
6013004059,The Economist,These ads ran without a disclaimer,227,24
104711452199932,Mel4Gazelle,Streakegik Marketing Ltd,208,2
149396045121093,APEC - Asia-Pacific Economic Cooperation,These ads ran without a disclaimer,201,2
106130985451011,Danny Gonol WHP Regional Box 23,These ads ran without a disclaimer,200,7
147644939157018,LAE OPEN Electorate - JOHN ROSSO Dps MP,These ads ran without a disclaimer,196,4
102874232203527,New Page,These ads ran without a disclaimer,163,69
100904822517086,Non-Trivial,These ads ran without a disclaimer,153,17
110801873957389,Pacific Security College,These ads ran without a disclaimer,149,11
106334497783065,Hon. Dadi Toka,These ads ran without a disclaimer,146,9
120201091012610,Atlantis Oceanians,These ads ran without a disclaimer,135,1
765439466917271,PNG SUN,These ads ran without a disclaimer,135,1
8304333127,The Wall Street Journal,These ads ran without a disclaimer,118,2
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,110,5
9480502970,Greenpeace Australia Pacific,These ads ran without a disclaimer,107,6
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,72
101657139123672,Paul Tumun - 2022 ASW Seat,These ads ran without a disclaimer,≤100,6
103596068493324,Charles Lee 2022,These ads ran without a disclaimer,≤100,1
105491205156411,Hon. Rufina Peter MP Governor of Central Province,These ads ran without a disclaimer,≤100,1
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,21
108002477431551,The Green Space,These ads ran without a disclaimer,≤100,1
109019994926976,Tombem Light House,These ads ran without a disclaimer,≤100,2
126052760507,Mama Cash,These ads ran without a disclaimer,≤100,52
108186171807572,New Page,These ads ran without a disclaimer,≤100,12
593716110649570,Hardware Haus Ltd,These ads ran without a disclaimer,≤100,1
104399134715456,CRC Public Relations Pacific,These ads ran without a disclaimer,≤100,1
100246268004961,Robert Iki Leso's Positive Influence Solutions,These ads ran without a disclaimer,≤100,3
116468611055097,Mambei 4 Aitape Lumi,These ads ran without a disclaimer,≤100,1
461484337565161,Pacific Island Food Revolution,These ads ran without a disclaimer,≤100,1
102211979093712,EdHeroes,These ads ran without a disclaimer,≤100,13
435761629822155,Commonwealth Foundation,These ads ran without a disclaimer,≤100,3
110555204994389,Team Tony Mokono - NCD Regional 2022,Noliaso Gotaha,≤100,3
106153472137183,Fred Yeis Yakasa official,Amean Scholar,≤100,3
119405895873,Huawei,These ads ran without a disclaimer,≤100,21
7297163299,Greenpeace International,These ads ran without a disclaimer,≤100,3
21591025194,The University of Melbourne,These ads ran without a disclaimer,≤100,6
1248258641950353,Flylink Aviation College,These ads ran without a disclaimer,≤100,2
103533002363746,DES YES 4 Moresby Northwest,These ads ran without a disclaimer,≤100,1
106331474473738,Esport Mobile,These ads ran without a disclaimer,≤100,2
105570608861092,Truth Be Told - PNG,These ads ran without a disclaimer,≤100,2
104015742220554,Mimic,These ads ran without a disclaimer,≤100,6
103897312364227,James Micah Teine 53,Douglas Sil Kala,≤100,1
1528844147347951,GIST Net,These ads ran without a disclaimer,≤100,1
109133131400585,"Monam Searson, Realtor",These ads ran without a disclaimer,≤100,2
113532493696892,PNG Features,These ads ran without a disclaimer,≤100,8
64588666340,Haaretz.com,These ads ran without a disclaimer,≤100,12
102328765911090,INFO OPM TPNPB-OPM News,These ads ran without a disclaimer,≤100,2
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,11
204305936097389,Finally money,These ads ran without a disclaimer,≤100,1
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,12
110979294923104,Secretos de la Música,These ads ran without a disclaimer,≤100,2
101730155015981,Taiwan in Papua New Guinea,These ads ran without a disclaimer,≤100,3
104049335586550,Jeffrey Mane Febi for Lufa - 2022,These ads ran without a disclaimer,≤100,2
103474921235133,FJ HT,FJ HT,≤100,5
100929648464258,Global Alliance of Territorial Communities,These ads ran without a disclaimer,≤100,1
102528515275463,Mathew Minape - Money Talks,These ads ran without a disclaimer,≤100,2
100974011997855,Anna Kavana Bais - The A Team - Moresby North West,These ads ran without a disclaimer,≤100,1
101337529525178,David Mae,These ads ran without a disclaimer,≤100,1
166591246714313,Tetra Pak,These ads ran without a disclaimer,≤100,5
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,82
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,44
104875075169234,People of the New Covenant,These ads ran without a disclaimer,≤100,1
103273702403906,Abdon Bumpu - Nawaeb Open 2022 NGE,These ads ran without a disclaimer,≤100,7
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,13
106903467464832,View Information,These ads ran without a disclaimer,≤100,5
110949418465229,ICT & Internet,These ads ran without a disclaimer,≤100,1
106983891952270,Deep Wallpaper-wei316,These ads ran without a disclaimer,≤100,2
525102824185497,Indo-Pacific Defense Forum,These ads ran without a disclaimer,≤100,8
68793499001,UNICEF,These ads ran without a disclaimer,≤100,21
128323707185817,deVere Group,These ads ran without a disclaimer,≤100,5
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,9
111944947969816,UNDP Enga Landscape Project -EU Funded,These ads ran without a disclaimer,≤100,3
437153699802747,Brendan Kane,These ads ran without a disclaimer,≤100,6
110924904369575,UNOPS East Asia & Pacific,These ads ran without a disclaimer,≤100,2
1025785180825093,PNG National Film Institute,These ads ran without a disclaimer,≤100,1
105728562826950,Atlantic International University,These ads ran without a disclaimer,≤100,1
1452232881531908,UNICEF East Asia & Pacific,These ads ran without a disclaimer,≤100,56
68793499001,UNICEF,UNICEF,≤100,74
106905656797560,Nia Tero,These ads ran without a disclaimer,≤100,4
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,25
112596123947270,Theodist Digital Printing,These ads ran without a disclaimer,≤100,1
171795872872353,ISPI - Istituto per gli Studi di Politica Internazionale,These ads ran without a disclaimer,≤100,4
262370800536,CanadaHelps,These ads ran without a disclaimer,≤100,1
153105191209833,Bp finance,These ads ran without a disclaimer,≤100,1
198317336853861,Qatar Airways,These ads ran without a disclaimer,≤100,2
187429968296722,Harvard Online,These ads ran without a disclaimer,≤100,5
106620807391911,Roche,These ads ran without a disclaimer,≤100,4
113704773876975,Sustainable Japan by The Japan Times,These ads ran without a disclaimer,≤100,3
6651543066,CNN Business,These ads ran without a disclaimer,≤100,15
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
111607410977247,Zechariah YAKAP for NORTH WEST,These ads ran without a disclaimer,≤100,2
132579906756944,United Nations ESCAP,These ads ran without a disclaimer,≤100,11
290967007641035,Peoples Movement For Change,These ads ran without a disclaimer,≤100,1
208685479508187,U-Report,These ads ran without a disclaimer,≤100,15
153371894688575,World Bank,These ads ran without a disclaimer,≤100,9
140815992677779,The Climate Reality Project - Australia & Pacific,These ads ran without a disclaimer,≤100,1
135038490003175,Zechariah YAKAP,These ads ran without a disclaimer,≤100,1
107207931828456,Next Thing Technologies,These ads ran without a disclaimer,≤100,6
106819965274796,Zechariah YAKAP for NCD,These ads ran without a disclaimer,≤100,2
109787684975930,StoryLight,These ads ran without a disclaimer,≤100,2
107302577860422,Construct Oceanic Limited,These ads ran without a disclaimer,≤100,1
738777416145406,The Agam Agenda,These ads ran without a disclaimer,≤100,4
1456172994602986,Beacon of Hope,These ads ran without a disclaimer,≤100,2
100704212483522,Josien Training & Consultancy JTC,These ads ran without a disclaimer,≤100,1
101082842736363,The world of reader,These ads ran without a disclaimer,≤100,4
100851005361914,Populiist Online,These ads ran without a disclaimer,≤100,29
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,4
