Page ID,Page name,Disclaimer,Amount spent (JMD),Number of ads in Library
105078391598594,To Be Or,These ads ran without a disclaimer,≤100,1
286600028045589,"IL LAVORO ITALIANO IN ETIOPIA DAL 1941 AL 1973  ""una galleria di successi""",These ads ran without a disclaimer,≤100,1
629197097193241,Success Resources,These ads ran without a disclaimer,≤100,2
984203991753488,Research Outreach,These ads ran without a disclaimer,≤100,1
102839539066726,Motor-Wheel,These ads ran without a disclaimer,≤100,5
100738672408911,Magic Lock,These ads ran without a disclaimer,≤100,1
103205701024387,jasoncunningham8278,These ads ran without a disclaimer,≤100,1
95775573753,Frontiers,These ads ran without a disclaimer,≤100,7
495206757286894,Laudato Si Movement,These ads ran without a disclaimer,≤100,1
102878985546618,SUSTech Admissions,These ads ran without a disclaimer,≤100,1
111827148225737,Mauricio Leite,These ads ran without a disclaimer,≤100,1
103173162233460,afrinomica,These ads ran without a disclaimer,≤100,2
102262146179303,Group Grass,These ads ran without a disclaimer,≤100,1
730460987154021,PostFun,These ads ran without a disclaimer,≤100,2
107012889004061,Awe18,These ads ran without a disclaimer,≤100,1
685161778223108,Sarah Lee - Entertainer,These ads ran without a disclaimer,≤100,1
103496435538391,"Finding Peace-A Spiritual, Physical, Mental and Emotional interconnectivity",These ads ran without a disclaimer,≤100,1
105885535599394,Coach Cecil,These ads ran without a disclaimer,≤100,1
116845691339120,Awe21,These ads ran without a disclaimer,≤100,1
116961251762152,Hair of the Dog Academy with Nicole Begley,These ads ran without a disclaimer,≤100,1
137704262972584,MobiHealthNews,These ads ran without a disclaimer,≤100,1
360036685086571,Our Funny Little Site Shorts,These ads ran without a disclaimer,≤100,1
101289218907718,Web News,These ads ran without a disclaimer,≤100,2
108202585222420,Foodie Hunks,These ads ran without a disclaimer,≤100,1
108584201404731,La Civiltà Cattolica - Edición en español,These ads ran without a disclaimer,≤100,2
125540182400469,The Daily Resource,These ads ran without a disclaimer,≤100,2
102962435330790,The Hip Hop,These ads ran without a disclaimer,≤100,2
107963471456747,queensashaofficiel,These ads ran without a disclaimer,≤100,1
414718878625776,Hackster.io,These ads ran without a disclaimer,≤100,1
106701185163801,Your Hacks Spot,These ads ran without a disclaimer,≤100,2
104382861903188,China Railway Construction Corporation,These ads ran without a disclaimer,≤100,1
119257941437791,Allianz Care,These ads ran without a disclaimer,≤100,1
1041958629230034,Breathofairtestimonies,These ads ran without a disclaimer,≤100,1
112275231814174,Los secretos de david,These ads ran without a disclaimer,≤100,1
2354017254707192,Learning English with Oxford,These ads ran without a disclaimer,≤100,2
105578817821033,domkd3,These ads ran without a disclaimer,≤100,1
108069968319166,Zöld Pálya,These ads ran without a disclaimer,≤100,1
101987405778195,Crispy Pepper,These ads ran without a disclaimer,≤100,3
316496640057,7iber,These ads ran without a disclaimer,≤100,15
114182858222155,1hmy-sugar0105c,These ads ran without a disclaimer,≤100,1
104427072592445,Yu-55,These ads ran without a disclaimer,≤100,1
118509607841340,Texas Solar Group,These ads ran without a disclaimer,≤100,1
427747764026807,ShanghaiEye,These ads ran without a disclaimer,≤100,2
100247219402175,The Clever Protagonist,These ads ran without a disclaimer,≤100,2
112747788424229,Yuy-034,These ads ran without a disclaimer,≤100,1
1409192815995221,OmniScriptum,These ads ran without a disclaimer,≤100,1
103802865518363,the.tritano.show,These ads ran without a disclaimer,≤100,1
986013844824671,In Zhejiang,These ads ran without a disclaimer,≤100,2
101858846062827,Movement for Unity and Democracy,These ads ran without a disclaimer,≤100,1
112677355040402,MelaEducate,These ads ran without a disclaimer,≤100,1
178194518893277,اقرأ لي,These ads ran without a disclaimer,≤100,1
266790296879,Bloomberg,These ads ran without a disclaimer,≤100,4
103373078763268,Fiveo - magazine,These ads ran without a disclaimer,≤100,1
110993941170214,ChidoBook,These ads ran without a disclaimer,≤100,1
102784439372123,Planet Fights,These ads ran without a disclaimer,≤100,1
100982652385000,Home Read,These ads ran without a disclaimer,≤100,1
103172549436914,Noticias del mundo todos los días,These ads ran without a disclaimer,≤100,1
218798922334223,COFCO,These ads ran without a disclaimer,≤100,3
102211979093712,EdHeroes,These ads ran without a disclaimer,≤100,3
763097837185993,Instituto Reformado de São Paulo,These ads ran without a disclaimer,≤100,1
105371218233740,Every Day Koala Story,These ads ran without a disclaimer,≤100,2
185139171667,Daymond John,These ads ran without a disclaimer,≤100,3
101801896033176,Light1297_02,These ads ran without a disclaimer,≤100,1
109558851991088,Mazhawang01,These ads ran without a disclaimer,≤100,1
106750001603983,Top Pop Today jokes,These ads ran without a disclaimer,≤100,1
101056649075799,丁丁的lens,These ads ran without a disclaimer,≤100,1
111658128847068,Amnesty International,These ads ran without a disclaimer,≤100,1
104993792511414,DailyWolf,These ads ran without a disclaimer,≤100,1
104171261805501,Minister Kendeisha Moncur,These ads ran without a disclaimer,≤100,1
247668826187379,Taiwan Insider,These ads ran without a disclaimer,≤100,2
100277559413886,Music Legend Fan,These ads ran without a disclaimer,≤100,1
109371345205088,Fun Magazine Pro,These ads ran without a disclaimer,≤100,1
10423517786,Harvard Business Review,These ads ran without a disclaimer,≤100,1
312250336311238,Global Cause,These ads ran without a disclaimer,≤100,3
1740336349557186,Colby Jeffers,These ads ran without a disclaimer,≤100,2
174559545982571,British Council Schools,These ads ran without a disclaimer,≤100,1
106199505557329,Journals From Doc - AU,These ads ran without a disclaimer,≤100,1
378796415568701,Skyeng: онлайн-школа английского языка,These ads ran without a disclaimer,≤100,1
33860907121,FunTimes Magazine,These ads ran without a disclaimer,≤100,1
103083211820527,Our Funny Little Site Family,These ads ran without a disclaimer,≤100,1
107528525561047,Frank Ocean01,These ads ran without a disclaimer,≤100,1
287350275114316,Car Tribe,These ads ran without a disclaimer,≤100,1
108243272211736,therealjavougnhunter,These ads ran without a disclaimer,≤100,1
107084005069843,Self Improvement Academy,These ads ran without a disclaimer,≤100,1
101956255632720,Jessica's Green Channel,These ads ran without a disclaimer,≤100,1
108970188626325,Grounded with Steve Hartland,These ads ran without a disclaimer,≤100,1
112221226917224,RPS,These ads ran without a disclaimer,≤100,1
112749617094620,NutriNews International,These ads ran without a disclaimer,≤100,1
102068636147853,Magic1674-06,These ads ran without a disclaimer,≤100,1
106312952355406,Bonjour-23,These ads ran without a disclaimer,≤100,1
157929751070689,The Connected Hearts Inc,These ads ran without a disclaimer,≤100,1
105607552434777,Instalador Solar,These ads ran without a disclaimer,≤100,1
71448063400,Coral Reef Alliance,These ads ran without a disclaimer,≤100,1
2552571534784636,Micah Polo,These ads ran without a disclaimer,≤100,1
102423094813153,Robotina,These ads ran without a disclaimer,≤100,1
106802041266795,Trip Thunder,These ads ran without a disclaimer,≤100,1
134571176638205,One Tree Planted,These ads ran without a disclaimer,≤100,7
34630957028,Saint Mary's School,These ads ran without a disclaimer,≤100,1
1637307879891739,CARICOM.Energy,These ads ran without a disclaimer,≤100,1
100442842833627,Funny Story,These ads ran without a disclaimer,≤100,1
138702552827157,Business Traveller UK,These ads ran without a disclaimer,≤100,1
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,5
100575109262683,Kov Stories,These ads ran without a disclaimer,≤100,1
128985777176957,Church Life Journal,These ads ran without a disclaimer,≤100,2
114208138207880,lesetatsunisdesafro,These ads ran without a disclaimer,≤100,2
101262139356532,ardep_sl,These ads ran without a disclaimer,≤100,1
113374680226381,UnPasted,These ads ran without a disclaimer,≤100,1
109227277629813,Grassroots4LaVie,These ads ran without a disclaimer,≤100,1
220247148525333,Rabindranath Tagore Literary Prize,These ads ran without a disclaimer,≤100,1
111113447867154,The Daily Dose,These ads ran without a disclaimer,≤100,2
106942452264389,Fashion Globe,These ads ran without a disclaimer,≤100,2
106057958885632,docbotic,These ads ran without a disclaimer,≤100,1
101361739432825,0.618033988749,These ads ran without a disclaimer,≤100,1
200226622453,NOWNESS,These ads ran without a disclaimer,≤100,2
102130299317180,Easy Scanner-G,These ads ran without a disclaimer,≤100,1
106918888863637,Veterinary Sciences MDPI,These ads ran without a disclaimer,≤100,1
100126212204265,Homebond Properties,These ads ran without a disclaimer,≤100,1
102984361463961,Igrow Academy,These ads ran without a disclaimer,≤100,2
110099321973042,Trois-02,These ads ran without a disclaimer,≤100,1
1426949024217365,The New Arab,These ads ran without a disclaimer,≤100,1
267757110537958,The House,These ads ran without a disclaimer,≤100,2
640813482724078,Heymann Brothers Films,These ads ran without a disclaimer,≤100,1
115895401463440,Entretenimiento,These ads ran without a disclaimer,≤100,2
104069709032034,Sportzspace - Stories,These ads ran without a disclaimer,≤100,3
118606061493541,World Innovation Summit for Education - WISE,These ads ran without a disclaimer,≤100,1
1691592084439054,Goodwill Caravan,These ads ran without a disclaimer,≤100,1
106288358879743,grayaxiomnews,These ads ran without a disclaimer,≤100,1
104991431767469,We Love Dogs,These ads ran without a disclaimer,≤100,3
108472745503847,Wsp57,These ads ran without a disclaimer,≤100,1
106699788869883,China Railway,These ads ran without a disclaimer,≤100,1
111815040962830,Rhea Maria - Poetry/Spoken Word,These ads ran without a disclaimer,≤100,1
983135718420987,Visit Jiangsu,These ads ran without a disclaimer,≤100,1
108061471650955,SoluTec,These ads ran without a disclaimer,≤100,2
104580814933921,Coach Mitchell H.,These ads ran without a disclaimer,≤100,1
114496358258687,Wsp15,These ads ran without a disclaimer,≤100,1
111074750286070,Пандария,These ads ran without a disclaimer,≤100,3
116152304722251,Magic1420-03,These ads ran without a disclaimer,≤100,2
1883003128429295,Queer Majority,These ads ran without a disclaimer,≤100,4
104442131947319,ParentzTalk - Teenagers,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,10
104843862135388,Kef Reading,These ads ran without a disclaimer,≤100,1
106786162032595,Knight Fix,These ads ran without a disclaimer,≤100,1
100246844791145,Whats Hot In Africa,These ads ran without a disclaimer,≤100,2
106316085606854,Source of_4,These ads ran without a disclaimer,≤100,2
100133042448587,Sneaker Toast Magazine,These ads ran without a disclaimer,≤100,1
108610275182265,Bir Reading,These ads ran without a disclaimer,≤100,1
100805886030534,Sportzspace - Magazine,These ads ran without a disclaimer,≤100,1
151609045347,Made-in-China.com,These ads ran without a disclaimer,≤100,2
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,25
114797118561022,Breda University of Applied Sciences,These ads ran without a disclaimer,≤100,2
107530932671391,FHI 360,These ads ran without a disclaimer,≤100,1
188890111132385,Oxford Academic (Oxford University Press),These ads ran without a disclaimer,≤100,2
101654211887389,Jerusalem Online - Arts & Culture,These ads ran without a disclaimer,≤100,1
107216098727629,adolfo_gaffoglio,These ads ran without a disclaimer,≤100,1
102416722029565,"Innovate4Climate, I4C 2023",These ads ran without a disclaimer,≤100,1
229584730414018,VenSai Enterprises Inc.,These ads ran without a disclaimer,≤100,2
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,1
348921302861345,Flow Business,These ads ran without a disclaimer,≤100,1
102698589075063,MFIX UAE,These ads ran without a disclaimer,≤100,1
371227786709544,Refund Express LLC,These ads ran without a disclaimer,≤100,3
112150985125551,Magic1423-04,These ads ran without a disclaimer,≤100,1
425468610983737,Culture Creators,These ads ran without a disclaimer,≤100,1
100441325574782,Strawberry Ice Cream,These ads ran without a disclaimer,≤100,2
111622410196045,State of Youth,These ads ran without a disclaimer,≤100,6
107183418710416,Rocket stories FS,These ads ran without a disclaimer,≤100,1
110153421120306,Tiptoppo,These ads ran without a disclaimer,≤100,3
104639814443059,The Daddest,These ads ran without a disclaimer,≤100,1
888507404545826,Chanderpur Group,These ads ran without a disclaimer,≤100,1
106170661628518,香港V,These ads ran without a disclaimer,≤100,1
7268844551,Rotary International,These ads ran without a disclaimer,≤100,1
177604049071929,Unilumin Group,These ads ran without a disclaimer,≤100,1
100661818730059,Judgement Day: Decide It,These ads ran without a disclaimer,≤100,3
103128059291677,Saaraba,These ads ran without a disclaimer,≤100,2
310943025606302,World Cancer Day,These ads ran without a disclaimer,≤100,3
101978933230493,DHL,These ads ran without a disclaimer,≤100,2
107243372316613,C301-04,These ads ran without a disclaimer,≤100,1
106717575693307,Yu-56,These ads ran without a disclaimer,≤100,2
260287179188370,Darwin Bunny,These ads ran without a disclaimer,≤100,1
153674861422,RED ADVENIR TELEVISION,These ads ran without a disclaimer,≤100,1
427884427330834,Cafe 125 & Cook's Country Grocery Store-Topplez Corporation,These ads ran without a disclaimer,≤100,1
101849728551147,Fun Break Central,These ads ran without a disclaimer,≤100,4
102737651305810,Jacque  Trim,These ads ran without a disclaimer,≤100,1
109528261687811,chamblissnation.apparel,These ads ran without a disclaimer,≤100,1
235227333257470,Air Charter Service,These ads ran without a disclaimer,≤100,1
148040755265807,Caribbean Export Development Agency,These ads ran without a disclaimer,≤100,1
100641699489141,0923_bt,These ads ran without a disclaimer,≤100,1
101767962432266,40glocc3,These ads ran without a disclaimer,≤100,1
118311364525571,Awe04,These ads ran without a disclaimer,≤100,1
113181338355658,Magic1674-05,These ads ran without a disclaimer,≤100,2
563065237146155,Latindadd,These ads ran without a disclaimer,≤100,1
117052698001766,First Wala,These ads ran without a disclaimer,≤100,1
110113055153318,Claudia Mota,These ads ran without a disclaimer,≤100,1
101584952237158,Fer Barcelar,These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,3
108292168790914,Js_m12,These ads ran without a disclaimer,≤100,1
102305439431641,Andrew A D Wilson,These ads ran without a disclaimer,≤100,2
108777595386393,Demon1291_06,These ads ran without a disclaimer,≤100,1
109484729082711,Climate Tracker,These ads ran without a disclaimer,≤100,1
103929791073860,Inside Telecom,These ads ran without a disclaimer,≤100,1
102830139403510,Magic1674-03,These ads ran without a disclaimer,≤100,3
525421700832365,Protectors of The Wood Adventure Series,These ads ran without a disclaimer,≤100,3
102522341915814,Mind Lifestyle,These ads ran without a disclaimer,≤100,2
479056685476395,T1International,These ads ran without a disclaimer,≤100,1
103161355252292,Life Magazine,These ads ran without a disclaimer,≤100,1
114233111293495,Brides And Maids,These ads ran without a disclaimer,≤100,3
117879722193956,The Man United Fans,These ads ran without a disclaimer,≤100,1
107880351718150,The New Buzz,These ads ran without a disclaimer,≤100,1
105743361735500,New to Money Português,These ads ran without a disclaimer,≤100,1
111071828580081,Wsp25,These ads ran without a disclaimer,≤100,1
102810102487619,Sarah Jones,These ads ran without a disclaimer,≤100,1
1563395307037388,Jorn Henderson,These ads ran without a disclaimer,≤100,1
790148411385078,Machmall.com,These ads ran without a disclaimer,≤100,1
312127148896464,BRITA France,These ads ran without a disclaimer,≤100,1
107011388510535,Sunday Stories,These ads ran without a disclaimer,≤100,1
104571188687767,Chill Read,These ads ran without a disclaimer,≤100,1
152956984574,International Human Rights Art Festival,These ads ran without a disclaimer,≤100,1
108613759480156,Thusia Seventh day Adventist Church,These ads ran without a disclaimer,≤100,1
108161555240718,Amanda Souza,These ads ran without a disclaimer,≤100,1
118053604881191,Michael Carter Ministries International,These ads ran without a disclaimer,≤100,1
289397611132,Working Ranch Magazine,These ads ran without a disclaimer,≤100,1
17973644177,Global Peace Foundation,These ads ran without a disclaimer,≤100,1
103627991981299,francodiea,These ads ran without a disclaimer,≤100,1
217065798665069,Bob's Hideout,These ads ran without a disclaimer,≤100,2
29056789480,Project Syndicate,These ads ran without a disclaimer,≤100,4
7163962142,theory11,These ads ran without a disclaimer,≤100,6
100338301547923,Instantly Modern,These ads ran without a disclaimer,≤100,2
205093963028353,Collision Conf,These ads ran without a disclaimer,≤100,1
108148958352704,Travelers Spot,These ads ran without a disclaimer,≤100,1
106827194681183,Africa Equity Media,These ads ran without a disclaimer,≤100,12
104700534945837,Mind Family,These ads ran without a disclaimer,≤100,1
109755664976719,Ginger's Notebook,These ads ran without a disclaimer,≤100,1
103086799252465,YOUTH TALKS,These ads ran without a disclaimer,≤100,2
1360405444011790,Jaeti,These ads ran without a disclaimer,≤100,1
112376564586749,𝕷𝖚𝖝𝖚𝖗𝖎𝖔𝖚𝖘𝖆𝖌𝖊𝖑𝖘,These ads ran without a disclaimer,≤100,1
47815171686,Banyan Tree Hotels & Resorts,These ads ran without a disclaimer,≤100,1
112192393947217,Cleanup: Phone Storage Cleaner,These ads ran without a disclaimer,≤100,1
110919974897108,SH,These ads ran without a disclaimer,≤100,2
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,1
6756153498,Mike Bloomberg,These ads ran without a disclaimer,≤100,1
105794328926903,Hypersonic Aircraft,These ads ran without a disclaimer,≤100,1
108558068531422,Smart doc magazin,These ads ran without a disclaimer,≤100,3
237650313048963,China Admissions,These ads ran without a disclaimer,≤100,1
295770744125729,MCsimplesweet,These ads ran without a disclaimer,≤100,1
811544682372929,Villgirkitchen,These ads ran without a disclaimer,≤100,1
107726931747049,Dino read,These ads ran without a disclaimer,≤100,4
202225953152762,Yomeanimo,These ads ran without a disclaimer,≤100,2
104663138234498,The Primary Market - Success Stories,These ads ran without a disclaimer,≤100,1
111254080238119,ZenLyfe,These ads ran without a disclaimer,≤100,1
100168528978115,It's Time to Chill,These ads ran without a disclaimer,≤100,4
120773048603321,Payam Zamani,These ads ran without a disclaimer,≤100,4
107778088911976,vibesplusss,These ads ran without a disclaimer,≤100,1
159655254060987,zChocolat.com,These ads ran without a disclaimer,≤100,1
429957570419097,Professor Israel,These ads ran without a disclaimer,≤100,1
104151925811127,Mario Cartaya,These ads ran without a disclaimer,≤100,1
105339635550497,Curieous,These ads ran without a disclaimer,≤100,1
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,2
852370551453606,GARP,These ads ran without a disclaimer,≤100,1
235123059866368,"Hitachi, Ltd. -Global",These ads ran without a disclaimer,≤100,1
1896684277254815,Sebastian Beja,These ads ran without a disclaimer,≤100,1
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,5
8539814909,International Animal Rescue,These ads ran without a disclaimer,≤100,8
128466876911,Amy Lynn Smith - Writer + Strategist,These ads ran without a disclaimer,≤100,1
106463548895074,pisces_dragon_22,These ads ran without a disclaimer,≤100,2
107865155194550,The Mojo,These ads ran without a disclaimer,≤100,1
104096967597067,JORGE LUIS Marcos,These ads ran without a disclaimer,≤100,1
110818941452003,Morehackz Stories,These ads ran without a disclaimer,≤100,7
869663783106067,הצוק-מסעדת שף,These ads ran without a disclaimer,≤100,1
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,≤100,2
165999283464815,African Great Lakes Action Network (AGLAN),These ads ran without a disclaimer,≤100,1
100720542755056,_richokonkwo,These ads ran without a disclaimer,≤100,1
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,7
281010408760078,Marketplace Excellence,These ads ran without a disclaimer,≤100,1
422058765246961,Great Wall Motor,These ads ran without a disclaimer,≤100,1
102224334798892,Jamaica  Association for Private Security,These ads ran without a disclaimer,≤100,1
154680184946903,Superplastic,These ads ran without a disclaimer,≤100,1
517231405008910,Global Landscapes Forum,These ads ran without a disclaimer,≤100,8
115444524830093,Wsp17,These ads ran without a disclaimer,≤100,1
100960082205245,More Hackz - the 1000 page,These ads ran without a disclaimer,≤100,2
102737908598361,Corporación Educativa Interactiva,These ads ran without a disclaimer,≤100,1
102088069159266,Elizabeth Marshall Digital,These ads ran without a disclaimer,≤100,1
907478086066710,The Stephen 3 •Influencers•,These ads ran without a disclaimer,≤100,1
531473780365527,Wakeupeverybody242,These ads ran without a disclaimer,≤100,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,8
176104589110851,IEEE,These ads ran without a disclaimer,≤100,2
1096538887134446,Reuters Plus,These ads ran without a disclaimer,≤100,1
109534787605542,Mohammed Al-Issa محمد العيسى,These ads ran without a disclaimer,≤100,1
146969275374981,Calabash TV,These ads ran without a disclaimer,≤100,1
1520817248199898,Yutong Bus & Coach,These ads ran without a disclaimer,≤100,1
109926774968672,"Shenzhen Top-Peak Electronics Co.,Ltd.",These ads ran without a disclaimer,≤100,2
1497502300316673,Jeff Mosil - Negocios De Elite,These ads ran without a disclaimer,≤100,2
103198622747988,Lin-406-1,These ads ran without a disclaimer,≤100,1
101055602163554,Too Cool - Stories,These ads ran without a disclaimer,≤100,4
101853479470366,Weregreenly,These ads ran without a disclaimer,≤100,3
30911162508,Forbes,These ads ran without a disclaimer,≤100,1
1670459499903765,Sunny Bunny Solar,These ads ran without a disclaimer,≤100,2
110258241441791,Pin-Up.com,These ads ran without a disclaimer,≤100,1
117777647908592,Casa de Cultura Os Capoeira - SP,These ads ran without a disclaimer,≤100,1
1684724295099974,Trending Taiwan潮台灣,These ads ran without a disclaimer,≤100,1
105613698892107,Luiza Alcantara,These ads ran without a disclaimer,≤100,1
769095856453652,Axel Arigato,These ads ran without a disclaimer,≤100,1
105126316217505,William D. Hinn Ministries,These ads ran without a disclaimer,≤100,2
96340216669,J-Flag,These ads ran without a disclaimer,≤100,1
102082139313736,Spyn Inc,These ads ran without a disclaimer,≤100,1
326770580739640,Tikkun Global,These ads ran without a disclaimer,≤100,1
101113365989511,Do and Don't,These ads ran without a disclaimer,≤100,1
347265340270,Architecture Competitions,These ads ran without a disclaimer,≤100,2
102538795925802,Solo_tech_VPN,These ads ran without a disclaimer,≤100,1
102386151868694,Graduatez - Graduation,These ads ran without a disclaimer,≤100,1
101311725669928,Gethappyday,These ads ran without a disclaimer,≤100,1
116884167688505,Marcelo Ramos,These ads ran without a disclaimer,≤100,1
106803408804138,House Of Fun,These ads ran without a disclaimer,≤100,2
104116692334337,Melissa Nzowo Lobengo-MNL,These ads ran without a disclaimer,≤100,1
1010847105623136,NowThis Earth,These ads ran without a disclaimer,≤100,3
106386888743470,Ordinarilyla.com,These ads ran without a disclaimer,≤100,2
103655209133919,M Reader_pa,These ads ran without a disclaimer,≤100,1
759323920910853,Sandra Linda,These ads ran without a disclaimer,≤100,1
106240044880482,Mind Facts,These ads ran without a disclaimer,≤100,4
418775708189870,Social Movement Technologies,These ads ran without a disclaimer,≤100,1
104423658970070,Page Down,These ads ran without a disclaimer,≤100,1
107303168879177,therealafricandiary,These ads ran without a disclaimer,≤100,3
109178858589489,Pro-Photo-Editor,These ads ran without a disclaimer,≤100,1
101787968733573,New to Money,These ads ran without a disclaimer,≤100,1
117158011301571,Paragon Prose,These ads ran without a disclaimer,≤100,1
240336477689,FastPro-Secure&Fast-2,These ads ran without a disclaimer,≤100,1
96222644025,Sacramento Kings,These ads ran without a disclaimer,≤100,1
130369030334301,KidsRights,These ads ran without a disclaimer,≤100,3
156788224389897,University of Toronto Scarborough (UTSC),These ads ran without a disclaimer,≤100,1
107265111742204,evanjelinfrancia,These ads ran without a disclaimer,≤100,1
109066328770664,Magic1420-01,These ads ran without a disclaimer,≤100,2
2610140028997323,Uniathena,These ads ran without a disclaimer,≤100,3
179421405524768,Economy Rent a Car,These ads ran without a disclaimer,≤100,4
111611514344138,nopeetstore.com,These ads ran without a disclaimer,≤100,1
118222866626716,9 Most Successful Believers,These ads ran without a disclaimer,≤100,1
1984620174988993,1945 Air Force,These ads ran without a disclaimer,≤100,1
101016751419178,ministerzay,These ads ran without a disclaimer,≤100,1
100768466016899,tfresh,These ads ran without a disclaimer,≤100,1
104903384689810,5 stars store,These ads ran without a disclaimer,≤100,1
388035041774653,Monique Stephanie,These ads ran without a disclaimer,≤100,3
155772124463402,Travel + Leisure Southeast Asia,These ads ran without a disclaimer,≤100,1
1482884495306077,NaturallyJess Photography,These ads ran without a disclaimer,≤100,1
451540138213436,UNICEF Sudan,These ads ran without a disclaimer,≤100,1
101054365776547,Charming Changzhou,These ads ran without a disclaimer,≤100,4
102346172649666,FastNet Proxy,These ads ran without a disclaimer,≤100,1
103987472118717,The Money Time - Fans,These ads ran without a disclaimer,≤100,1
100265109304136,Pon Reading,These ads ran without a disclaimer,≤100,1
212864082137,Mike Manning,These ads ran without a disclaimer,≤100,1
256346654515877,Mercury Marine Latin America/Caribbean,These ads ran without a disclaimer,≤100,1
112177278825671,King's College London Alumni,These ads ran without a disclaimer,≤100,1
104508239268614,Ministry Books & Tapes,These ads ran without a disclaimer,≤100,1
130952114370786,The Bahamas Natural Resources Foundation,These ads ran without a disclaimer,≤100,1
319739671441859,Floripa Mil Grau,These ads ran without a disclaimer,≤100,1
112204705044281,United Nations Community Development Corporation,These ads ran without a disclaimer,≤100,1
120460525135389,Educational Partners International,These ads ran without a disclaimer,≤100,1
2064451320451155,GHIS,These ads ran without a disclaimer,≤100,1
104444729065513,Victoria Segovia,These ads ran without a disclaimer,≤100,10
124377194285112,Jfranews - جفرا نيوز,These ads ran without a disclaimer,≤100,1
189232005248268,CTG,These ads ran without a disclaimer,≤100,7
107096751429673,Animal Post,These ads ran without a disclaimer,≤100,1
105618258917544,Military Power,These ads ran without a disclaimer,≤100,1
100629852697745,Get Wisdom,These ads ran without a disclaimer,≤100,1
102497746096944,WiN FUND,These ads ran without a disclaimer,≤100,2
104290518941686,Pal Stories,These ads ran without a disclaimer,≤100,1
107391281595330,Photography Life,These ads ran without a disclaimer,≤100,1
101536455882637,Black: The Unfiltered,These ads ran without a disclaimer,≤100,1
100660105981663,The Daily Drive,These ads ran without a disclaimer,≤100,2
128408183883210,The Salvation Army - Caribbean Territory,These ads ran without a disclaimer,≤100,1
110971255161110,Prix  du Leadership Politique Aligné avec le Développement durable,These ads ran without a disclaimer,≤100,1
643647332320553,Orient - أورينت,These ads ran without a disclaimer,≤100,1
351076345007481,CanadaQBank.com,These ads ran without a disclaimer,≤100,1
116679401363112,Kelce Jam,These ads ran without a disclaimer,≤100,1
100471966283125,Bonjour-12,These ads ran without a disclaimer,≤100,1
100771065462417,UNIFYD,These ads ran without a disclaimer,≤100,4
100427526341454,Active active,These ads ran without a disclaimer,≤100,2
50461955643,UNSW,These ads ran without a disclaimer,≤100,1
109791442047539,KK-49,These ads ran without a disclaimer,≤100,1
103547645831137,itsrubystarlight,These ads ran without a disclaimer,≤100,1
106441365472578,SwineTalks_es,These ads ran without a disclaimer,≤100,1
103079505728337,caribbluewatertoyscenter,These ads ran without a disclaimer,≤100,1
362460873844615,Alumni Politecnico di Milano,These ads ran without a disclaimer,≤100,1
133945616646913,RioOnWatch.org,These ads ran without a disclaimer,≤100,3
466173110104582,"El-Shaddai Ministry, Jesus Is Alive Global Worship Centre",These ads ran without a disclaimer,≤100,2
257045211013828,San Antonio Spurs Pro,These ads ran without a disclaimer,≤100,6
109776748588359,Source of_5,These ads ran without a disclaimer,≤100,1
2286080888179848,saphirelongmore,These ads ran without a disclaimer,≤100,1
114247604036354,Инфограф,These ads ran without a disclaimer,≤100,1
122775067736304,POWER magazine,These ads ran without a disclaimer,≤100,2
106646738623961,El Tico TV,These ads ran without a disclaimer,≤100,1
622390311179612,وقف الأمة Ümmet Vakfı,These ads ran without a disclaimer,≤100,1
107829071538479,Daily Tales,These ads ran without a disclaimer,≤100,1
1438220682910088,Pandaily,These ads ran without a disclaimer,≤100,2
103045249292781,Funnies Now - Magazine Page 3,These ads ran without a disclaimer,≤100,6
101819916005210,Aug.31-01,These ads ran without a disclaimer,≤100,1
104057545940798,Jh26-9,These ads ran without a disclaimer,≤100,1
270082823183144,Canton Fair,These ads ran without a disclaimer,≤100,3
114061111633501,Mc01-36,These ads ran without a disclaimer,≤100,1
1782466398436750,Media Institute of the Caribbean - MIC,These ads ran without a disclaimer,≤100,3
108318715562829,Abi Espin,These ads ran without a disclaimer,≤100,3
169687486427698,Jentezen Franklin,These ads ran without a disclaimer,≤100,1
107632382163291,Water MDPI,These ads ran without a disclaimer,≤100,1
102534599449927,KK-27,These ads ran without a disclaimer,≤100,1
109197151930600,My Clean Energy,These ads ran without a disclaimer,≤100,1
102860875465067,New Marco Polo,These ads ran without a disclaimer,≤100,2
820262131363591,Arabi21 - عربي21,These ads ran without a disclaimer,≤100,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100,2
