Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
105257622201442,Notalocalhn,Notalocalhn,≤100,1
356732001428586,Marlon Lara,These ads ran without a disclaimer,≤100,1
109357177910585,marcomidence,These ads ran without a disclaimer,≤100,1
301994333277021,Omahara Diputada,These ads ran without a disclaimer,≤100,2
128874447270067,Aida Luz Villa La Cantora de Dios,These ads ran without a disclaimer,≤100,1
1584418911887676,Roavis,These ads ran without a disclaimer,≤100,5
257857584641228,Fogel,These ads ran without a disclaimer,≤100,1
420916501408724,Smart City Expo Latam Congress,These ads ran without a disclaimer,≤100,2
106394965482360,Pedro Cardoso,These ads ran without a disclaimer,≤100,1
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,35
101126239650659,Frank-E-M,These ads ran without a disclaimer,≤100,1
336126847060433,Paty Figueroa,These ads ran without a disclaimer,≤100,1
401000470308277,Acción Joven Honduras,These ads ran without a disclaimer,≤100,2
102256345834907,Sosoo wallpaper-zw 5.19,These ads ran without a disclaimer,≤100,1
1992169167690755,Harry Potter: Hogwarts Mystery,These ads ran without a disclaimer,≤100,1
238109199564644,La Gente Dice,These ads ran without a disclaimer,≤100,2
105113255053368,Ana Castro,These ads ran without a disclaimer,≤100,1
108785235305079,ACUBA,These ads ran without a disclaimer,≤100,1
117241026846924,Iliana Rivera Secretaría de la Mujer Atlántida Partido Libre,These ads ran without a disclaimer,≤100,2
605180843301571,Familias defensoras del planeta,These ads ran without a disclaimer,≤100,5
108219461038085,Nelson Rodriguez,These ads ran without a disclaimer,≤100,3
117670414665867,Christiane Taubira,These ads ran without a disclaimer,≤100,2
187731461581789,Miel Trigona,These ads ran without a disclaimer,≤100,1
100445335032951,Dr. Amaro HN,These ads ran without a disclaimer,≤100,1
2171556923162097,Kenya Volkanoe,These ads ran without a disclaimer,≤100,1
728885650490223,Bodega Umanzor,These ads ran without a disclaimer,≤100,2
103205537757134,Servicios legales J y G,These ads ran without a disclaimer,≤100,1
100442279182135,GUATA LIBRE.,These ads ran without a disclaimer,≤100,1
612363248884378,Dejando Huella Honduras,These ads ran without a disclaimer,≤100,1
104724984609378,Laura Enamorado,These ads ran without a disclaimer,≤100,3
116114768127226,Idle Survivor Fortress Tycoon,These ads ran without a disclaimer,≤100,1
1648241438791132,Jari Dixon H.,These ads ran without a disclaimer,≤100,3
214516939107012,Ilumin,These ads ran without a disclaimer,≤100,1
139483590020220,Amigos de Elvin Santos,These ads ran without a disclaimer,≤100,2
110299351096263,Juntos Podemos con Jorge Pinto,These ads ran without a disclaimer,≤100,1
1259252940768894,A21latam,These ads ran without a disclaimer,≤100,4
105190328277694,Fredy Pineda Diputado Por Cortes - La Esperanza de Honduras,These ads ran without a disclaimer,≤100,1
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,15
941105176034017,Donas Terry Company,Any Osiris Salgado Altamirano,≤100,2
112567934219601,Pedrito Pineda,These ads ran without a disclaimer,≤100,2
302819926407133,Ministerios Casa De Gracia,These ads ran without a disclaimer,≤100,4
2079991985390610,Vusal abdullayev,These ads ran without a disclaimer,≤100,1
102207552798601,Youth clicks,These ads ran without a disclaimer,≤100,13
71701783101,Seattle International Foundation,These ads ran without a disclaimer,≤100,2
102241185523610,PolitiK,These ads ran without a disclaimer,≤100,2
109434022257153,Lereader-Happy Novel,These ads ran without a disclaimer,≤100,28
978639085626713,Dolores Garcia Lolita La Olanchana,These ads ran without a disclaimer,≤100,1
104830691915040,aehrler2009,These ads ran without a disclaimer,≤100,2
114407126677837,My Health Gazette,These ads ran without a disclaimer,≤100,22
102195947846161,Más Deporte Con David Chávez,These ads ran without a disclaimer,≤100,1
547321212422991,12min - Resúmenes de Libros,These ads ran without a disclaimer,≤100,2
1329741273707017,Creative Fabrica,These ads ran without a disclaimer,≤100,1
372973059797651,Ramon Ernesto Alvarado - Isalcan,These ads ran without a disclaimer,≤100,2
106080485115982,El Referente,These ads ran without a disclaimer,≤100,1
125874504101787,Emprendedor.com,These ads ran without a disclaimer,≤100,3
112563023834708,La Ciudad 0101,These ads ran without a disclaimer,≤100,1
109305628397892,Mario A Gonzales,These ads ran without a disclaimer,≤100,1
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,5
118298904539249,Gestión Posgrado Brasil,These ads ran without a disclaimer,≤100,1
107252595041229,marjoriemoralesnoll,These ads ran without a disclaimer,≤100,1
103046768912487,Las mejores novelas,These ads ran without a disclaimer,≤100,3
2403238993082877,El MUNDO NUEVO,These ads ran without a disclaimer,≤100,2
285530825204,Klitschko,These ads ran without a disclaimer,≤100,94
102465939328150,Misael Banegas Olancho,These ads ran without a disclaimer,≤100,2
109872331350794,Roberto Inestroza,These ads ran without a disclaimer,≤100,4
104507962060679,The Best Search,These ads ran without a disclaimer,≤100,3
1215037208580845,Liceo Cardenal Rodriguez,These ads ran without a disclaimer,≤100,2
280785662640576,Oscar Ramón Nájera,These ads ran without a disclaimer,≤100,2
282609205261913,Soy Rico,These ads ran without a disclaimer,≤100,12
108798677482919,El Estelar,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,67
1104138036318698,Victor Rivera,These ads ran without a disclaimer,≤100,3
277270312415131,Melvin Ulloa,These ads ran without a disclaimer,≤100,2
108781497938579,Carlos Garcia Diputado,These ads ran without a disclaimer,≤100,1
113103755023820,Fundación Breteau Latam,These ads ran without a disclaimer,≤100,2
105698238442090,Trafficker Win,These ads ran without a disclaimer,≤100,3
866841886806038,Ritmo 1130,These ads ran without a disclaimer,≤100,2
108057365427517,Entretenimiento,These ads ran without a disclaimer,≤100,2
207745179235873,Thomas Hübl,These ads ran without a disclaimer,≤100,5
0,Instagram User 7583612813,These ads ran without a disclaimer,≤100,1
101731461809193,El Periódico de Honduras,These ads ran without a disclaimer,≤100,2
6431878727,The Economist Intelligence Unit,These ads ran without a disclaimer,≤100,1
110732093970234,Wikifx.es,These ads ran without a disclaimer,≤100,4
164384870089507,Ministro Esmeralda,These ads ran without a disclaimer,≤100,5
107820211519986,Mujeres en Mesoamérica,These ads ran without a disclaimer,≤100,3
699277870192696,Jorge Zelaya,These ads ran without a disclaimer,≤100,1
2101400553434707,Admisión-Escuela De Posgrado De La Unalm,These ads ran without a disclaimer,≤100,1
706308889470838,Nueva Corriente /Libertad y Refundacion  Copan,These ads ran without a disclaimer,≤100,2
108318715562829,Abi Espin,These ads ran without a disclaimer,≤100,16
242100323254468,Juan  FloBe - Consultor Marketing Digital,These ads ran without a disclaimer,≤100,1
307404919623041,Plan con Causa,These ads ran without a disclaimer,≤100,1
282127028553640,Festagro - Federación Sindical de Trabajadores de Agroindustria y Otros,These ads ran without a disclaimer,≤100,1
113584865337634,New Ventures México,These ads ran without a disclaimer,≤100,1
320788968000582,Center for Israel Education,These ads ran without a disclaimer,≤100,3
104661842169797,Gran Terminal del Pacifico,These ads ran without a disclaimer,≤100,1
101559818243375,Zelquin Martínez,These ads ran without a disclaimer,≤100,1
101686915153735,Angela Fernández,These ads ran without a disclaimer,≤100,1
2137804399814363,Consejo Nacional de Inversiones,These ads ran without a disclaimer,≤100,1
348016209601920,Salvador Mata Alcalde,These ads ran without a disclaimer,≤100,1
105897731179303,La Revuelta Feminista en LIBRE,These ads ran without a disclaimer,≤100,1
352543605914326,Tomastv,These ads ran without a disclaimer,≤100,1
103776384794907,womenintimes,These ads ran without a disclaimer,≤100,6
103898502184529,Sj tech,These ads ran without a disclaimer,≤100,2
106514417985537,Gustavo Alcántara,These ads ran without a disclaimer,≤100,1
107724508280082,Webking Ads HN,Alexander Torres,≤100,1
109138871951726,geronrichards,These ads ran without a disclaimer,≤100,1
1209609139090738,Ciudad Mujer Honduras,These ads ran without a disclaimer,≤100,1
967353903423449,OdontoRent. Renta de Clinicas Dentales,These ads ran without a disclaimer,≤100,1
2098711283748569,RinconCatracho,These ads ran without a disclaimer,≤100,1
107337524983225,Cultural Site Protection 411: Mcdermitt Caldera; Owyhee Canyonlands,These ads ran without a disclaimer,≤100,1
101535831469644,ITS America Events,These ads ran without a disclaimer,≤100,1
200990963441531,Boredom Therapy,These ads ran without a disclaimer,≤100,8
16895448634,World Bank Publications,These ads ran without a disclaimer,≤100,1
621608187905344,ALER Satelital,These ads ran without a disclaimer,≤100,1
1702014826791907,IOM Caribbean,These ads ran without a disclaimer,≤100,1
109265264304192,Darwin Corea,These ads ran without a disclaimer,≤100,1
104238915656696,Kab_Z4,These ads ran without a disclaimer,≤100,1
446482945510567,Club Deportivo Estrella Roja,These ads ran without a disclaimer,≤100,1
494590774617579,Alma Pinto,These ads ran without a disclaimer,≤100,4
106654065081743,MKAKKOii- 0830- 4,These ads ran without a disclaimer,≤100,1
105771911767146,ecuadordicenomas,These ads ran without a disclaimer,≤100,2
110009394493545,Efrén ministro de Dios oficial,These ads ran without a disclaimer,≤100,1
1062587583760015,TerraGenesis,These ads ran without a disclaimer,≤100,1
107351547378918,Radio Ritmo Latino El Señor Oronia,These ads ran without a disclaimer,≤100,2
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,2
100784758733810,Honduras Libre D-19,These ads ran without a disclaimer,≤100,1
267243073318392,Viviendo Con Sentido Común con Randy Morrison (Oficial),These ads ran without a disclaimer,≤100,1
539375999916753,DaniellamateuBroker,These ads ran without a disclaimer,≤100,1
103228218318592,Floridalma Melgar Diputada Por Colón,These ads ran without a disclaimer,≤100,1
104808795384176,Photo PIP Camera2,These ads ran without a disclaimer,≤100,1
329398655099399,You Are Loved,These ads ran without a disclaimer,≤100,1
104150826379032,USAID Honduras,These ads ran without a disclaimer,≤100,1
105103316499042,"Dona Un Libro, Cambia Una Mente",These ads ran without a disclaimer,≤100,1
138078652714416,Ronald Panchame,These ads ran without a disclaimer,≤100,1
101986761874538,"Cristhian Villanueva Alcalde Mpio de Santa Fe, Colon 2022-2026",These ads ran without a disclaimer,≤100,1
109571164300976,Carlos Lenin Martinez Diputado,Noel Aristeo Molina Funes,≤100,1
109833727813936,Christiam García,These ads ran without a disclaimer,≤100,1
309839839026,International Alliance of Patients' Organizations,These ads ran without a disclaimer,≤100,5
103560496038224,Centro Educativo Truper,These ads ran without a disclaimer,≤100,1
378217591456,Ojojona,These ads ran without a disclaimer,≤100,1
102680908461490,RadSon,These ads ran without a disclaimer,≤100,1
1622922231263374,Luinell + Emma,These ads ran without a disclaimer,≤100,2
114075860497588,Alcalde de Omoa,These ads ran without a disclaimer,≤100,1
104622121026372,Earth Breeze,These ads ran without a disclaimer,≤100,3
437815573055883,Evangelical Mission of Los Angeles,These ads ran without a disclaimer,≤100,3
203124796450616,SE-COMISCA SICA,These ads ran without a disclaimer,≤100,3
1013449992051964,Daquan,These ads ran without a disclaimer,≤100,17
109363168231503,Broadway Flower,These ads ran without a disclaimer,≤100,18
975350039244736,Panorama Acuícola Magazine,These ads ran without a disclaimer,≤100,2
385610884957627,Secretaría Ejecutiva COSEFIN,These ads ran without a disclaimer,≤100,1
107207931828456,Next Thing Technologies,These ads ran without a disclaimer,≤100,5
101833001820655,Mario Portillo Diputado,Mario Portillo Diputado,≤100,1
1397478253678041,Casa de Júbilo,These ads ran without a disclaimer,≤100,1
166886723488622,Edgardo Castro,These ads ran without a disclaimer,≤100,1
1944800615759352,Yo soy BETY La Fea,These ads ran without a disclaimer,≤100,3
1623894744514733,Volaris,These ads ran without a disclaimer,≤100,1
106441168622152,Popi Bissu,These ads ran without a disclaimer,≤100,1
587453818082309,ElHospital.com,These ads ran without a disclaimer,≤100,1
100979089555293,Jose Bedoya,These ads ran without a disclaimer,≤100,12
328730606996444,Veronica Luciano official,These ads ran without a disclaimer,≤100,1
101425375645575,Alex,These ads ran without a disclaimer,≤100,1
1614916478756382,TavoVargas,These ads ran without a disclaimer,≤100,1
108485211613988,Fabricio's Travel,These ads ran without a disclaimer,≤100,16
106916791396078,"Colectiva de Mujeres Hondureñas ""Codemuh""",These ads ran without a disclaimer,≤100,1
1428408544046887,Flacso Uruguay,These ads ran without a disclaimer,≤100,6
292129440851133,CropLife Latin America,These ads ran without a disclaimer,≤100,32
664010580447732,Ron McNab,These ads ran without a disclaimer,≤100,1
168355627035490,Jóvenes en Movimiento,These ads ran without a disclaimer,≤100,9
100617599250020,XuQinduo,These ads ran without a disclaimer,≤100,8
723826694319605,MITx Courses,These ads ran without a disclaimer,≤100,1
100758961690443,Liberales Indignados,These ads ran without a disclaimer,≤100,4
120762167998171,Instituto Tecnológico Taular,These ads ran without a disclaimer,≤100,1
137030692821876,Susan Smith,These ads ran without a disclaimer,≤100,1
103953654913558,Carolina  Fernandez Trochez,These ads ran without a disclaimer,≤100,2
100124908735092,Almita Alcaldesa,These ads ran without a disclaimer,≤100,2
102035035940569,Da Vida a la Vida,These ads ran without a disclaimer,≤100,4
104235864926015,Lucky Medina,These ads ran without a disclaimer,≤100,1
102265058151927,En casa con Glasswing,These ads ran without a disclaimer,≤100,1
104333259234587,105 Brigada de Infantería,These ads ran without a disclaimer,≤100,1
1084090165004645,Voluntarios Por La Protección De La Infancia,These ads ran without a disclaimer,≤100,4
1376263702598523,Selección Nacional de Honduras - Página Oficial,These ads ran without a disclaimer,≤100,1
101695868855208,Partido Libre El Paraíso Copán,These ads ran without a disclaimer,≤100,1
100174216157599,Movimiento Renovador,These ads ran without a disclaimer,≤100,2
290391094730477,Enmith Trejo,These ads ran without a disclaimer,≤100,1
103670975378146,Air Tool - Fast VPN B,These ads ran without a disclaimer,≤100,2
110758525229609,Inversiones Monterrosa,These ads ran without a disclaimer,≤100,1
386117004826390,Libros en Peligro de Extinción,These ads ran without a disclaimer,≤100,1
198317336853861,Qatar Airways,These ads ran without a disclaimer,≤100,6
106341877936553,Laira Valenzuela,These ads ran without a disclaimer,≤100,1
102478314669733,Kena Beauty Salon,These ads ran without a disclaimer,≤100,1
1746061825627555,Guacamayas BookStore,These ads ran without a disclaimer,≤100,1
100871638462597,freeyourselffonzo,These ads ran without a disclaimer,≤100,2
100490224660690,Noti Chambres,These ads ran without a disclaimer,≤100,5
102804505832588,Omar Hejeile,These ads ran without a disclaimer,≤100,1
110831477304452,Free Gaming,These ads ran without a disclaimer,≤100,1
110219963822335,Rich Dad Latino,These ads ran without a disclaimer,≤100,1
7332451780,Saba University School of Medicine,These ads ran without a disclaimer,≤100,4
101801685891012,Revista Knowable,These ads ran without a disclaimer,≤100,8
111525057994317,Humberto Sanchez,These ads ran without a disclaimer,≤100,1
167873824012557,Oceanus,These ads ran without a disclaimer,≤100,5
106091181352547,Wilmer Rosa,These ads ran without a disclaimer,≤100,4
173116352738795,Tuluaguia,These ads ran without a disclaimer,≤100,1
107658657801543,Ariel Montoya,These ads ran without a disclaimer,≤100,1
114828698111267,Discomovil Impacto JR - El Moustruo Del Sonido Digital,These ads ran without a disclaimer,≤100,2
105528334757461,Fuerza De Refundación Popular FRP Tocoa,These ads ran without a disclaimer,≤100,1
105779401383576,Luis Torres Cálix,These ads ran without a disclaimer,≤100,1
110142624101962,Nelson Márquez,These ads ran without a disclaimer,≤100,3
112085385009040,asesor.vehicularhn,These ads ran without a disclaimer,≤100,1
112221001779982,El Heraldo,El Heraldo,≤100,2
108196181370545,Partido Nacional Honduras,These ads ran without a disclaimer,≤100,1
497286487114181,MDR - Movimiento de Diversidad en Resistencia,These ads ran without a disclaimer,≤100,1
110639128230810,Sаfе Ukrаinе,These ads ran without a disclaimer,≤100,1
662174660609341,Academia De Belleza Caribbean Salon,These ads ran without a disclaimer,≤100,1
104897268381196,LeNovel,These ads ran without a disclaimer,≤100,13
1812064162358807,Lenin Villeda Alcalde,These ads ran without a disclaimer,≤100,1
102603071642084,Dr. Mauricio Jerezano Diputado,These ads ran without a disclaimer,≤100,1
235945666565031,Food Yoga International,These ads ran without a disclaimer,≤100,16
547721712077799,Instituto Hondureño del Transporte Terrestre,These ads ran without a disclaimer,≤100,1
1564609206977999,Ronal Pineda,These ads ran without a disclaimer,≤100,2
869306953200646,Fabiola Abudoj,These ads ran without a disclaimer,≤100,1
410719583048618,Instituto Técnico Los Zorzales,These ads ran without a disclaimer,≤100,2
107891134359518,Sustenta Honduras,These ads ran without a disclaimer,≤100,1
106480508701075,Jhavel,These ads ran without a disclaimer,≤100,1
101634025704451,Trashnfts,These ads ran without a disclaimer,≤100,1
112435083994420,Gabriela Sosa Diputada,These ads ran without a disclaimer,≤100,4
107040575646313,Renata Marina,These ads ran without a disclaimer,≤100,15
101699464969820,UA Chile - División Internacional,These ads ran without a disclaimer,≤100,3
112731733833728,Familias: Ahora,These ads ran without a disclaimer,≤100,3
1542919985972196,Feria de Cantón,These ads ran without a disclaimer,≤100,8
100689109759191,Cax-HY3,These ads ran without a disclaimer,≤100,1
553284418101046,Ecomuni,These ads ran without a disclaimer,≤100,1
493327954177169,Calidar,These ads ran without a disclaimer,≤100,1
241480251103588,Pueblohn505,These ads ran without a disclaimer,≤100,1
124688680554716,Life Detox Black,These ads ran without a disclaimer,≤100,7
113645808318336,armando.caballero__,These ads ran without a disclaimer,≤100,1
106230158425194,Moskitian Independence Movement,These ads ran without a disclaimer,≤100,4
106973842317140,Sophia Ribeiro,These ads ran without a disclaimer,≤100,9
179844448722977,Partido Libre Valle de Ángeles,These ads ran without a disclaimer,≤100,3
101683418664113,Noticias Politicas,These ads ran without a disclaimer,≤100,1
104948574900811,Thelma Isabel Montoya Joya,These ads ran without a disclaimer,≤100,3
102621787974065,Juntos Podemos Juticalpa,These ads ran without a disclaimer,≤100,4
104078088131864,Omar Avelar,These ads ran without a disclaimer,≤100,1
305828002808516,INHOPE - International Association of Internet Hotlines,These ads ran without a disclaimer,≤100,1
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,40
100480053074809,Máquina de Activos,These ads ran without a disclaimer,≤100,1
100912541413695,Más Impulso,These ads ran without a disclaimer,≤100,3
105425548651466,Sondramacol,These ads ran without a disclaimer,≤100,3
426319770905927,Luis Colindres,These ads ran without a disclaimer,≤100,2
118187888198787,מדברים｜כי האמת שווה שיחה,These ads ran without a disclaimer,≤100,4
235123059866368,"Hitachi, Ltd. -Global",These ads ran without a disclaimer,≤100,6
107076555168175,Vida Circular LATAM,These ads ran without a disclaimer,≤100,1
108907444121463,Confesionario HN,These ads ran without a disclaimer,≤100,1
226528088779714,Tania Pinto,Edson Cleofes Castillo Harry,≤100,2
107477181963806,Credimister,These ads ran without a disclaimer,≤100,8
1494149867545673,Cesar Mormontoy,These ads ran without a disclaimer,≤100,1
178241928700242,Kulesza Thomas Maddie,These ads ran without a disclaimer,≤100,2
110979294923104,Secretos de la Música,These ads ran without a disclaimer,≤100,2
121082244759043,United Nations Free & Equal,These ads ran without a disclaimer,≤100,3
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,≤100,3
0,Instagram User 845158331,These ads ran without a disclaimer,≤100,1
208371683037269,NBCU Catalyst,These ads ran without a disclaimer,≤100,13
104231088906316,Atenciones Médicas Pimienta,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,51
103383668664642,Fuerza Unitaria En Libre,These ads ran without a disclaimer,≤100,2
114469859949434,Inmobiliaria Halum 2,These ads ran without a disclaimer,≤100,1
107380284559162,Juventud Liberal Nivel Nacional,These ads ran without a disclaimer,≤100,2
137393912792910,Like Travel Motion,These ads ran without a disclaimer,≤100,3
105544639144781,Ayuda Lista de Espera - AOL v. Mayorkas,These ads ran without a disclaimer,≤100,3
161704781305446,The Spark Company,These ads ran without a disclaimer,≤100,19
102180368433758,Uris Rivera Oliva,Uris Maria Rivera Oliva,≤100,1
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,47
104849635300895,ALLIANCE ELIANT,These ads ran without a disclaimer,≤100,1
102227728415643,Lundbeck LATAM,These ads ran without a disclaimer,≤100,6
106479318153202,climatetracker_es,These ads ran without a disclaimer,≤100,8
323131731104389,ADEN University,These ads ran without a disclaimer,≤100,2
102967268860066,CLARO Sabanagrande,These ads ran without a disclaimer,≤100,1
103110731089671,Llave para las Naciones,These ads ran without a disclaimer,≤100,1
105024247612563,Dyonn,These ads ran without a disclaimer,≤100,2
107134418311646,timpanotony,These ads ran without a disclaimer,≤100,1
107017957928955,Discover Forgiveness,These ads ran without a disclaimer,≤100,1
108177531108949,Nelson Antúnez,These ads ran without a disclaimer,≤100,2
1583091218604378,Cría de cerdos ecológica del siglo XXI,These ads ran without a disclaimer,≤100,1
399798490404269,Marco Ayala,These ads ran without a disclaimer,≤100,1
1402511926712969,Mauricio Cálix,These ads ran without a disclaimer,≤100,5
214061167976,El Tiempo Latino,These ads ran without a disclaimer,≤100,12
1482174305394430,el pupitre de Pilu,These ads ran without a disclaimer,≤100,6
104461035435037,Las novelas más leídas,These ads ran without a disclaimer,≤100,8
313415062579087,Belinda Martinez HN,These ads ran without a disclaimer,≤100,3
1862418697360011,Omar Emilio Rivera,These ads ran without a disclaimer,≤100,1
369534697147935,Que Mel Zelaya Vuelva,These ads ran without a disclaimer,≤100,1
153955617984812,Radio Internacional de China en español,These ads ran without a disclaimer,≤100,3
105908015093560,Sola_paratodos,These ads ran without a disclaimer,≤100,9
108467375151680,Recover 18,These ads ran without a disclaimer,≤100,1
103917258692465,Beldora Garcia,These ads ran without a disclaimer,≤100,1
105534612869448,Once Noticias,These ads ran without a disclaimer,≤100,2
503966339970822,Yaudi L. Rodriguez Lara,These ads ran without a disclaimer,≤100,2
802090139805877,Tony Marioghae,These ads ran without a disclaimer,≤100,11
105666144829254,Ocean Project,These ads ran without a disclaimer,≤100,16
108512875350,The Atlas Society,These ads ran without a disclaimer,≤100,1
107018734578438,La Carreta,These ads ran without a disclaimer,≤100,2
108637620485364,Brain Nuggets,These ads ran without a disclaimer,≤100,34
110083084113958,Armando Alcalde,These ads ran without a disclaimer,≤100,2
90710550484,CoralWatch,These ads ran without a disclaimer,≤100,1
109968358797938,Bartracho,These ads ran without a disclaimer,≤100,1
100773438987835,Standard Industries,These ads ran without a disclaimer,≤100,4
101236935303293,Trivia.com - Trivia,These ads ran without a disclaimer,≤100,8
222115746464595,Yani Presidente,These ads ran without a disclaimer,≤100,1
1678423415705758,Liceo Español Oficial,These ads ran without a disclaimer,≤100,1
1418847414842462,Asia Youth International MUN,These ads ran without a disclaimer,≤100,14
101978933230493,DHL,These ads ran without a disclaimer,≤100,1
364342560092562,Crypto News King,These ads ran without a disclaimer,≤100,6
130113588902478,Merary Avila,These ads ran without a disclaimer,≤100,1
106202211351164,José Antonio Aguilar,These ads ran without a disclaimer,≤100,2
175475705653657,Diario Lider HN,These ads ran without a disclaimer,≤100,2
108863220745079,Impresión y rótulos Tegucigalpa,These ads ran without a disclaimer,≤100,1
1514839965499418,Hugo Soler Islas de la Bahia,These ads ran without a disclaimer,≤100,1
132468877101129,Radio Globo Informa,These ads ran without a disclaimer,≤100,2
110539975339530,Chica Verano 2023,These ads ran without a disclaimer,≤100,1
747420075340256,El Agricultor Primero,These ads ran without a disclaimer,≤100,19
299756937371188,Cristian Valverde,These ads ran without a disclaimer,≤100,1
104155888069817,Azukah Morenah,These ads ran without a disclaimer,≤100,1
968639390005626,Banco Mundial Centroamérica y RD,These ads ran without a disclaimer,≤100,5
1746857162037906,Techo Propio,These ads ran without a disclaimer,≤100,1
7724542745,Manchester United,These ads ran without a disclaimer,≤100,1
270951116255236,GEA Farming,These ads ran without a disclaimer,≤100,2
106546198241457,Agustín Guerrero Diputado por Cortes - Oficial.,These ads ran without a disclaimer,≤100,1
101441791803987,Enil Nuñez Alcalde Olanchito,These ads ran without a disclaimer,≤100,1
106980178110121,"Amarres de amor, santería y brujeria.",These ads ran without a disclaimer,≤100,1
300517983887388,Revista The Review of Religions en español,These ads ran without a disclaimer,≤100,1
111131098177941,Help Ukraine,These ads ran without a disclaimer,≤100,2
110917371847867,Marisol Ortiz,These ads ran without a disclaimer,≤100,2
274138756817,Architonic,These ads ran without a disclaimer,≤100,3
103102215135927,Abogados y Consultores Corporativos de Honduras,These ads ran without a disclaimer,≤100,1
119167918117814,Kerry Hart,These ads ran without a disclaimer,≤100,1
101834598510724,Wilmer Toro Fernández,These ads ran without a disclaimer,≤100,3
113347510790727,Victor Orellana,These ads ran without a disclaimer,≤100,5
100680192331662,Jojoo-Porozmawiaj ze mną,These ads ran without a disclaimer,≤100,1
108668030906069,Amigos de Palestina,These ads ran without a disclaimer,≤100,7
144884808706877,"Asociación de Mujeres del Trifinio Hosagua"".",These ads ran without a disclaimer,≤100,1
109484729082711,Climate Tracker,These ads ran without a disclaimer,≤100,31
209945602416427,CDR Brigadas Internacionales,These ads ran without a disclaimer,≤100,1
105651594914484,Kreaciones Chic HN,These ads ran without a disclaimer,≤100,1
609250112472618,Ces Internacional,These ads ran without a disclaimer,≤100,1
102782234082,Auditool,These ads ran without a disclaimer,≤100,1
107756041807121,oxfam_lac,These ads ran without a disclaimer,≤100,4
122125257549513,WhatsApp Business 7185051978,These ads ran without a disclaimer,≤100,1
104442131947319,ParentzTalk - Teenagers,These ads ran without a disclaimer,≤100,4
108941249155931,Science and Nonduality Conference,These ads ran without a disclaimer,≤100,11
103485651364132,Retos TVES,These ads ran without a disclaimer,≤100,1
100199712169381,Partido Vamos Copán,These ads ran without a disclaimer,≤100,1
249398765348,Internet and Mobile Association of India (IAMAI),These ads ran without a disclaimer,≤100,5
104015742220554,Mimic,These ads ran without a disclaimer,≤100,6
1342879305770317,Allan Salazar Diputado,These ads ran without a disclaimer,≤100,1
610039565843012,Deportes 504,These ads ran without a disclaimer,≤100,1
107123208345490,Ing. Nelson Omar Martínez Sánchez,These ads ran without a disclaimer,≤100,3
117592091643709,Tree of Life Ministries｜Evangelism in Israel,These ads ran without a disclaimer,≤100,13
18983389920,Open Society Foundations,These ads ran without a disclaimer,≤100,4
101368738938397,Redefined Kindness,These ads ran without a disclaimer,≤100,9
113001640047056,Anonymous Honduras,These ads ran without a disclaimer,≤100,1
103955884807125,Yesica Cano,These ads ran without a disclaimer,≤100,3
101818065240999,Anselmo Ordóñez,These ads ran without a disclaimer,≤100,1
117207263740007,Tomas Diaz Page,These ads ran without a disclaimer,≤100,2
224043818346072,LEDS LAC,These ads ran without a disclaimer,≤100,3
105496181333929,Osman Chávez Orellana Alcalde,These ads ran without a disclaimer,≤100,1
104784711492573,Vegin: Veganismo más cerca,These ads ran without a disclaimer,≤100,4
100344528542810,Juventud Municipal LIBRE-Choluteca,These ads ran without a disclaimer,≤100,5
104761175633861,Melmelada,These ads ran without a disclaimer,≤100,2
108584201404731,La Civiltà Cattolica - Edición en español,These ads ran without a disclaimer,≤100,9
589718037712742,Marco Antonio Bhaday Chavez,Marco Antonio Bhaday Chavez,≤100,1
130025717077175,The Orangutan Project,These ads ran without a disclaimer,≤100,12
231908277423664,HORA CERO,These ads ran without a disclaimer,≤100,1
113502287096979,I Luv Australia,These ads ran without a disclaimer,≤100,2
301880923212143,Red de Institutos Técnicos Comunitarios,These ads ran without a disclaimer,≤100,6
436933379682338,Consulab Empleos JCR,These ads ran without a disclaimer,≤100,3
105900552270698,Sofia Adara,These ads ran without a disclaimer,≤100,9
109396035407369,Adopción Espiritual de un niño no nacido  peligro de aborto. Costa Rica,These ads ran without a disclaimer,≤100,3
106249585157981,Pedro Cardoso,These ads ran without a disclaimer,≤100,36
100470279788703,Nicole Durand,These ads ran without a disclaimer,≤100,23
909128082598369,Blvck Paris,These ads ran without a disclaimer,≤100,5
2144989735721529,Credimister asesor ventas,These ads ran without a disclaimer,≤100,1
110188804092039,Dazzaedt,These ads ran without a disclaimer,≤100,1
146614032201524,"Libre; Libertad y Refundacion, Siguatepeque",These ads ran without a disclaimer,≤100,4
52156396459,Workhuman,These ads ran without a disclaimer,≤100,1
