Page ID,Page name,Disclaimer,Amount spent (GTQ),Number of ads in Library
968639390005626,Banco Mundial Centroamérica,These ads ran without a disclaimer,≤100,4
117587104272166,Byron Daniel Rojas Mena,These ads ran without a disclaimer,≤100,1
119501848701001,Mi Gente CA,These ads ran without a disclaimer,≤100,3
161999180502449,World Food Programme,These ads ran without a disclaimer,≤100,1
692928877499206,CLAC Comercio Justo,These ads ran without a disclaimer,≤100,1
125874504101787,Emprendedor.com,These ads ran without a disclaimer,≤100,3
743500726048338,Jairo Zepeda,Jairo Zepeda,≤100,3
512504615433248,Colegio Bilingüe Americano CBA,These ads ran without a disclaimer,≤100,1
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100,6
107358737810334,Loros Sin Fronteras,These ads ran without a disclaimer,≤100,4
794682760924543,Guatemala Política,These ads ran without a disclaimer,≤100,1
345419408148,Prensa Libre,These ads ran without a disclaimer,≤100,1
102093999370998,Ruta Al Atlántico CA-9,These ads ran without a disclaimer,≤100,1
422961008105961,Brigada Animal México,These ads ran without a disclaimer,≤100,1
101978933230493,DHL,These ads ran without a disclaimer,≤100,1
106457545395404,"Academia Profesional de Música ""Armonía"" / Santa Lucía Utatlán, Sololá",These ads ran without a disclaimer,≤100,1
1617049051882220,Jose Urrutia,These ads ran without a disclaimer,≤100,2
109534464639512,San Luis Jilotepeque libre,These ads ran without a disclaimer,≤100,1
165897577396508,Spuk,These ads ran without a disclaimer,≤100,1
366107457198874,Rise of Kingdoms,These ads ran without a disclaimer,≤100,2
102394101663244,Romance L i b r a r y,These ads ran without a disclaimer,≤100,1
539795889440122,La reina Grupera Marisol Lone,These ads ran without a disclaimer,≤100,1
106845268900163,Miguel Flores Gómez,These ads ran without a disclaimer,≤100,1
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,15
101801685891012,Revista Knowable,These ads ran without a disclaimer,≤100,8
427982287340680,BIEN La Esperanza.,These ads ran without a disclaimer,≤100,2
111520524454280,Carlos Villeda,These ads ran without a disclaimer,≤100,1
106394965482360,Pedro Cardoso,These ads ran without a disclaimer,≤100,1
738576422839610,ProDESC AC,These ads ran without a disclaimer,≤100,2
103528435798367,Nueva Visión,These ads ran without a disclaimer,≤100,1
102420429294614,Luque Academy,These ads ran without a disclaimer,≤100,4
415998771811841,SEGEPLAN Guatemala,These ads ran without a disclaimer,≤100,3
102880852149221,Martyn maujo,These ads ran without a disclaimer,≤100,7
131189377574,MDPI,These ads ran without a disclaimer,≤100,41
110995135243696,Yohana Uzz,These ads ran without a disclaimer,≤100,1
113978394579161,Marimba Orquesta Sonora Mamacita,These ads ran without a disclaimer,≤100,1
208371683037269,NBCU Catalyst,These ads ran without a disclaimer,≤100,9
103971614474334,Aramju,These ads ran without a disclaimer,≤100,1
1243388392422876,Oxfam en Centroamérica,These ads ran without a disclaimer,≤100,5
102984361463961,Igrow Academy,These ads ran without a disclaimer,≤100,11
107756041807121,oxfam_es,These ads ran without a disclaimer,≤100,2
103529875762960,CABAL Chicacao,These ads ran without a disclaimer,≤100,1
164453804254228,"Hablemos de Politica, Cultura y Deporte","Hablemos de Politica, Cultura y Deporte",≤100,1
100436392969963,Carlos Archila - VALOR,These ads ran without a disclaimer,≤100,1
357764431229,Center for Justice and International Law-CEJIL,These ads ran without a disclaimer,≤100,1
2070625386333908,Presta Express,These ads ran without a disclaimer,≤100,1
197597080387943,Cesigue Gestalt,These ads ran without a disclaimer,≤100,5
319549428716940,Maria Luisa Lima,These ads ran without a disclaimer,≤100,3
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,5
102473162654798,Mi Familia Camotan,These ads ran without a disclaimer,≤100,1
112185261482901,ELAC - Escuela Latinoamericana de Abogacía Comunitaria y Activismo Jurídico,These ads ran without a disclaimer,≤100,1
100979089555293,Jose Bedoya,These ads ran without a disclaimer,≤100,12
110671047355718,Cemento Stark Oficial,These ads ran without a disclaimer,≤100,1
101506999277776,Nosotros San José Pinula,These ads ran without a disclaimer,≤100,1
102153471654987,La vida en una historia.,These ads ran without a disclaimer,≤100,8
112517118171120,Fito Villagrán,These ads ran without a disclaimer,≤100,1
106727247809741,Entre Nos - Live,These ads ran without a disclaimer,≤100,1
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,11
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,4
103761686051702,David Vega,These ads ran without a disclaimer,≤100,1
590200921139350,Senator Guatemala,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,UNICEF,≤100,15
856012741442139,Ipas LAC,These ads ran without a disclaimer,≤100,1
365493950497394,Sustainable & Social Tourism Summit,These ads ran without a disclaimer,≤100,7
110281177818474,raphaela.gromes,These ads ran without a disclaimer,≤100,1
281554395331686,República,These ads ran without a disclaimer,≤100,1
111253821486779,Jubilados en Acción Guatemala,These ads ran without a disclaimer,≤100,1
108162125264732,Emi Cabrera,These ads ran without a disclaimer,≤100,1
1482174305394430,el pupitre de Pilu,These ads ran without a disclaimer,≤100,5
114777685207518,Viva - Latinoamérica y El Caribe,These ads ran without a disclaimer,≤100,3
949182708466103,Soltraj  PARA TODOS,These ads ran without a disclaimer,≤100,1
1756938131232274,Relato,These ads ran without a disclaimer,≤100,1
274138756817,Architonic,These ads ran without a disclaimer,≤100,2
109037265176294,Help Ukraine,These ads ran without a disclaimer,≤100,5
874942769210672,Asociación Artesanal Ixb'atz',These ads ran without a disclaimer,≤100,1
107202200929299,Cursos Integralis,These ads ran without a disclaimer,≤100,1
1403905346491365,Marshall Sports,These ads ran without a disclaimer,≤100,1
131347596900240,Servindi,These ads ran without a disclaimer,≤100,12
118412971186800,Miguel López,These ads ran without a disclaimer,≤100,1
1126736284004313,Brando Angulo,These ads ran without a disclaimer,≤100,1
305433466217252,Revista Más Agro Chiapas,These ads ran without a disclaimer,≤100,1
274661439533902,TECNO MART,These ads ran without a disclaimer,≤100,1
112295748185305,Zacapa News,These ads ran without a disclaimer,≤100,1
208672339148026,Creatividad Grafica,These ads ran without a disclaimer,≤100,1
104899075873831,Partido Azul San Pablo,These ads ran without a disclaimer,≤100,2
187073013532,Partido VIVA,These ads ran without a disclaimer,≤100,1
157080284391723,Oriéntame,These ads ran without a disclaimer,≤100,4
341208622657551,Crónica,These ads ran without a disclaimer,≤100,1
105900552270698,Sofia Adara,These ads ran without a disclaimer,≤100,9
362234297166220,PERSPECTIVA,These ads ran without a disclaimer,≤100,2
111582958421914,Punto de Encuentro,These ads ran without a disclaimer,≤100,3
292129440851133,CropLife Latin America,These ads ran without a disclaimer,≤100,17
102804505832588,Editorial Wicca,These ads ran without a disclaimer,≤100,1
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,2
103172549436914,Noticias del mundo todos los días,These ads ran without a disclaimer,≤100,1
107040575646313,Renata Marina,These ads ran without a disclaimer,≤100,15
209167675917414,Richie  Morales,These ads ran without a disclaimer,≤100,1
105595808934139,Baja Verapaz Plus,These ads ran without a disclaimer,≤100,1
1573680606216656,Rodeo S Company,These ads ran without a disclaimer,≤100,1
458665920931694,Mi Gente,These ads ran without a disclaimer,≤100,1
328825910979645,Senator Puerto San Jose,These ads ran without a disclaimer,≤100,1
146813392096955,OMCT,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,32
107863265440450,GuateNoticias,These ads ran without a disclaimer,≤100,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
101278419547651,Partido Nosotros Todos Santos Cuchumatán,These ads ran without a disclaimer,≤100,1
113869490337662,Punto X Punto,These ads ran without a disclaimer,≤100,1
142145835862894,IEXE Universidad,These ads ran without a disclaimer,≤100,4
112731733833728,Familias: Ahora,These ads ran without a disclaimer,≤100,2
380101052123087,Libros Examen Privado y Público USAC Derecho,These ads ran without a disclaimer,≤100,2
834181436749227,Apoyemos a GUATE muchá,These ads ran without a disclaimer,≤100,1
111217561712267,Tz'olojya,These ads ran without a disclaimer,≤100,2
1133599210139416,Perspectiva Pro Militar,These ads ran without a disclaimer,≤100,2
110917371847867,Marisol Ortiz,These ads ran without a disclaimer,≤100,2
1465646276779035,Los Secretos Judíos,These ads ran without a disclaimer,≤100,5
100870162637541,Mundo del Entretenimiento,These ads ran without a disclaimer,≤100,1
103523634781288,Custom Caps,These ads ran without a disclaimer,≤100,1
100394545298791,avillasantel,These ads ran without a disclaimer,≤100,1
1359136157453700,Bere Ramos,These ads ran without a disclaimer,≤100,6
285896596755,Fight the New Drug,These ads ran without a disclaimer,≤100,1
1683030321732560,Blessed Power Energym,These ads ran without a disclaimer,≤100,1
100393489608783,Podemos- San Andrés Xecul,These ads ran without a disclaimer,≤100,2
17108722387,Fundación Gabo,These ads ran without a disclaimer,≤100,1
7248739415,YOOX,These ads ran without a disclaimer,≤100,1
108785235305079,ACUBA,These ads ran without a disclaimer,≤100,1
7332451780,Saba University School of Medicine,These ads ran without a disclaimer,≤100,1
1853166571637415,RISEI,These ads ran without a disclaimer,≤100,1
105741532048451,Fluffy Worldwide,These ads ran without a disclaimer,≤100,37
104238915656696,Kab_Z4,These ads ran without a disclaimer,≤100,1
203124796450616,SE-COMISCA SICA,These ads ran without a disclaimer,≤100,2
156462034661,Municipalidad de Guatemala,These ads ran without a disclaimer,≤100,1
182974459306802,Bijoux Boutiques,These ads ran without a disclaimer,≤100,3
159557508060508,1981 GT,These ads ran without a disclaimer,≤100,1
101359732304206,Share_M113_x2,These ads ran without a disclaimer,≤100,1
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,10
101871839172802,Mariana Lee,These ads ran without a disclaimer,≤100,1
1751038415122588,Sergio Barrios,These ads ran without a disclaimer,≤100,1
954291968087950,Carlos Manuel Bezares,These ads ran without a disclaimer,≤100,1
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,20
621608187905344,ALER Satelital,These ads ran without a disclaimer,≤100,1
2058053604439707,Stiebel Eltron América Latina,These ads ran without a disclaimer,≤100,2
109050728638699,azul Retalhuleu,These ads ran without a disclaimer,≤100,1
107747191748210,juanthescribe,These ads ran without a disclaimer,≤100,1
627656154302600,The Agustin Agency,These ads ran without a disclaimer,≤100,1
247880795612406,Secretaría Nacional de Administración de Bienes en Extinción de Dominio,These ads ran without a disclaimer,≤100,1
110998368568900,joseurrutiae,These ads ran without a disclaimer,≤100,1
102618175380907,Global Citizen,These ads ran without a disclaimer,≤100,1
734179473324941,Heather Plett - author,These ads ran without a disclaimer,≤100,1
109448125780375,Melanie Müllers,These ads ran without a disclaimer,≤100,1
1599280066969824,Juan Ramón Ortiz-de la Torre Fernández-Aguarón,These ads ran without a disclaimer,≤100,1
113608008709874,Hotel Villa Real,These ads ran without a disclaimer,≤100,4
550745308677544,Moda's for men,These ads ran without a disclaimer,≤100,1
168355627035490,Jóvenes en Movimiento,These ads ran without a disclaimer,≤100,3
1500980146807748,DTC Soluciones en energía,These ads ran without a disclaimer,≤100,2
2218995394855770,Global Communities Guatemala,These ads ran without a disclaimer,≤100,1
1470496669881478,No seas plástico,These ads ran without a disclaimer,≤100,2
113905381987655,Asodispro,These ads ran without a disclaimer,≤100,1
115328961499441,Zona Noticias,Natalia Pinzon Hernandez,≤100,1
109234018766722,Arkad-03,These ads ran without a disclaimer,≤100,1
111153260586411,LivEnglish Curso OnLine,These ads ran without a disclaimer,≤100,1
630406247597638,ImpactWayv,These ads ran without a disclaimer,≤100,1
183955004970278,Escuela de Automovilismo Autorizada Daniel Cabrera / clasesylicencias.com,These ads ran without a disclaimer,≤100,1
107946278653692,UNE Monjas,These ads ran without a disclaimer,≤100,1
110355013845524,Noti San Ber,These ads ran without a disclaimer,≤100,1
107516342684659,Poder Ciudadano,These ads ran without a disclaimer,≤100,1
110508938516150,ML BAGS,These ads ran without a disclaimer,≤100,1
113212751689945,Zaragoza sin censura,These ads ran without a disclaimer,≤100,1
108940641362278,"Praxis TV - Escuela de Filosofía, UNA",These ads ran without a disclaimer,≤100,1
1984620174988993,1945 Air Force,These ads ran without a disclaimer,≤100,1
191347651290,China Daily,These ads ran without a disclaimer,≤100,2
150294649018041,Julia Murça,These ads ran without a disclaimer,≤100,1
737543059688929,PGN Guatemala,These ads ran without a disclaimer,≤100,1
115059719928844,AxxPhoto - Fotografía,These ads ran without a disclaimer,≤100,1
113494013686495,Ali Lopez,These ads ran without a disclaimer,≤100,1
101809608581227,Arte Para Introvertido,These ads ran without a disclaimer,≤100,1
372730414520,IDB Lab,These ads ran without a disclaimer,≤100,3
113502287096979,I Luv Australia,These ads ran without a disclaimer,≤100,2
162689657152881,Biolife Cosmetics and Aesthetics,These ads ran without a disclaimer,≤100,1
255963405063733,HackSureste,These ads ran without a disclaimer,≤100,1
106620807391911,Roche,These ads ran without a disclaimer,≤100,3
106532335442884,Byron Chacon,Eduardo Salazar,≤100,1
105966294466848,Matemática Online,These ads ran without a disclaimer,≤100,1
106721841204354,Karly Egremy,These ads ran without a disclaimer,≤100,1
109003031780900,horacero_ca,These ads ran without a disclaimer,≤100,2
232479886816529,Cambridge Institute for Sustainability Leadership,These ads ran without a disclaimer,≤100,1
401226360314390,España Abogados,These ads ran without a disclaimer,≤100,1
106519905322065,Fusión,These ads ran without a disclaimer,≤100,1
108763118830334,La Red,La Batalla que nos une,≤100,1
751269661657206,Bayer Crop Science México,These ads ran without a disclaimer,≤100,9
102227728415643,Lundbeck LATAM,These ads ran without a disclaimer,≤100,4
315603771494,Milaap,These ads ran without a disclaimer,≤100,13
149230191754256,IPS Agencia de Noticias,These ads ran without a disclaimer,≤100,2
306232446505213,Noches de Ciberseguridad,These ads ran without a disclaimer,≤100,4
104015742220554,Mimic,These ads ran without a disclaimer,≤100,5
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,23
104241607649585,Juan Ramón Lau Quan,These ads ran without a disclaimer,≤100,3
2119731394779355,Cocido Chapin,These ads ran without a disclaimer,≤100,1
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100,1
293468087920176,Adriana Perez,These ads ran without a disclaimer,≤100,1
216741958412414,Avon Worldwide,These ads ran without a disclaimer,≤100,5
338502256235005,Fundación Génesis Empresarial,These ads ran without a disclaimer,≤100,1
9181619833,CES,These ads ran without a disclaimer,≤100,2
113584865337634,New Ventures México,These ads ran without a disclaimer,≤100,1
310082752437679,Alvaro Reyes,These ads ran without a disclaimer,≤100,2
117729311283931,VIVA Chuarrancho Gt Oficial,These ads ran without a disclaimer,≤100,1
100860802065599,LyN BioLearning,These ads ran without a disclaimer,≤100,5
102742415654041,Rojas Distribuidora,These ads ran without a disclaimer,≤100,1
111827148225737,Mauricio Leite,These ads ran without a disclaimer,≤100,1
183391831715311,Utel Universidad,These ads ran without a disclaimer,≤100,2
537329353132153,Grupo de Apoyo Xela,These ads ran without a disclaimer,≤100,1
747420075340256,El Agricultor Primero,These ads ran without a disclaimer,≤100,11
502665456448329,Federico Barolin,These ads ran without a disclaimer,≤100,1
322809614586,ศิษย์เก่าวิทยาลัยเทคโนโลยีสุรินทรศึกษา,These ads ran without a disclaimer,≤100,1
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,4
100877498600309,California Youth Leadership Summit,These ads ran without a disclaimer,≤100,2
102036312485838,Los Proverbios de Salomón,These ads ran without a disclaimer,≤100,3
524388061096158,Colegio King David,These ads ran without a disclaimer,≤100,1
240336477689,FastPro-Secure&Fast-2,These ads ran without a disclaimer,≤100,2
130925360283035,Sociedad Bíblica de Guatemala,These ads ran without a disclaimer,≤100,1
101207769235713,Zucami Poultry Equipment - International,These ads ran without a disclaimer,≤100,1
101862302669563,Time Traveler Daily,These ads ran without a disclaimer,≤100,3
104635965715303,Asociación Nacional de Especialistas Jubilados del Ejército de Guatemala,These ads ran without a disclaimer,≤100,1
872645536138395,Conexión Ternura,These ads ran without a disclaimer,≤100,1
787751994657273,"Cactus de Oriente, Guatemala",These ads ran without a disclaimer,≤100,1
56632622313,U.S. Mission Vienna,These ads ran without a disclaimer,≤100,2
103993799324165,El Politiquero,These ads ran without a disclaimer,≤100,1
633035810226628,SomosPueblo,These ads ran without a disclaimer,≤100,3
117452511239270,"Partido Valor Chiquimula, Municipio",These ads ran without a disclaimer,≤100,1
107186555559853,"Todos malacatan ""Otto Recinos""",These ads ran without a disclaimer,≤100,1
109332978465609,Sebastian Castro,These ads ran without a disclaimer,≤100,1
217724632159421,Acces  jr,These ads ran without a disclaimer,≤100,1
8539814909,International Animal Rescue,These ads ran without a disclaimer,≤100,9
184790258231892,Consejo del Pueblo Maya,These ads ran without a disclaimer,≤100,1
111361091313,NICABM,These ads ran without a disclaimer,≤100,26
34440108608,Net Impact,These ads ran without a disclaimer,≤100,18
102527209215235,Most Active,These ads ran without a disclaimer,≤100,8
101748359144012,Revelo Community Latin America,These ads ran without a disclaimer,≤100,1
111522984929655,Santa Rosa News,These ads ran without a disclaimer,≤100,1
18983389920,Open Society Foundations,These ads ran without a disclaimer,≤100,4
108634243992221,Chapinlover,These ads ran without a disclaimer,≤100,1
278226958949773,DJ CYN,These ads ran without a disclaimer,≤100,3
192843524624158,CCDA Guatemala,These ads ran without a disclaimer,≤100,1
111634494777123,Yo Amo Pinula,These ads ran without a disclaimer,≤100,1
344769119523208,Adri Duque,These ads ran without a disclaimer,≤100,2
215010858641767,Chapinespadelante,These ads ran without a disclaimer,≤100,2
108210467509014,The HEY Campaign,These ads ran without a disclaimer,≤100,6
329398655099399,You Are Loved,These ads ran without a disclaimer,≤100,1
401000470308277,Acción Joven Honduras,These ads ran without a disclaimer,≤100,2
2323837731169313,Miguel Jordan,These ads ran without a disclaimer,≤100,1
107804975011209,New Events Suchitepéquez departamento,These ads ran without a disclaimer,≤100,1
199897540054379,Félix Gracia,These ads ran without a disclaimer,≤100,1
113058095004400,Convergencia Gremial Escuintla,These ads ran without a disclaimer,≤100,1
672859182730937,LAMBDA,These ads ran without a disclaimer,≤100,2
109685097040115,13 Noticias,These ads ran without a disclaimer,≤100,1
1704985253095665,Snovi 10 - Restaurante Bar,These ads ran without a disclaimer,≤100,1
102758541435334,Predicador Reformado,These ads ran without a disclaimer,≤100,1
108934281833142,Óptica Diseño Óptico,These ads ran without a disclaimer,≤100,1
106355878555798,Mega.Shopping.com,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,9
2552060571686733,Novakid Polska,These ads ran without a disclaimer,≤100,2
103257322365817,Centro de Capacitaciones e Investigaciones Estratégicas - CCIE,These ads ran without a disclaimer,≤100,1
409050679285047,Day Care Second Home,These ads ran without a disclaimer,≤100,1
101411836200958,MLP Oratorio Santa Rosa,These ads ran without a disclaimer,≤100,1
108690811775877,Adrián G. Morales,These ads ran without a disclaimer,≤100,1
421602101555402,Solidarity Economy Association,These ads ran without a disclaimer,≤100,1
200345460422728,Johnny Abraham : Conquista TU mundo,These ads ran without a disclaimer,≤100,2
108715288310963,_daja_photography,These ads ran without a disclaimer,≤100,3
111354124946256,Escuintla en Todo,These ads ran without a disclaimer,≤100,1
108562965017764,vaccottifer,These ads ran without a disclaimer,≤100,3
408078479564145,Eximics,These ads ran without a disclaimer,≤100,1
105901969101430,Orly Morataya,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,69
102138889507320,Rumores,These ads ran without a disclaimer,≤100,1
103512969698091,Le Tour de France,These ads ran without a disclaimer,≤100,1
179959289246271,SECRETOS DE LA VIDA,These ads ran without a disclaimer,≤100,2
231908277423664,HORA CERO,These ads ran without a disclaimer,≤100,1
318820991498689,G-22,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,6
1374826826104281,Sensibo,These ads ran without a disclaimer,≤100,4
259718244041813,Guatemala Próspera,These ads ran without a disclaimer,≤100,1
188789377812793,Kongsberg Gruppen,These ads ran without a disclaimer,≤100,1
1057037797761604,Universidad José Martí de Latinoamérica Campus Mérida,These ads ran without a disclaimer,≤100,2
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
189460705168518,IDCOM,These ads ran without a disclaimer,≤100,2
347265340270,Architecture Competitions,These ads ran without a disclaimer,≤100,2
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,3
211467518899455,COMNET,These ads ran without a disclaimer,≤100,1
108452731838045,RecoveryNice-UK,These ads ran without a disclaimer,≤100,5
100851845394937,Migrantes con Mulet,These ads ran without a disclaimer,≤100,1
100357715349653,Noticias del Oso,These ads ran without a disclaimer,≤100,4
106520078992285,Chofo Fuentes,These ads ran without a disclaimer,≤100,1
113015861750995,"Partido victoria ""El chino"" malacatancito",These ads ran without a disclaimer,≤100,1
107070841269100,Ecomoda Online,These ads ran without a disclaimer,≤100,1
151808344940167,Jevpic Productions,These ads ran without a disclaimer,≤100,1
105480725706202,Consejos de internet,These ads ran without a disclaimer,≤100,1
104992342372275,Mattia Surtees,These ads ran without a disclaimer,≤100,11
2057155957712002,"DELTA DAI ""Modelado de Informacion para la construccion""",These ads ran without a disclaimer,≤100,1
105592048984780,Ecosistemas Digitales,These ads ran without a disclaimer,≤100,2
105052252063779,"Jairo Orellana ""Pollo""","Jairo Orellana ""Pollo""",≤100,1
116704324641637,Fundacion De Búsqueda Y Rescate De Migrantes,These ads ran without a disclaimer,≤100,2
101603938364877,Logo Legitimo,These ads ran without a disclaimer,≤100,1
108870312898235,Libertad Héroes Militares Guatemaltecos,These ads ran without a disclaimer,≤100,1
103116819128654,Oswaldo Ruiz,These ads ran without a disclaimer,≤100,1
141271779363886,Christian Harfouche,These ads ran without a disclaimer,≤100,3
118652131175225,Partido Cambio San Agustin,These ads ran without a disclaimer,≤100,1
105278462286535,SM RADIO online,These ads ran without a disclaimer,≤100,1
138987186170505,Organización Autolibre,These ads ran without a disclaimer,≤100,1
617936758239753,Pastor Roman Orellana,These ads ran without a disclaimer,≤100,1
350483692200950,Chapin MAN,These ads ran without a disclaimer,≤100,1
276474589059952,Voces Nuestras,These ads ran without a disclaimer,≤100,1
114342401587953,Con el machete desenvainado,These ads ran without a disclaimer,≤100,1
1085228278277905,Apostle Joanne,These ads ran without a disclaimer,≤100,3
119405895873,Huawei,These ads ran without a disclaimer,≤100,8
224043818346072,LEDS LAC,These ads ran without a disclaimer,≤100,1
982393338496158,Media Learning - Melt Agencia,These ads ran without a disclaimer,≤100,1
100385325447748,Informante Baja Verapaz,Werner Roberto Ramirez Curley,≤100,1
106394871278125,Dale la Vuelta a la Diabetes,These ads ran without a disclaimer,≤100,1
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,16
929330603819301,Otto Ervin Macz,These ads ran without a disclaimer,≤100,1
110906265860,The Andrew Schulz,These ads ran without a disclaimer,≤100,6
101153462201729,Variedades JyC,These ads ran without a disclaimer,≤100,1
105684179080972,Instituto Brooklyn,These ads ran without a disclaimer,≤100,1
105607552434777,Instalador Solar,These ads ran without a disclaimer,≤100,2
1630952833827354,Armando Castillo,These ads ran without a disclaimer,≤100,1
401447723612339,Lau Vet,These ads ran without a disclaimer,≤100,1
101633918869065,Shalom for Women I.,These ads ran without a disclaimer,≤100,1
555928298100441,El Blog de Valerie,These ads ran without a disclaimer,≤100,1
729901447085223,Paul Lewis,These ads ran without a disclaimer,≤100,1
200990963441531,Boredom Therapy,These ads ran without a disclaimer,≤100,6
108601771593644,Partido Valor Totonicapán,These ads ran without a disclaimer,≤100,1
107975805606424,Luis Aldana,These ads ran without a disclaimer,≤100,1
211635725538012,Olimpiadas Especiales Guatemala,These ads ran without a disclaimer,≤100,1
107866547500739,Café Studio LGM,These ads ran without a disclaimer,≤100,1
2261413827506055,Diálogo Político,These ads ran without a disclaimer,≤100,2
1584418911887676,Roavis,These ads ran without a disclaimer,≤100,4
101663535463441,TODOS somos Mixco,These ads ran without a disclaimer,≤100,1
895014627514458,DJ CARY,These ads ran without a disclaimer,≤100,1
108276375551035,GuateMemes,Edward Jeancarlo Calderón González,≤100,1
104505619590204,Virtual Educa,These ads ran without a disclaimer,≤100,3
1740336349557186,Colby Jeffers,These ads ran without a disclaimer,≤100,2
101650324812061,Sabrina la Princess,These ads ran without a disclaimer,≤100,1
112077235044500,UNE San Miguel Petapa Oficial,These ads ran without a disclaimer,≤100,1
795719297296041,Ined - Instituto Nacional de Educación Digital,These ads ran without a disclaimer,≤100,1
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
524526600963470,PRODETUR,These ads ran without a disclaimer,≤100,1
1259252940768894,A21latam,These ads ran without a disclaimer,≤100,3
482602631823380,Recursos Humanos TV,These ads ran without a disclaimer,≤100,2
106093415765175,Global Noticias,These ads ran without a disclaimer,≤100,1
106641265403493,Instituto de Arte y Diseño,These ads ran without a disclaimer,≤100,22
109284298798218,San Jorge Territorio CABAL,These ads ran without a disclaimer,≤100,1
195210991410496,Acadian Plant Health LATAM,These ads ran without a disclaimer,≤100,1
601275400034336,Zanqueros en guatemala,These ads ran without a disclaimer,≤100,1
103239179205171,Filosofía al Hueso,These ads ran without a disclaimer,≤100,1
102930518860327,Sindicato Nacional de Salubristas COSUR,These ads ran without a disclaimer,≤100,1
108252638666909,Calel Ahpop,These ads ran without a disclaimer,≤100,1
266765606799190,ECMIA Región Sur,These ads ran without a disclaimer,≤100,1
171596616293058,ROOM diseño,These ads ran without a disclaimer,≤100,3
101834689161496,Partido VALOR Chichicastenango,These ads ran without a disclaimer,≤100,1
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,21
106978991042043,Chonita News,These ads ran without a disclaimer,≤100,2
101296345681860,Filosofía Terapéutica,These ads ran without a disclaimer,≤100,1
116780567115083,Tissue Online Latinoamérica,These ads ran without a disclaimer,≤100,9
102199795319206,Pablo Marçal Oficial,These ads ran without a disclaimer,≤100,12
1482560595379392,Whakamua,These ads ran without a disclaimer,≤100,10
100126212204265,Homebond Properties,These ads ran without a disclaimer,≤100,1
100254824748185,Jensog-UK,These ads ran without a disclaimer,≤100,17
135391536631038,NEREA Mariscos,Cintya Clarissa Navas Portillo,≤100,1
442304599158563,Alianza Mesoamericana de Pueblos y Bosques,These ads ran without a disclaimer,≤100,1
115895401463440,Entretenimiento,These ads ran without a disclaimer,≤100,6
84739343457,Motor.es,These ads ran without a disclaimer,≤100,1
332310514188218,UniEuropa Business School,These ads ran without a disclaimer,≤100,1
324253041382779,Xavier Cormier,These ads ran without a disclaimer,≤100,3
102093685620627,Best Diplomats,These ads ran without a disclaimer,≤100,1
2083784155251959,Coach_Laura Bustamante,These ads ran without a disclaimer,≤100,1
104768442253876,joab_lector_,These ads ran without a disclaimer,≤100,1
104606311810920,Viviendo sin tapujos,These ads ran without a disclaimer,≤100,1
107794167478402,Blow,These ads ran without a disclaimer,≤100,3
113974084970076,CHAPI Noticias,La Batalla que nos une,≤100,1
102031516157107,TODOS San Francisco La Unión,These ads ran without a disclaimer,≤100,1
1854102114877469,Mommy Daily Honduras,These ads ran without a disclaimer,≤100,1
102040264861210,Smart City University,These ads ran without a disclaimer,≤100,5
370717746440398,La Maraña,These ads ran without a disclaimer,≤100,1
330588664374135,Sunshine Solar  Energia Solar,These ads ran without a disclaimer,≤100,1
101137612870763,Brujo Mayor Marcelo Sanic,These ads ran without a disclaimer,≤100,1
105669891945718,Andrés Rafael López,These ads ran without a disclaimer,≤100,1
366815896693520,Milo Claure,These ads ran without a disclaimer,≤100,1
108923542529195,Eurofarma,These ads ran without a disclaimer,≤100,1
103389318864681,Mamãe da Ayla,These ads ran without a disclaimer,≤100,1
1077131932479669,Hannah Love Design,These ads ran without a disclaimer,≤100,1
109391388543268,Mariana Alves,These ads ran without a disclaimer,≤100,5
105120655562483,Camila Garcia,These ads ran without a disclaimer,≤100,2
108584201404731,La Civiltà Cattolica - Edición en español,These ads ran without a disclaimer,≤100,2
