Page ID,Page name,Disclaimer,Amount spent (LSL),Number of ads in Library
103051789052022,Frazer Solar,These ads ran without a disclaimer,5712,2
2119732698342937,Vodafone Group,These ads ran without a disclaimer,1365,12
28312410177,World Food Programme,These ads ran without a disclaimer,1231,107
523006414504709,Restoring The Nation's Hope & Dignity,Restoring The Nation's Hope & Dignity,993,5
68793499001,UNICEF,UNICEF with Facebook Ad Credits,841,23
112701791454908,𝙼𝙰𝚃𝙹𝙾𝚃𝙹𝙾 𝙴𝙽𝚃𝙴𝚁𝚃𝙰𝙸𝙽𝙼𝙴𝙽𝚃,Joel Makara,700,2
847853251970285,NUL Research and Innovations,These ads ran without a disclaimer,451,2
101460842681784,TRT Afrika,These ads ran without a disclaimer,411,6
158714780827513,UNFPA,UNFPA,352,53
821430017924241,Sungrow,These ads ran without a disclaimer,343,8
752044681573271,Revenue Services Lesotho,These ads ran without a disclaimer,320,1
8304333127,The Wall Street Journal,These ads ran without a disclaimer,293,2
173254003362613,WE ARE CHINA,These ads ran without a disclaimer,258,5
565225540184937,CGTN,These ads ran without a disclaimer,244,94
6013004059,The Economist,These ads ran without a disclaimer,243,30
1798435720478073,新華香港,These ads ran without a disclaimer,240,8
128323707185817,deVere Group,These ads ran without a disclaimer,215,3
68793499001,UNICEF,These ads ran without a disclaimer,176,21
230834147675510,LabXchange,These ads ran without a disclaimer,175,1
116054431092649,Ministry of Finance Lesotho,These ads ran without a disclaimer,166,1
103291159213255,Lesotho IEC,These ads ran without a disclaimer,160,1
149961801532815,SM Coporation,These ads ran without a disclaimer,153,2
100126129326486,MSD for Mothers,These ads ran without a disclaimer,147,2
127187187348820,Kaspersky,These ads ran without a disclaimer,136,3
102093685620627,Best Diplomats,These ads ran without a disclaimer,131,1
6651543066,CNN Business,These ads ran without a disclaimer,125,18
126052760507,Mama Cash,These ads ran without a disclaimer,115,51
479285342097950,AeroTime,These ads ran without a disclaimer,107,11
119405895873,Huawei,These ads ran without a disclaimer,107,6
68793499001,UNICEF,UNICEF,101,63
107167552201671,Mokete wa Thoriso,These ads ran without a disclaimer,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,4
171090380838,Daily Maverick,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,75
113677854987876,"Moruo,Khoebo le Tsoelopele",These ads ran without a disclaimer,≤100,1
793541217464814,Cisco Global Problem Solver Challenge,These ads ran without a disclaimer,≤100,1
105827341802917,Lesotho Tribune,These ads ran without a disclaimer,≤100,2
245783122707027,Mars Solar Power System Manufacturer,These ads ran without a disclaimer,≤100,2
208685479508187,U-Report,These ads ran without a disclaimer,≤100,17
597680120364620,Seinoli Legal Centre,These ads ran without a disclaimer,≤100,1
187429968296722,Harvard Online,These ads ran without a disclaimer,≤100,5
155551605058072,YONA: Your Opportunity & Network Alliance,These ads ran without a disclaimer,≤100,1
170148983138368,Jain University-International Relations,These ads ran without a disclaimer,≤100,1
