Page ID,Page name,Disclaimer,Amount spent (VEF),Number of ads in Library
1517088885216557,AIG,These ads ran without a disclaimer,53158912,34
128071033870721,Voz de América,These ads ran without a disclaimer,50857994,19
106920505527769,Policia Municipal de Valencia,an advertiser in Venezuela,50610046,2
150129451747062,Fundarte Alcaldia,an advertiser in Venezuela,50110045,5
568134956712968,Orlando Chacón,an advertiser in Venezuela,48042544,18
854258371335256,Diario del Pueblo,an advertiser in Venezuela,46500000,10
2234055216631949,Luis Augusto Martinez,an advertiser in Venezuela,45750000,52
2103209353235471,Acirema,These ads ran without a disclaimer,45000000,2
311431722397745,Unión Integral y Democrática de todos los pueblos-MID,These ads ran without a disclaimer,44239361,15
108350037422144,Hora de Hablar,These ads ran without a disclaimer,41930038,8
727525873949086,EPA Venezuela,These ads ran without a disclaimer,41592538,2
101141362593364,CAM en Español,These ads ran without a disclaimer,41485223,4
103302635921424,Juan Carlos Zamora,an advertiser in Venezuela,39765036,12
116093674518,César Pérez Vivas,an advertiser in Venezuela,39230036,3
103664765094305,Hijos de la Inmaculada,These ads ran without a disclaimer,38250517,1
102901055579612,Alcaldia Alberto Adriani,an advertiser in Venezuela,37500000,10
342910153967,Upata al Día TV,an advertiser in Venezuela,35680032,30
152914224736727,Banco Mundial,These ads ran without a disclaimer,34297921,186
111566261982249,The Next Wave - הגל הבא,These ads ran without a disclaimer,34010186,15
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,33056835,134
107007645828297,Carabobo Sostenible,an advertiser in Venezuela,32102529,10
117311267063459,Postgrados Universidad Metropolitana,an advertiser in Venezuela,31355028,9
108795610610479,Innova QUIM C.A,These ads ran without a disclaimer,31000000,1
166489588821800,Josegbricenot2,These ads ran without a disclaimer,30794125,11
106905656797560,Nia Tero,These ads ran without a disclaimer,30385974,4
100342442336523,Mundo Mayor Valencia,These ads ran without a disclaimer,30345027,12
100794206214567,Tus Pantallas streaming,These ads ran without a disclaimer,29547527,21
253718358409270,Rebeca Bertucci,an advertiser in Venezuela,29535027,2
102929506152433,Dr. Emilio Flores Lyon,an advertiser in Venezuela,29535027,5
104621485449339,Lawit Venezuela,an advertiser in Venezuela,29377527,4
582347441782569,Pedro Pablo Fernández,an advertiser in Venezuela,29122529,14
103160219449276,Lilys Osuna,an advertiser in Venezuela,28520026,5
1518216038506999,CRI - Rádio Internacional da China,These ads ran without a disclaimer,27920025,13
109488458781035,José Bermudez,an advertiser in Venezuela,27000000,2
1318476414972266,UNT_Carabobo,an advertiser in Venezuela,26500000,5
101462979035781,Miranda Te Habla,These ads ran without a disclaimer,26396933,1
108285055362768,Discover Islam,These ads ran without a disclaimer,26097988,2
818618048171456,Roberto Patiño,an advertiser in Venezuela,26035024,24
739084392884954,Pancho Perez Lugo,an advertiser in Venezuela,25750000,4
112040704731277,A l l n o v e l-RS,These ads ran without a disclaimer,25750000,1
227622537655549,CGTN en Español,These ads ran without a disclaimer,24506277,10
167878593236712,UNICEF en español,These ads ran without a disclaimer,24470059,4
111996834835351,Polianaliticave,an advertiser in Venezuela,24250000,2
105073207967492,CTG Perú,These ads ran without a disclaimer,24037394,23
8304333127,The Wall Street Journal,These ads ran without a disclaimer,23873879,2
106718764251730,José Jhonatan Mujica Acosta,an advertiser in Venezuela,23245021,18
1708210952761939,Cristofer Correia,an advertiser in Venezuela,23087521,6
102120339346762,Daniela Castro,an advertiser in Venezuela,22977521,1
81395234664,BBC News Mundo,These ads ran without a disclaimer,22411778,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,21681741,3
306800529496451,La Voz de los Mártires,These ads ran without a disclaimer,21505260,1
168318796362396,Jhonathan Veracierta,an advertiser in Venezuela,20910019,7
598065966945557,Grupo Empresarial R&O,These ads ran without a disclaimer,20754778,1
358442097543367,Materia,These ads ran without a disclaimer,20711061,45
110805378616187,Juntos Todo es Posible,These ads ran without a disclaimer,20470019,7
108455578351288,Alcaldia del Municipio José Félix Ribas,an advertiser in Venezuela,20390018,9
108455578351288,Alcaldia del Municipio José Félix Ribas,an advertiser in Venezuela,20000018,7
172348652806226,DEKRA,These ads ran without a disclaimer,19677558,4
106727395168703,Gonzalez Ana respaldo,an advertiser in Venezuela,19522518,6
371319006838525,Juan Soto,These ads ran without a disclaimer,19387518,8
334803093041596,Financial News No.1,These ads ran without a disclaimer,19170502,8
872645536138395,Conexión Ternura,These ads ran without a disclaimer,18935017,1
105059612321225,mayorak.usa,These ads ran without a disclaimer,18750000,2
1140326356028353,Juan Guaido M,These ads ran without a disclaimer,18495017,7
101711426293455,Monagas con Benjamín Rausseo,an advertiser in Venezuela,18250000,1
224702387391134,José Javier Martinez,an advertiser in Venezuela,18205016,4
109700540583001,Dr. Guillermo Rangel,These ads ran without a disclaimer,18000000,2
105784759076521,Partido Verde de Venezuela,an advertiser in Venezuela,17500000,4
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,17405375,1
112014055141188,Andrea Longo,These ads ran without a disclaimer,17377223,6
134278719946186,Bayer,These ads ran without a disclaimer,17347611,4
326925683834844,Zulianos con Edmundo,an advertiser in Venezuela,17250000,5
147958378397192,Voto Responsable 2024,an advertiser in Venezuela,17095015,3
109243455542936,infinitics.sc,These ads ran without a disclaimer,17000000,1
128246560380663,santiagobruzcoven,an advertiser in Venezuela,17000000,8
103131925312936,Daniel Barrios,an advertiser in Venezuela,16997515,2
100185982317228,Tuproximoempleo,These ads ran without a disclaimer,16428934,4
28312410177,World Food Programme,These ads ran without a disclaimer,16391113,7
14302129065,El Espectador,These ads ran without a disclaimer,16005662,5
111160730747637,Trivia Stars,These ads ran without a disclaimer,15887514,4
107834785323267,Airtech Challenge,These ads ran without a disclaimer,15725501,2
1492742834336213,Yachay - Concurso Regional de Derechos Humanos,These ads ran without a disclaimer,15700014,1
103549796052299,Faliushier3,These ads ran without a disclaimer,15550885,41
102570162623873,tadeosilvalaw,These ads ran without a disclaimer,15397514,3
108231808784479,Venecomenta,an advertiser in Venezuela,15385014,20
111936406898915,cocomonver,These ads ran without a disclaimer,15326914,3
105533141812106,v2aventuras,These ads ran without a disclaimer,15250014,7
100216072722266,Farmacia Móvil Solidaria,These ads ran without a disclaimer,15000000,1
208699478993264,IMAES Valencia,an advertiser in Venezuela,14982514,3
97320092545,PAHO-WHO,These ads ran without a disclaimer,14563558,1
108022745034929,Vota por Luis Jonás Reyes,an advertiser in Venezuela,14535013,2
510840152409182,Venta Mayor USA,These ads ran without a disclaimer,14310013,6
101776888809369,Con La Lupa,These ads ran without a disclaimer,14000000,6
1795463487400744,Página: Astrid Silvestri,an advertiser in Venezuela,14000000,3
342910153967,Upata al Día TV,an advertiser in Venezuela,13892513,9
139500736117513,Pocholin Baby,These ads ran without a disclaimer,13790012,2
156017067602600,United por la Educación Judía,These ads ran without a disclaimer,13788642,3
105971132265220,Luis Fernando Guerra O,an advertiser in Venezuela,13750012,2
105881118828861,"Citas para Pasaportes Colombia y Visas Americanas, Canadiense y Australiana",These ads ran without a disclaimer,13591523,10
109037265176294,Help Ukraine,These ads ran without a disclaimer,13250012,5
0,Instagram User 559227239,These ads ran without a disclaimer,13250000,1
105387792068197,mayortendencia,These ads ran without a disclaimer,13060012,2
117944284575568,Amor por Venezuela,These ads ran without a disclaimer,12837512,4
266790296879,Bloomberg,These ads ran without a disclaimer,12786871,16
2555255427839567,Partido COPEI,an advertiser in Venezuela,12690011,2
1608990242655071,ILC Ecuador English Institute,These ads ran without a disclaimer,12660011,3
105162361100288,Fundatur Valencia,an advertiser in Venezuela,12650011,3
101978933230493,DHL,These ads ran without a disclaimer,12503540,3
100396665384488,mayoregalo27,These ads ran without a disclaimer,12500011,1
618340195273780,Jesús Acosta,an advertiser in Venezuela,12500000,2
106971848957012,Alianza Licorera Caracas,These ads ran without a disclaimer,12500000,1
164384870089507,Ministro Esmeralda,These ads ran without a disclaimer,12251199,4
1798435720478073,新華香港,These ads ran without a disclaimer,12146211,8
113844321620530,WhatsApp Business 9912609797,These ads ran without a disclaimer,11854085,8
1736552606378809,Manolo El Gallego,These ads ran without a disclaimer,11517679,1
106450964481055,APsystems LATAM,These ads ran without a disclaimer,11492366,11
211449615709050,Abogado de Inmigración Petro,These ads ran without a disclaimer,11327510,1
1594044310858453,Caring | Church of Jesus Christ,These ads ran without a disclaimer,11312510,2
329454973810761,Elias Sayegh,These ads ran without a disclaimer,11250000,2
101584396045484,Antonella Pinto De Cristofaro,an advertiser in Venezuela,11250000,2
187462697780662,Veo Israel,These ads ran without a disclaimer,11219551,8
273770503576765,Libro de Mormón Oficial,These ads ran without a disclaimer,11040010,1
103532292462368,WIRED en español,These ads ran without a disclaimer,10879654,6
111501216920024,Ocean Mi Amor,These ads ran without a disclaimer,10680010,1
171925551484,TalCual,These ads ran without a disclaimer,10500000,1
102667469529211,dulceqworld,These ads ran without a disclaimer,10420765,2
103012005572853,soycandidoramirez,These ads ran without a disclaimer,10392509,2
165042833621264,Schneider Electric,These ads ran without a disclaimer,10349122,7
802090139805877,Tony Marioghae,These ads ran without a disclaimer,10291669,13
101020871400122,Casabombero,These ads ran without a disclaimer,10030009,1
145599298836370,Últimas Noticias,an advertiser in Venezuela,10000000,1
176497682592,Jesús Armas,These ads ran without a disclaimer,9962509,2
336120960636736,PABerater,These ads ran without a disclaimer,9907675,2
35985013522,FARMATODO Venezuela,These ads ran without a disclaimer,9871821,1
131189377574,MDPI,These ads ran without a disclaimer,9647127,81
110530401611698,real.termometronacional,These ads ran without a disclaimer,9545009,6
0,Instagram User 9082000556,These ads ran without a disclaimer,9322508,1
163575687010774,IGLESIA SIGLO XXI,These ads ran without a disclaimer,9252582,1
478216609620440,Buddhistdoor en Español,These ads ran without a disclaimer,9177420,3
102799117789648,Raimundo Santamarta,These ads ran without a disclaimer,9110008,1
1575300589428722,Tony Flores Oficial,These ads ran without a disclaimer,9000000,4
110132152354600,CADAL,These ads ran without a disclaimer,9000000,9
163488480387610,Ingeniería Digital C.A.,an advertiser in Venezuela,8750000,10
274061232447290,PolitikMente,an advertiser in Venezuela,8745008,3
100464562313267,ilumiledvalencia,These ads ran without a disclaimer,8733618,2
351636681544850,Agenzia Giornalistica Aise,These ads ran without a disclaimer,8610571,3
102875538947631,Gala De Oro,These ads ran without a disclaimer,8250000,1
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,8246458,7
562482717203091,Alimentando tu salud,These ads ran without a disclaimer,8033250,1
1914785225460488,History All Day,These ads ran without a disclaimer,8008137,1
110909833871722,"Señor ""A""",These ads ran without a disclaimer,8000000,2
1654422088137695,Guido Mercado,an advertiser in Venezuela,8000000,4
104369210928470,Johel Orta,an advertiser in Venezuela,8000000,2
104199038515291,Jessijess,These ads ran without a disclaimer,7901666,1
102382772020688,Inspenet,These ads ran without a disclaimer,7632507,3
113041371399821,Médicos Plus,These ads ran without a disclaimer,7617249,2
149361515084943,Guardianes,These ads ran without a disclaimer,7606920,2
111136191631817,Podcast Vale Germânico,These ads ran without a disclaimer,7585318,1
420916501408724,Smart City Expo Latam Congress,These ads ran without a disclaimer,7547694,2
209666191448,Manuel Rosales Guerrero,an advertiser in Venezuela,7500000,2
106148639105580,@diarioelprogresonews,These ads ran without a disclaimer,7460007,6
112095277931513,daniel.dgomez,These ads ran without a disclaimer,7435007,5
266618210561483,Antonio Jose Vargas,These ads ran without a disclaimer,7400007,6
864287506946773,Plan de Negocios,These ads ran without a disclaimer,7310007,2
104544675741969,Citas para pasaportes Colombia Ltda y Visas Americanas,These ads ran without a disclaimer,7283625,4
104684664230254,Travel Union Vzla,These ads ran without a disclaimer,7250007,2
1823807254333065,GrupoPastawa,These ads ran without a disclaimer,7188100,6
102604679094722,sonidoplatinium,These ads ran without a disclaimer,7000000,4
370717746440398,La Maraña,These ads ran without a disclaimer,7000000,1
31292782350,Deutschland.de,These ads ran without a disclaimer,6991596,170
173685262763596,Lester Toledo,These ads ran without a disclaimer,6957506,1
168784053795347,Fondo Monetario Internacional,These ads ran without a disclaimer,6752506,3
113428331107245,Nerio Romero Services,These ads ran without a disclaimer,6750000,1
108718451306264,Vital Salud Clínica Docente c.a,These ads ran without a disclaimer,6745006,2
109004015246339,Metalfijoval,These ads ran without a disclaimer,6737506,2
488629597893093,Goodwall,These ads ran without a disclaimer,6725015,2
102153471654987,La vida en una historia.,These ads ran without a disclaimer,6690006,10
292129440851133,CropLife Latin America,These ads ran without a disclaimer,6594939,25
115233341447977,Xperto,an advertiser in Venezuela,6500000,7
104216809146875,Ricky del Río Alcalde Arecibo 2024,These ads ran without a disclaimer,6430006,2
108129830805849,franciadavila.rah,These ads ran without a disclaimer,6375006,1
100904822517086,Non-Trivial,These ads ran without a disclaimer,6363367,17
112586745088105,rechtsanwalt.lehner,These ads ran without a disclaimer,6273186,7
114903054926147,Informate Venezuela,These ads ran without a disclaimer,6250000,1
178312112245961,yesHEis,These ads ran without a disclaimer,6250000,1
340959580487077,alfapubli,These ads ran without a disclaimer,6250000,1
209291109172242,FIFA/CIES International University Network,These ads ran without a disclaimer,6191119,1
124285820927337,Durham University Business School,These ads ran without a disclaimer,6157796,10
287940405085613,symriseag,These ads ran without a disclaimer,6062505,4
161303029020,IOM - UN Migration,These ads ran without a disclaimer,6047505,3
166900206660207,OIM Colombia,These ads ran without a disclaimer,5778005,1
709430982419756,Thermo King Latinoamérica,These ads ran without a disclaimer,5775724,11
239741449522987,Diario El Vistazo,These ads ran without a disclaimer,5750000,2
137173482801968,OVA Caracas,These ads ran without a disclaimer,5750000,2
109314811451577,TuRequerimiento.com,These ads ran without a disclaimer,5750000,2
102035035940569,Da Vida a la Vida,These ads ran without a disclaimer,5711520,4
103537514766176,maurozam10,These ads ran without a disclaimer,5682505,2
209171846096099,Fotógrafo de Galápagos,These ads ran without a disclaimer,5610005,5
130369030334301,KidsRights,These ads ran without a disclaimer,5571772,10
221901754840837,ACCIONA.Chile,These ads ran without a disclaimer,5536271,2
105100471548107,Toromaimas Functional Training,These ads ran without a disclaimer,5500000,1
1508460952816699,Oscar Silva,an advertiser in Venezuela,5497505,14
192668453919371,lanuevaderecha_ve,These ads ran without a disclaimer,5459932,6
166591246714313,Tetra Pak,These ads ran without a disclaimer,5376607,5
141053389924963,"Zadra Law Firm, P.A.",These ads ran without a disclaimer,5362505,2
401226360314390,España Abogados,These ads ran without a disclaimer,5355500,2
1482174305394430,el pupitre de Pilu,These ads ran without a disclaimer,5355500,6
104696832211450,Turismo - Alcaldia de Maracaibo,an advertiser in Venezuela,5250000,2
2189060464547983,Triluven CA,These ads ran without a disclaimer,5250000,1
109209210959020,Jhan Rondon,These ads ran without a disclaimer,5250000,1
192599677277092,Reto Anzoategui te enamora,These ads ran without a disclaimer,5250000,1
101398311727271,erickbenigirardot,These ads ran without a disclaimer,5227505,2
251699338005,Revista Cartel Urbano,These ads ran without a disclaimer,5112928,2
231720020225801,BSH Home Appliances,These ads ran without a disclaimer,5087725,2
107919011385000,specialmoment15,These ads ran without a disclaimer,5087725,2
100633682939979,Artemis Stetica & Spa,an advertiser in Venezuela,5072505,2
102020462232263,Gustavo Fernández,These ads ran without a disclaimer,5050005,6
101674519207586,textilan_group,These ads ran without a disclaimer,5000005,1
100205789538103,ja_nessi,These ads ran without a disclaimer,5000000,1
459042351520350,Elmoca Centro Automotriz,These ads ran without a disclaimer,5000000,1
0,Instagram User 9149804768,These ads ran without a disclaimer,5000000,1
876457109153657,PMNCH,These ads ran without a disclaimer,4972920,1
419356848257185,Omar Veracierto,an advertiser in Venezuela,4972505,4
103671662501604,Trinity Knapp,These ads ran without a disclaimer,4905004,4
110917371847867,Marisol Ortiz,These ads ran without a disclaimer,4900913,2
205475716674459,Frente Amplio Venezuela Libre,an advertiser in Venezuela,4900004,2
105265798877266,Sibarita La Revista,These ads ran without a disclaimer,4861717,4
100132816193422,SOY NADIE,These ads ran without a disclaimer,4817958,2
19740928752,World Animal Protection,These ads ran without a disclaimer,4769460,4
101801685891012,Revista Knowable,These ads ran without a disclaimer,4767387,9
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,4753346,6
11449543593,Carlos Ocariz,These ads ran without a disclaimer,4750000,12
106457635188372,Biagio Pilieri,These ads ran without a disclaimer,4750000,1
634384507190068,meltrillas,These ads ran without a disclaimer,4750000,1
100376499322476,USA Tu Abogado De Inmigración,These ads ran without a disclaimer,4750000,1
113310403435604,tovarroyo,These ads ran without a disclaimer,4750000,7
208685479508187,U-Report,These ads ran without a disclaimer,4734655,11
816392375053480,Neftalí Yagua,These ads ran without a disclaimer,4719093,1
106331474473738,Esport Mobile,These ads ran without a disclaimer,4682790,1
101087222659264,Detras de la Historia,These ads ran without a disclaimer,4630869,5
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,4547394,30
309245512277683,Upata Al Día 24,an advertiser in Venezuela,4512504,5
110768234854742,teamespartanosvzla,These ads ran without a disclaimer,4500000,2
108156800670921,Pc-Mac Computer,These ads ran without a disclaimer,4500000,1
0,Instagram User 8127572320,These ads ran without a disclaimer,4500000,2
100505809646814,benjaminrausseopresidente2024,an advertiser in Venezuela,4497504,1
288558181158008,"Rigzone.com is The Leader in Oil & Gas Jobs, News, Oil Prices, and Events.",These ads ran without a disclaimer,4386679,2
1869566233070452,NakaDima,These ads ran without a disclaimer,4360090,3
115591005188475,Global Times,These ads ran without a disclaimer,4339825,15
383311258408684,SciDev.Net: América Latina,These ads ran without a disclaimer,4313936,4
104117804789876,Un Té con Teresa,These ads ran without a disclaimer,4282086,1
315659968914693,FICEM,These ads ran without a disclaimer,4257333,14
111761433935219,lacausa264,These ads ran without a disclaimer,4250000,9
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,4241950,105
102232985829560,distlasguacamayas,These ads ran without a disclaimer,4202504,1
111783969059,Tony Robbins,These ads ran without a disclaimer,4167504,2
31121558686,BBVA Careers,These ads ran without a disclaimer,4115960,5
358481724165689,UTS International Students,These ads ran without a disclaimer,4057177,1
111531241313109,Oscar Doval,These ads ran without a disclaimer,4000004,1
101452412595312,contrapuntove,These ads ran without a disclaimer,4000000,2
495310654257835,Pasimedia,These ads ran without a disclaimer,4000000,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,3989221,6
121350964566751,DHL Motorsports,These ads ran without a disclaimer,3978641,16
115137755498,Mott Foundation,These ads ran without a disclaimer,3945004,2
161376367067195,Drpaucomparte,These ads ran without a disclaimer,3931521,1
243061932395739,ConSalud.es,These ads ran without a disclaimer,3911705,5
114111351305641,Inversiones Yiyo's Deco - Cake,These ads ran without a disclaimer,3862503,1
100432322646591,Magnom Properties,These ads ran without a disclaimer,3811598,3
107567265030409,UProcess,These ads ran without a disclaimer,3810003,2
1724010747927547,Furukawa Solutions,These ads ran without a disclaimer,3793432,1
364080920780895,Corbacho,These ads ran without a disclaimer,3791222,2
101417536084096,TRT Español,These ads ran without a disclaimer,3754593,5
101841179184125,frigomaxichicken,These ads ran without a disclaimer,3750000,1
114884288165594,Sireda-Fenatev,an advertiser in Venezuela,3750000,1
100594169370000,"El Frac, la Levita y el Smoking",These ads ran without a disclaimer,3750000,1
103318861669545,ferrelaplata,These ads ran without a disclaimer,3750000,1
105820828346801,goglobaltech,These ads ran without a disclaimer,3747503,1
111708674685918,Alcaldia de Guaicaipuro,an advertiser in Venezuela,3742503,2
110108881404500,mariaalejrivero,an advertiser in Venezuela,3732503,11
1893231034244336,Winston Vallenilla,These ads ran without a disclaimer,3725003,2
101163591558152,PTC Therapeutics SAM,These ads ran without a disclaimer,3693290,1
107044652387599,opgvenezuela,an advertiser in Venezuela,3665003,1
105274114909630,El Termometro Digital,an advertiser in Venezuela,3635003,4
108562965017764,vaccottifer,These ads ran without a disclaimer,3609900,6
109972755289488,Negocios totales,an advertiser in Venezuela,3592503,2
0,Instagram User 6742866282,These ads ran without a disclaimer,3577503,1
1085584391509984,María Verónica Rengifo,an advertiser in Venezuela,3570003,3
104916669193012,douglasrodriguezsilva,These ads ran without a disclaimer,3555003,1
102623228236962,Washington Christian University,These ads ran without a disclaimer,3554998,3
176495062204872,Programas Venezuela,These ads ran without a disclaimer,3508701,1
1238173096287495,Azur Games,These ads ran without a disclaimer,3507437,3
103184071253544,Global Oil Lub,These ads ran without a disclaimer,3500000,1
371399226312498,Ylidio Abreu,an advertiser in Venezuela,3500000,1
104721498737892,siluetas_vip,These ads ran without a disclaimer,3500000,1
100323468593612,Minería para América Latina,These ads ran without a disclaimer,3427503,1
101973792007627,Hogar Vegano Abril,These ads ran without a disclaimer,3400003,1
107924793226971,Última trinchera,These ads ran without a disclaimer,3384047,1
2847932505247470,Breteau Foundation,These ads ran without a disclaimer,3377774,4
100694966010922,USAenEspañol,These ads ran without a disclaimer,3302503,1
110173634817979,siciliantavola,These ads ran without a disclaimer,3301254,1
249715249055539,Leonardo Trechi,These ads ran without a disclaimer,3250000,2
104648981195021,The Oxygen Project ES,These ads ran without a disclaimer,3245003,2
100693424651563,"Imreca, c.a.",These ads ran without a disclaimer,3242503,1
1599280066969824,Tío Jhon Gamer de México,These ads ran without a disclaimer,3239674,1
110647840532680,Merge Mayor,These ads ran without a disclaimer,3213300,2
107040231870127,SobreVerso,These ads ran without a disclaimer,3213300,1
663806527330788,A Simple Vista,These ads ran without a disclaimer,3195003,12
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,3188866,2
7332451780,Saba University School of Medicine,These ads ran without a disclaimer,3167503,1
