Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
165525366896608,Soka Gakkai,These ads ran without a disclaimer,142,4
769095856453652,Axel Arigato,These ads ran without a disclaimer,140,1
105841515741486,African Peace and Security Union,These ads ran without a disclaimer,139,3
105229127765506,Pudong China,These ads ran without a disclaimer,139,2
164175404279163,Professor José Cungo,These ads ran without a disclaimer,139,1
107996315091233,月旦港事,These ads ran without a disclaimer,139,7
188890111132385,Oxford Academic (Oxford University Press),These ads ran without a disclaimer,139,2
105137208888096,Garçons juclaur foster,These ads ran without a disclaimer,139,1
107361854638031,daemonwolfsson,These ads ran without a disclaimer,139,1
153371894688575,World Bank,These ads ran without a disclaimer,139,8
417161858838974,China Council for International Cooperation on Environment and Development,These ads ran without a disclaimer,139,2
103648398093208,EduTourism for Unity,These ads ran without a disclaimer,134,8
110861658082667,Planet One,These ads ran without a disclaimer,133,2
105011282002918,Christmas is Coming,These ads ran without a disclaimer,133,2
101082842736363,The world of reader,These ads ran without a disclaimer,130,4
105501525214110,NFL Africa,These ads ran without a disclaimer,130,2
132624239942158,Benson Agnes,These ads ran without a disclaimer,130,2
1515909005308067,"Discover Nanjing, China",These ads ran without a disclaimer,127,10
422912471192330,ISLAM PARA TODOS,These ads ran without a disclaimer,127,1
102939915775438,Online Immigration Guidez,These ads ran without a disclaimer,126,1
110980888642151,Twibbon April,These ads ran without a disclaimer,126,4
228205083927220,Copenhagen Business School MBA,These ads ran without a disclaimer,125,2
102721402667167,Isabel Santana,These ads ran without a disclaimer,124,10
9181619833,CES,These ads ran without a disclaimer,122,2
101335125357095,CZ App,These ads ran without a disclaimer,122,3
669307523469574,EveryJew,These ads ran without a disclaimer,122,17
5550296508,CNN,These ads ran without a disclaimer,122,2
101308492735507,Vanesa Sofia,These ads ran without a disclaimer,122,3
116953721411384,the_souza80,These ads ran without a disclaimer,120,1
423609701387941,Peachbruh,These ads ran without a disclaimer,120,3
109144138435487,robson.brandaoo,These ads ran without a disclaimer,120,1
299524303253695,depressao_intensa,These ads ran without a disclaimer,120,1
105675589097240,Clean Earth Solar,These ads ran without a disclaimer,118,2
1439757389632184,Dr Ndinga de Deus,These ads ran without a disclaimer,114,1
0,Instagram User 2264705873,These ads ran without a disclaimer,114,1
488782827814626,International Labour Organization,These ads ran without a disclaimer,114,5
100539877985698,Spotlight Beijing,These ads ran without a disclaimer,113,6
129012103887386,The Online Library of Liberty,These ads ran without a disclaimer,113,4
103733191524431,Liuxininbeijing,These ads ran without a disclaimer,113,6
190638967645704,Maersk,These ads ran without a disclaimer,113,2
168508139975104,CGTN Türk,These ads ran without a disclaimer,113,1
116506943143054,Studio Tiramisù,These ads ran without a disclaimer,113,1
112480938779166,Kakande Ministries,These ads ran without a disclaimer,113,1
862652697154623,Nanah Takaza,These ads ran without a disclaimer,113,1
103262481273356,ADNAFRICA,These ads ran without a disclaimer,112,4
999188666785524,阿里巴巴集團,These ads ran without a disclaimer,111,2
1890146454611538,DESMI A/S,These ads ran without a disclaimer,111,1
109844008576278,Marie Comunicação,These ads ran without a disclaimer,109,1
102326065956085,Pop Aircraft,These ads ran without a disclaimer,109,1
107173698926440,Rindiendo en casa,These ads ran without a disclaimer,105,11
102998939765184,Persian bms,These ads ran without a disclaimer,104,4
100996905055543,Nelson Joaquim,These ads ran without a disclaimer,104,2
102723762108199,Tsikdem Communication,These ads ran without a disclaimer,104,2
101935744962053,VidToon,These ads ran without a disclaimer,104,1
110537290867442,Art by Omar Hassib,These ads ran without a disclaimer,104,1
105039417804164,IZZY - Stream Israel,These ads ran without a disclaimer,104,2
115575820139019,Af Fhyf,These ads ran without a disclaimer,104,2
103755308399081,Pan-Africanism,These ads ran without a disclaimer,104,1
345840486219924,Energy China,These ads ran without a disclaimer,104,11
354397697217,IEEE Xplore,These ads ran without a disclaimer,104,4
106786598824719,歷史趣談,These ads ran without a disclaimer,103,1
107818591651924,Repensando a Idade Média.,These ads ran without a disclaimer,102,1
526079487415848,XCMG Group,These ads ran without a disclaimer,≤100,4
107040575646313,Renata Marina,These ads ran without a disclaimer,≤100,11
144460788957278,IFT - Institute of Food Technologists,These ads ran without a disclaimer,≤100,1
223746867653527,Glamour South Africa,These ads ran without a disclaimer,≤100,1
414426511932868,"Trump International, Scotland",These ads ran without a disclaimer,≤100,1
116372021051860,Moz na Diáspora,These ads ran without a disclaimer,≤100,2
1422195181393273,O Novo Mercado,These ads ran without a disclaimer,≤100,3
632228990183262,Chinesische Volkszeitung Online,These ads ran without a disclaimer,≤100,3
2371071496554597,La Vérité,These ads ran without a disclaimer,≤100,1
161102744083776,Just Jackie That's Me,These ads ran without a disclaimer,≤100,1
102962435330790,The Hip Hop,These ads ran without a disclaimer,≤100,2
109267975517064,Panel y Capacitación de Ingenierías,These ads ran without a disclaimer,≤100,6
100629852697745,Get Wisdom,These ads ran without a disclaimer,≤100,1
111011251960095,Les Œuvres de Fatshi béton,These ads ran without a disclaimer,≤100,1
101513541203429,Pranary,These ads ran without a disclaimer,≤100,2
221207741969949,Saiba+,These ads ran without a disclaimer,≤100,1
104235449092488,Aircraft Secrets,These ads ran without a disclaimer,≤100,1
106615745485833,Crime News Online,These ads ran without a disclaimer,≤100,2
174198572760601,Pan-African Human Rights Defenders Network,These ads ran without a disclaimer,≤100,4
101978933230493,DHL,These ads ran without a disclaimer,≤100,2
800025433467347,LONGi Solar,These ads ran without a disclaimer,≤100,1
207514629334623,قراءات إفريقية,These ads ran without a disclaimer,≤100,2
125335024157691,Promine,These ads ran without a disclaimer,≤100,4
112634255115232,Community Healthcare Services,These ads ran without a disclaimer,≤100,1
144580066134672,Economist Impact,These ads ran without a disclaimer,≤100,3
102924836046659,Kossi Ntiafalali Aziagba,These ads ran without a disclaimer,≤100,1
191347651290,China Daily,These ads ran without a disclaimer,≤100,4
193394557345243,Devex,These ads ran without a disclaimer,≤100,9
1589796397993236,Infinite Love Proclaim,These ads ran without a disclaimer,≤100,1
109385651948780,Youth Power Hub,These ads ran without a disclaimer,≤100,1
109058985571302,Fang Xinyan,These ads ran without a disclaimer,≤100,1
1579920062256328,Custom Content from WSJ,These ads ran without a disclaimer,≤100,3
855254981507596,Atheer – أثير,These ads ran without a disclaimer,≤100,26
102839468523186,APEX อันดับหนึ่งเลเซอร์ขน,These ads ran without a disclaimer,≤100,2
102668079245182,Aircraft Helicopter,These ads ran without a disclaimer,≤100,1
139098866100198,Merri-bek City Council,These ads ran without a disclaimer,≤100,2
100110599507064,Secret Top Aircraft,These ads ran without a disclaimer,≤100,1
81239734102,Nobel Prize,These ads ran without a disclaimer,≤100,1
110860517186353,voestalpine Tubulars,These ads ran without a disclaimer,≤100,7
77779328853,Islamic Relief South Africa,These ads ran without a disclaimer,≤100,1
103590738209058,Maria Clara,These ads ran without a disclaimer,≤100,1
100119972767683,Aircraft Lover,These ads ran without a disclaimer,≤100,2
1698689083676469,This Ability,These ads ran without a disclaimer,≤100,1
691306584354816,Ummet Vakfi English,These ads ran without a disclaimer,≤100,2
110888421752564,SP Aircraft,These ads ran without a disclaimer,≤100,1
188789377812793,Kongsberg Gruppen,These ads ran without a disclaimer,≤100,1
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,≤100,12
103444249300738,Industrial.ao,These ads ran without a disclaimer,≤100,1
116924765152540,Fawezi,These ads ran without a disclaimer,≤100,1
251360678068375,Newblacks,These ads ran without a disclaimer,≤100,10
116114768127226,Idle Survivor Fortress Tycoon,These ads ran without a disclaimer,≤100,1
109110081983035,Gan Jing World,These ads ran without a disclaimer,≤100,1
112992870832988,Genertec,These ads ran without a disclaimer,≤100,3
195799657105195,SEGi University & Colleges,These ads ran without a disclaimer,≤100,8
167081236483531,Bigman,These ads ran without a disclaimer,≤100,1
250528638150308,Maria Oliveira,These ads ran without a disclaimer,≤100,7
1244705842263957,World Highways,These ads ran without a disclaimer,≤100,5
679431592105303,Abounding Grace Foundation,These ads ran without a disclaimer,≤100,1
109627618546880,Millions Aircraft,These ads ran without a disclaimer,≤100,1
499464600131903,Shall Mc,These ads ran without a disclaimer,≤100,1
1694519190803248,Ecopat,These ads ran without a disclaimer,≤100,1
103098539382588,samitamba_,These ads ran without a disclaimer,≤100,1
100817919462106,Misja: Wolna Polska,These ads ran without a disclaimer,≤100,7
1406065349689454,BLOCO AFRO MAGIA NEGRA,These ads ran without a disclaimer,≤100,1
844386315584131,Volvo Construction Equipment,These ads ran without a disclaimer,≤100,3
2610140028997323,Uniathena,These ads ran without a disclaimer,≤100,5
103085551939722,Loabowa,These ads ran without a disclaimer,≤100,1
1982725235124547,DoFasting,These ads ran without a disclaimer,≤100,1
70877580782,IFC - International Finance Corporation,These ads ran without a disclaimer,≤100,5
110906265860,The Andrew Schulz,These ads ran without a disclaimer,≤100,6
107898798686030,Postcards from Ukraine,These ads ran without a disclaimer,≤100,2
222821697571902,HealthStrong Global,These ads ran without a disclaimer,≤100,1
113355438422304,Kemron Lindon Bacchus,These ads ran without a disclaimer,≤100,1
226495524759910,Quimicando Com o Prof. Rudimar,These ads ran without a disclaimer,≤100,3
264379070295991,Integrare Brasil - Assessoria Pedagógica,These ads ran without a disclaimer,≤100,1
107201854136798,Phòng Khám Nha Khoa Singae Dental,These ads ran without a disclaimer,≤100,3
107319548965041,Hazrat Beck Khudoyberdi,These ads ran without a disclaimer,≤100,3
280778975117264,Maria Alice,These ads ran without a disclaimer,≤100,1
107582430969265,Jesus está voltando,These ads ran without a disclaimer,≤100,1
117709898298921,Centro Islâmico no Brasil,These ads ran without a disclaimer,≤100,8
110444908674335,The American News,These ads ran without a disclaimer,≤100,2
954162551399498,Vitaly Malkin,These ads ran without a disclaimer,≤100,1
106540078687090,Curiosity Mind,These ads ran without a disclaimer,≤100,1
106420494312707,"Guedeng Ledjebgue Eric, Esq.",These ads ran without a disclaimer,≤100,1
220898724599599,Ação da Cidadania,These ads ran without a disclaimer,≤100,3
104182388846502,jessicagasparoficial,These ads ran without a disclaimer,≤100,2
816582735098905,CMG Media - 씨엠지미디어,These ads ran without a disclaimer,≤100,2
106321962111925,taboo_empower,These ads ran without a disclaimer,≤100,2
101363632600073,Trashy Sisters,These ads ran without a disclaimer,≤100,1
109475315574135,Alane Cabral,These ads ran without a disclaimer,≤100,1
109245524036950,Wisła i Jangcy,These ads ran without a disclaimer,≤100,1
220247148525333,Rabindranath Tagore Literary Prize,These ads ran without a disclaimer,≤100,1
107980252038838,Bidzina Ivanishvili for Georgia,These ads ran without a disclaimer,≤100,2
803842483015793,NAEBA,These ads ran without a disclaimer,≤100,1
108463260579772,𝐘𝐚𝐧𝐧𝐢𝐜𝐤 𝐒𝐀𝐃𝐈𝐒𝐀 𝐋𝐞 𝐍𝐨𝐢𝐫,These ads ran without a disclaimer,≤100,1
128466876911,Amy Lynn Smith - Writer + Strategist,These ads ran without a disclaimer,≤100,1
203857292983532,AviationCV.com,These ads ran without a disclaimer,≤100,8
706501349455431,Curious Realm Podcast,These ads ran without a disclaimer,≤100,1
237292769749310,CRI Pashto,These ads ran without a disclaimer,≤100,1
109269495771156,Editorial Panda,These ads ran without a disclaimer,≤100,3
100783459405207,Carlos Lima,These ads ran without a disclaimer,≤100,1
108248748674525,jhony.dd_,These ads ran without a disclaimer,≤100,4
115363288200059,Henrique M. Lopes,These ads ran without a disclaimer,≤100,8
101485672752513,Great God of Odenigbo Ministries,These ads ran without a disclaimer,≤100,3
105882932497074,Mathias - Eternal Ninja,These ads ran without a disclaimer,≤100,1
112221226917224,RPS,These ads ran without a disclaimer,≤100,1
103919448674516,Levoplant contraceptive implants,These ads ran without a disclaimer,≤100,1
885651478212432,Mais informação menos preconceito 2019,These ads ran without a disclaimer,≤100,2
305853916209728,I Am Youth,These ads ran without a disclaimer,≤100,1
1747956948592119,Visit 2 Israel,These ads ran without a disclaimer,≤100,3
104378857660756,StateOfMatTR,These ads ran without a disclaimer,≤100,3
123572367496203,Mɪᴄʜᴇʟʟᴇ Rᴏᴅʀɪɢᴜᴇᴢ Fans,These ads ran without a disclaimer,≤100,1
947141812042694,Egypt Energy Show - Egypes,These ads ran without a disclaimer,≤100,18
169042736456594,All Out,These ads ran without a disclaimer,≤100,1
109086657530025,NO,These ads ran without a disclaimer,≤100,1
109358171361147,Portal Ombaka News,These ads ran without a disclaimer,≤100,1
104146998927371,Penttinali,These ads ran without a disclaimer,≤100,1
662799514151711,Global Earth Repair,These ads ran without a disclaimer,≤100,1
102694049539010,Don't Starve: Pocket Edition,These ads ran without a disclaimer,≤100,3
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,26
368119983327926,العربي الجديد,These ads ran without a disclaimer,≤100,7
1881543645439590,Tech It Out with Yang Zhao,These ads ran without a disclaimer,≤100,7
106341131134920,Talk it Out with Li Jingjing,These ads ran without a disclaimer,≤100,1
122861212590833,FAW Global,These ads ran without a disclaimer,≤100,1
111307144031816,OCRA - Observatório das Cidades e Regiões Africanas.,These ads ran without a disclaimer,≤100,1
197056520866519,Gloomme,These ads ran without a disclaimer,≤100,1
238689682651436,Education Botswana Journal,These ads ran without a disclaimer,≤100,1
103411444970731,Jining of China,These ads ran without a disclaimer,≤100,1
756877521031964,CCTV+,These ads ran without a disclaimer,≤100,3
103655209133919,M Reader_pa,These ads ran without a disclaimer,≤100,2
112854258459158,መድህን ለኢትዮጵያ,These ads ran without a disclaimer,≤100,1
104119542473088,Kylin Studio,These ads ran without a disclaimer,≤100,1
101462499658434,Easy PdF/08,These ads ran without a disclaimer,≤100,1
108245017766966,Madinah US,These ads ran without a disclaimer,≤100,2
103769206164223,The Cantor Sharonne Ferrelly,These ads ran without a disclaimer,≤100,1
111368485253350,Mundo Verde,These ads ran without a disclaimer,≤100,1
102766866037315,Adrian AG Karapinka,These ads ran without a disclaimer,≤100,1
383337518176700,Narada Power,These ads ran without a disclaimer,≤100,1
103401405381261,Instituto Oyatobi de Cultura,These ads ran without a disclaimer,≤100,1
187461997935711,Unilever Careers,These ads ran without a disclaimer,≤100,1
192122590856392,Singapore Aviation Academy,These ads ran without a disclaimer,≤100,1
100409288280426,Christian Business School,These ads ran without a disclaimer,≤100,1
106684228815847,Africa's Green Economy Summit,These ads ran without a disclaimer,≤100,1
102638844758903,DoughBoi x TerraNor,These ads ran without a disclaimer,≤100,1
110670751707495,RAINM,These ads ran without a disclaimer,≤100,1
105794328926903,Hypersonic Aircraft,These ads ran without a disclaimer,≤100,1
102862682558865,Force Aircraft,These ads ran without a disclaimer,≤100,1
106117468903008,Aircraft Hyper,These ads ran without a disclaimer,≤100,1
1286486861452393,Asia World Model United Nations,These ads ran without a disclaimer,≤100,3
327476234897,Cádiz C.F.,These ads ran without a disclaimer,≤100,2
589455821202552,Umbangu Espaço Cultural Virtual de Ação Decolonial,These ads ran without a disclaimer,≤100,2
109303558031487,Marafiki_CN,These ads ran without a disclaimer,≤100,3
104151925811127,Mario Cartaya,These ads ran without a disclaimer,≤100,1
111361091313,NICABM,These ads ran without a disclaimer,≤100,10
188921454611089,Mining Indaba,These ads ran without a disclaimer,≤100,1
106846208674783,浩哥功夫茶,These ads ran without a disclaimer,≤100,1
110979294923104,Secretos de la Música,These ads ran without a disclaimer,≤100,2
110273638831026,Brain Boost,These ads ran without a disclaimer,≤100,1
275758569814605,Cooking 4 All,These ads ran without a disclaimer,≤100,2
246918948495109,Samwell AI,These ads ran without a disclaimer,≤100,1
92288319748,Global Peace Index,These ads ran without a disclaimer,≤100,1
959056307619135,Just Perfact,These ads ran without a disclaimer,≤100,9
393412505386,Offshore Technology Conference (OTC),These ads ran without a disclaimer,≤100,2
1136047389767441,Learnfly,These ads ran without a disclaimer,≤100,7
399123090502456,情報経営イノベーション専門職大学,These ads ran without a disclaimer,≤100,1
107339455413597,The Crime Story,These ads ran without a disclaimer,≤100,2
111827148225737,Mauricio Leite,These ads ran without a disclaimer,≤100,1
316609991545953,the illuminati brotherhood,These ads ran without a disclaimer,≤100,1
112456358155980,La Cuarta Constructor,These ads ran without a disclaimer,≤100,1
957399140982204,Stories of Beijing,These ads ran without a disclaimer,≤100,1
1740668682893317,BastilleGlobal,These ads ran without a disclaimer,≤100,2
100044596562197,Pastor Tinu George,These ads ran without a disclaimer,≤100,1
198398326957053,Shree Krishnayan Desi Gauraksha Avam Golokdham Sewa Samiti,These ads ran without a disclaimer,≤100,3
106210845028613,Menthol Protocol,These ads ran without a disclaimer,≤100,1
208338536239798,This Is Beijing,These ads ran without a disclaimer,≤100,10
108457230808693,Hitachi Cooling & Heating MEA,These ads ran without a disclaimer,≤100,2
634744666998112,Social Talks with M,These ads ran without a disclaimer,≤100,2
155438574470276,DW українською,These ads ran without a disclaimer,≤100,15
103018869332378,BantuPage,These ads ran without a disclaimer,≤100,5
100912541413695,Más Impulso,These ads ran without a disclaimer,≤100,2
115547754831342,Zettyyziro,These ads ran without a disclaimer,≤100,1
119312067827809,Ana Beatriz Prudente Alckmin,These ads ran without a disclaimer,≤100,1
1242221412532377,Preaching the CROSS/Higgs Ministry,These ads ran without a disclaimer,≤100,1
634185290326367,Atlantic Fellows for Social and Economic Equity,These ads ran without a disclaimer,≤100,1
204426449574330,CNN Africa,These ads ran without a disclaimer,≤100,6
137442569445398,TRUCK BR USA,These ads ran without a disclaimer,≤100,20
111535028099492,New Reality,These ads ran without a disclaimer,≤100,1
1876712492558260,A Girl Who Prays/Women on Watch-WOW-,These ads ran without a disclaimer,≤100,1
110630537410378,Sniper do Excel,These ads ran without a disclaimer,≤100,1
145478885541976,Inclusão Eficiente,These ads ran without a disclaimer,≤100,1
282609205261913,Soy Rico,These ads ran without a disclaimer,≤100,3
210354282318065,LUMS,These ads ran without a disclaimer,≤100,1
276490482462006,Northern Miner,These ads ran without a disclaimer,≤100,1
101690555263014,Thoughts Crystal,These ads ran without a disclaimer,≤100,1
357444017777047,Bronson.men,These ads ran without a disclaimer,≤100,4
134479433307392,Votorantim Cimentos,These ads ran without a disclaimer,≤100,1
1899063530141063,Claudio Bonel,These ads ran without a disclaimer,≤100,1
109145718941682,Notícias do Dia,These ads ran without a disclaimer,≤100,3
114629281258109,forjandoahonra,These ads ran without a disclaimer,≤100,1
254697727731989,Juliana Nascimento,These ads ran without a disclaimer,≤100,1
375748343128847,Bevvy Multimedia Tv,These ads ran without a disclaimer,≤100,1
104502135673665,New Earn USDT Platform,These ads ran without a disclaimer,≤100,1
206197753093706,AmazingTalker,These ads ran without a disclaimer,≤100,2
102921326068042,peregrinos_br,These ads ran without a disclaimer,≤100,1
117777647908592,Casa de Cultura Os Capoeira - SP,These ads ran without a disclaimer,≤100,1
114171254627518,Mateo Fernandes,These ads ran without a disclaimer,≤100,1
137030692821876,Susan Smith,These ads ran without a disclaimer,≤100,1
106111170729078,Digiens Academy,These ads ran without a disclaimer,≤100,13
1133794223348221,World Gastroenterology Organisation,These ads ran without a disclaimer,≤100,1
110500442046823,Karter Craig,These ads ran without a disclaimer,≤100,1
23155560578,CGFNS International,These ads ran without a disclaimer,≤100,1
109534787605542,Mohammed Al-Issa محمد العيسى,These ads ran without a disclaimer,≤100,2
102737908598361,Corporación Educativa Interactiva,These ads ran without a disclaimer,≤100,1
119394834480855,African Positive Unity,These ads ran without a disclaimer,≤100,2
558231374253276,Anhui Travel,These ads ran without a disclaimer,≤100,1
122164924461172,Volvo Buses,These ads ran without a disclaimer,≤100,3
309597192497421,Nehemiah Network International,These ads ran without a disclaimer,≤100,1
102855429156181,Fighter Aircrafts,These ads ran without a disclaimer,≤100,1
108022421964034,Attack Aircraft,These ads ran without a disclaimer,≤100,1
112902048316129,African Leaders' Tête À Tête,These ads ran without a disclaimer,≤100,1
102236795861091,Kingsboss Tv,These ads ran without a disclaimer,≤100,1
989602017780672,Mauricio Benoist,These ads ran without a disclaimer,≤100,2
430258463820053,International School of Ministry with Pastor Chris,These ads ran without a disclaimer,≤100,1
1039675682714205,스브스뉴스,These ads ran without a disclaimer,≤100,11
108157288193556,Africaninsider,These ads ran without a disclaimer,≤100,2
114247604036354,Инфограф,These ads ran without a disclaimer,≤100,1
111226201784446,Global Jobs Alert,These ads ran without a disclaimer,≤100,1
101941411389968,Nhân Văn Giai Phẩm,These ads ran without a disclaimer,≤100,6
109096360620199,NWprofessionaltraders,These ads ran without a disclaimer,≤100,1
103552779016206,Feed the Future Current and Emerging Threats to Crops Innovation Lab,These ads ran without a disclaimer,≤100,1
100519286098914,União Europeia : a piramide da conquista.,These ads ran without a disclaimer,≤100,1
104311554836525,Writeups 24,These ads ran without a disclaimer,≤100,3
108517061879457,LosslessSecurity,These ads ran without a disclaimer,≤100,2
187991754570725,LaLiga,These ads ran without a disclaimer,≤100,1
14892757589,Le Monde,These ads ran without a disclaimer,≤100,1
110629442050821,Sauvons le monde,These ads ran without a disclaimer,≤100,1
105618258917544,Military Power,These ads ran without a disclaimer,≤100,1
109150544704580,Lincoln Corners Pakistan,These ads ran without a disclaimer,≤100,7
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,≤100,3
102955945314604,Wanderlust with Sylvia,These ads ran without a disclaimer,≤100,1
100925458042748,Viatris,These ads ran without a disclaimer,≤100,1
197222326808004,Debate to Educate,These ads ran without a disclaimer,≤100,1
100272965531927,Furacão Publicidades,These ads ran without a disclaimer,≤100,1
1429130057407968,Apostle Elijah Olopade,These ads ran without a disclaimer,≤100,1
100136869328198,Hyosung Worldwide,These ads ran without a disclaimer,≤100,2
100659939116114,Cursos online,These ads ran without a disclaimer,≤100,1
106549514713259,Amadou Chérif DIOUF,These ads ran without a disclaimer,≤100,1
108271568123706,TAIHEN Sức Khỏe,These ads ran without a disclaimer,≤100,2
429957570419097,Professor Israel,These ads ran without a disclaimer,≤100,1
765302097170348,Línea Cero,These ads ran without a disclaimer,≤100,1
109395225332926,Ofw Boss Mom,These ads ran without a disclaimer,≤100,1
110963345041767,和合之源 Provenance of Harmony and Union,These ads ran without a disclaimer,≤100,1
566564790083272,William Sanches,These ads ran without a disclaimer,≤100,2
102272782980480,Shopee Cart PH,These ads ran without a disclaimer,≤100,1
105558845684859,Instituto Benoist Latinoamericano,These ads ran without a disclaimer,≤100,2
102266226546333,ESI Africa,These ads ran without a disclaimer,≤100,4
101203429485426,Panstar Cruise,These ads ran without a disclaimer,≤100,1
191367330892004,UBC Engineering,These ads ran without a disclaimer,≤100,1
112147831902634,Ângela Martínez,These ads ran without a disclaimer,≤100,1
114893548371435,Prime Acation,These ads ran without a disclaimer,≤100,1
205687592632487,Mega Millions - Suggested Sequence,These ads ran without a disclaimer,≤100,2
186234641881494,WIC News,These ads ran without a disclaimer,≤100,5
535679103241743,"Nominate the inhumane, immoral IDF for the Nobel peace prize",These ads ran without a disclaimer,≤100,5
101289218907718,Web News,These ads ran without a disclaimer,≤100,3
193982070459365,Fatos curiosos,These ads ran without a disclaimer,≤100,1
104092552477632,Love Care Share,These ads ran without a disclaimer,≤100,1
284001388441902,The Frustrated Engineer,These ads ran without a disclaimer,≤100,1
101846946051021,Financial Benefits,These ads ran without a disclaimer,≤100,1
466173110104582,"El-Shaddai Ministry, Jesus Is Alive Global Worship Centre",These ads ran without a disclaimer,≤100,2
104868521318772,God of World,These ads ran without a disclaimer,≤100,1
104445971773668,TAIHEN Việc Làm,These ads ran without a disclaimer,≤100,3
111829092211956,CNBC Africa,These ads ran without a disclaimer,≤100,1
2337862536486729,Kachem young initiative,These ads ran without a disclaimer,≤100,1
795719297296041,Ined - Instituto Nacional de Educación Digital,These ads ran without a disclaimer,≤100,1
1637858969850416,Smoke on Go,These ads ran without a disclaimer,≤100,1
102244566076628,Łetters From Me to You,These ads ran without a disclaimer,≤100,1
101053502845564,fereformadamanaus,These ads ran without a disclaimer,≤100,1
113354736763208,Shari Arison - שרי אריסון,These ads ran without a disclaimer,≤100,2
1908125556089705,Lewis Pugh Foundation,These ads ran without a disclaimer,≤100,1
108579632162744,CRAZY Machines,These ads ran without a disclaimer,≤100,1
112901465061603,Policy violation notification,These ads ran without a disclaimer,≤100,1
1520817248199898,Yutong Bus & Coach,These ads ran without a disclaimer,≤100,3
102519461477326,Viện Thẩm Mỹ Mega Gangnam Việt Nam,These ads ran without a disclaimer,≤100,2
1789920371248076,Baz-Art,These ads ran without a disclaimer,≤100,1
109181011928509,Vivian Nwakaego Onuigbo,These ads ran without a disclaimer,≤100,1
173091762749108,월드프렌즈코리아,These ads ran without a disclaimer,≤100,1
138457552871898,Live Aqua Beach Resort Cancun,These ads ran without a disclaimer,≤100,1
861734543866515,Teresa Galeano Psicóloga,These ads ran without a disclaimer,≤100,1
100284808986464,De Prince Tv,These ads ran without a disclaimer,≤100,1
107290162152768,Movies 96,These ads ran without a disclaimer,≤100,1
109188088409564,more_ing.art,These ads ran without a disclaimer,≤100,2
100712342865018,trulensstan,These ads ran without a disclaimer,≤100,1
192092260811678,ALCircle,These ads ran without a disclaimer,≤100,3
172630432773629,UCA News,These ads ran without a disclaimer,≤100,1
107196352482268,Energía Alternativa,These ads ran without a disclaimer,≤100,2
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
246102541927619,หมีขาว,These ads ran without a disclaimer,≤100,1
122098107458006789,Dane Mesane,These ads ran without a disclaimer,≤100,1
101304192456744,carososky,These ads ran without a disclaimer,≤100,1
115855626948185,Biblical Literacy Initiative Foundation,These ads ran without a disclaimer,≤100,2
107419398838282,Global Digital Inclusion Partnership,These ads ran without a disclaimer,≤100,4
382377315238468,"Educational Research Center, Inc.",These ads ran without a disclaimer,≤100,4
151047515056054,Goodtrae-굿뜨래,These ads ran without a disclaimer,≤100,1
110780698430373,Photo Maker,These ads ran without a disclaimer,≤100,1
156368094230487,LE FONDÉ,These ads ran without a disclaimer,≤100,1
106374985846234,sirleeva,These ads ran without a disclaimer,≤100,1
102434796097067,Flow Feed,These ads ran without a disclaimer,≤100,1
105223591833972,Vereador Eleito,These ads ran without a disclaimer,≤100,3
701868513256630,Trung Tâm Cơ Xương Khớp Đại Lực Hoàng,These ads ran without a disclaimer,≤100,1
1064304623746252,Rights Africa,These ads ran without a disclaimer,≤100,1
333336926758693,VXE Creative Studio,These ads ran without a disclaimer,≤100,1
343731779325769,Pastor Tinu George,These ads ran without a disclaimer,≤100,1
109011622471498,Office of the Premier - North West Province - South Africa,These ads ran without a disclaimer,≤100,1
105032392269188,बागेश्वर धाम सरकार छिंदवाड़ा मध्य प्रदेश शिष्य मंडल,These ads ran without a disclaimer,≤100,1
20800882791,Break,These ads ran without a disclaimer,≤100,1
503569446649440,التحالف الدولي,These ads ran without a disclaimer,≤100,4
147617885091272,Sana khan,These ads ran without a disclaimer,≤100,1
142037012334040,DomTrens,These ads ran without a disclaimer,≤100,1
1418847414842462,Asia Youth International MUN,These ads ran without a disclaimer,≤100,2
101671792390387,Gakhal Group,These ads ran without a disclaimer,≤100,1
100994765608411,INN WORD Revival Now,These ads ran without a disclaimer,≤100,2
107872505295606,Eynulla Fatullayev,These ads ran without a disclaimer,≤100,1
333426070147135,Benny Kuriakose Associates,These ads ran without a disclaimer,≤100,2
233826257775,ComputerTrends,These ads ran without a disclaimer,≤100,5
262113760517988,Kick Out Malaria,These ads ran without a disclaimer,≤100,1
107329544831360,Commission on Human Rights Region 02,These ads ran without a disclaimer,≤100,1
114644316622869,Yeen & Yar - Choose Family,These ads ran without a disclaimer,≤100,1
106452411656233,Dupoin Indonesia,These ads ran without a disclaimer,≤100,1
105259147808764,Mì Nhật Miễn Phí,These ads ran without a disclaimer,≤100,1
103301602505747,Developing Dominica,These ads ran without a disclaimer,≤100,2
106676915404372,The Redefinition,These ads ran without a disclaimer,≤100,1
226546624073660,CSR-in-Action,These ads ran without a disclaimer,≤100,1
110278291747536,La Guia del Exito,These ads ran without a disclaimer,≤100,1
