Page ID,Page name,Disclaimer,Amount spent (NZD),Number of ads in Library
173912362663564,Electoral Commission NZ,Electoral Commission NZ,569762,216
183355881680015,New Zealand National Party,New Zealand National Party,485011,1466
11870725774,Greenpeace Aotearoa,Greenpeace NZ,479645,628
337477311451,New Zealand Labour Party,NZ Parliamentary Service on behalf of New Zealand Labour Party,466986,1139
103881760966661,Gen Less,Energy Efficiency & Conservation Authority,437171,1713
92043134118,ACT,the Parliamentary Service on behalf of ACT New Zealand,405230,664
103881760966661,Gen Less,Gen Less,260942,129
92043134118,ACT,Parliamentary Service on behalf of ACT New Zealand,258846,600
10779081371,Green Party of Aotearoa New Zealand,"Authorised by Gwen Shaw. Level 1, 17 Garrett Street, Wellington",191225,587
337477311451,New Zealand Labour Party,"NZ Labour Party, Auth by T Grigg, 160 Willis St WLG",184793,1125
116362033529,Amnesty International Aotearoa New Zealand,Amnesty International Aotearoa New Zealand,162628,298
92043134118,ACT,ACT,161218,2416
599425917085362,BusinessDesk,Content Ltd t/a BusinessDesk,155823,3886
37547788323,UNICEF Aotearoa,UNICEF Aotearoa,152908,825
165702023478421,Family First New Zealand,Family First New Zealand,132113,140
175954932952,WWF New Zealand,WWF New Zealand,130093,289
887091574832984,Make It Legal NZ,Make It Legal NZ,128799,471
116362033529,Amnesty International Aotearoa New Zealand,Amnesty International New Zealand,116991,776
424806334290059,New Zealand Taxpayers' Union,New Zealand Taxpayers' Union,116627,998
154331724631584,David Seymour,the Parliamentary Service on behalf of ACT New Zealand,102689,392
140505075974210,Ministry of Education NZ,Ministry of Education NZ,91498,155
797134260374144,Williams Corporation Limited,These ads ran without a disclaimer,80174,130
689146908145006,Free Speech Union,Free Speech Union,76468,411
111699101849124,Ōu Huatau Hauora | Your Views On Health,Ministry of Health,73005,911
106194579030381,Doctors Without Borders / Médecins Sans Frontières NZ,Doctors Without Borders / Médecins Sans Frontières NZ,70471,85
371913763842,Te Kāhui Tika Tangata Human Rights Commission,New Zealand Human Rights Commission,70437,139
1281262645251755,Hobson's Pledge,Hobson's Pledge,69443,341
150683774979628,Auckland Council,Auckland Council,65340,60
213708008642996,Pink Shirt Day Aotearoa,Mental Health Foundation of New Zealand,62792,134
106125474475801,Advance NZ / NZPP,Advance NZ authorised by J Ross 309 Botany Road,57363,24
19648092895,Tearfund New Zealand,Tearfund New Zealand,49340,263
117930708298273,Hamilton City Council,Hamilton City Council,48553,739
101226955010337,Risky Law NZ,Vote No to the End of Life Act 159 Campbell St WLG,47200,81
668834259979286,Sound Of Hope New Zealand,Ziwei Yang,45918,10
559020010842423,Judith Collins,New Zealand National Party,45335,34
134871109877812,Save the Children New Zealand,Save the Children New Zealand,44259,511
564979796890947,New Zealand First,New Zealand First,41689,76
37547788323,UNICEF Aotearoa,UNICEF New Zealand,41498,500
1633927736827211,Yes for Compassion,Yes for Compassion,41164,257
45300632440,Jacinda Ardern,"NZ Labour Party, Auth by T Grigg, 160 Willis St WLG",37960,46
103704438081681,Racism Is No Joke,Human Rights Commission,37496,27
433070790070522,Communities and Residents,C&R Communities and Residents,37020,2144
624109231095743,Efeso for Mayor,Tom Buckley,36900,761
1846207688941551,Ministry for the Environment,Ministry for the Environment,36282,483
1591672150854791,The Doctors NZ,Green Cross Health,35877,52
10779081371,Green Party of Aotearoa New Zealand,The NZ Parliamentary Service on behalf of the Green Party,35538,159
103001714745789,Say Nope To Dope NZ,SAM (Smart Approaches to Marijuana) NZ Coalition,33775,44
111231998133865,Leo Molloy,Leo Molloy for Mayor,32946,412
154331724631584,David Seymour,ACT,31866,225
1671535913101759,Entrust,Entrust New Zealand,31442,91
267266983777482,Live Lightly,Auckland Council,31342,70
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),These ads ran without a disclaimer,31096,56
23625700722,Oxfam,Oxfam,30503,445
109145321007464,Groundswell NZ,Groundswell NZ,30019,334
2120069598255213,NZ Energy Voices,NZ Energy Voices,29642,475
1966234280281774,Brooke van Velden MP,the Parliamentary Service on behalf of ACT New Zealand,28064,102
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,27908,103
110186134060806,Fairness in Focus,Medicines New Zealand,27041,527
116389691735819,NZ Drug Foundation,NZ Drug Foundation,27016,70
341865911020,ASB Bank,ASB Bank Ltd,25970,60
28312410177,World Food Programme,These ads ran without a disclaimer,25590,211
100466938232505,John Tamihere,Niko Mikaele Toluono,25585,96
100466938232505,John Tamihere,Joseph Peter Lose,23910,143
10779081371,Green Party of Aotearoa New Zealand,Green Party of Aotearoa New Zealand,23769,37
183355881680015,New Zealand National Party,NZ Parliamentary Service on behalf of the NZ National Party,23764,102
107354205289761,Vote 2022,LGNZ,23483,26
110909661534199,The Common Room NZ,The Common Room NZ,22794,124
128872083791896,Greater Wellington,Greater Wellington,22703,56
109837781773921,Te Whatu Ora - Health New Zealand,Te Whatu Ora - Health New Zealand,22477,4
129560433761907,Te Whānau O Waipareira,Te Whanau o Waipareira Trust,22341,666
6172127502,Vodafone New Zealand,Vodafone New Zealand,22000,5
564453323744421,TOP - The Opportunities Party,"TOP - Authorised by R McKeown, 90 Crawford St, Dunedin",21971,117
102690508206877,Chris Baillie MP,the Parliamentary Service on behalf of ACT New Zealand,21584,29
201119943250384,NZ Social Credit Party,Social Credit,21140,26
564453323744421,TOP - The Opportunities Party,TOP - The Opportunities Party,20102,187
470625036760415,DefendNZ,DefendNZ,20029,82
113487335368284,NZCTU - Together,NZCTU - Together,19903,86
175005766509513,APEC 2021 New Zealand,New Zealand Ministry of Foreign Affairs and Trade,18959,30
110613705109260,Independent Electoral Review - He Arotake Pōtitanga Motuhake,Independent Electoral Review,18757,81
408747529491004,Department of Conservation,Department of Conservation,18636,79
114731636915763,Simon Court MP,the Parliamentary Service on behalf of ACT New Zealand,18439,36
112294238820394,Waikato Regional Council,Waikato Regional Council,18411,68
107620581691243,Heart Auckland,Auranga Resident’s Association,18165,54
101916541447786,Unite against COVID-19,These ads ran without a disclaimer,17837,5
23625700722,Oxfam,Oxfam Aotearoa,17548,364
194480190563142,Te Pāti Māori,Māori Party,17497,270
2093351790978732,Imprint: Learn Visually,These ads ran without a disclaimer,17235,5
185590638873,NZHL Home Loans / Insurance,NZHL Home Loans / Insurance,17121,123
363940644005754,Shanan Halbert- MP for Northcote,NZ Parliamentary Service on behalf of Shanan Halbert MP,17059,103
585595504882807,The Spinoff,The Spinoff,16708,65
1024399097764323,The 1point5 Project,Paul Winton,16706,18
102355976523325,TVNZ 1,TVNZ,16498,3
108156939287150,Auckland Pride,Auckland Pride Festival,16471,33
103978744704837,Let's Do Even Better,Public Service Association,16470,82
1889900847907258,Votesafe.nz,Safer Future Charitable Trust,15872,134
280850358743057,Du Val Group,These ads ran without a disclaimer,15238,10
110974094005509,Nicole McKee MP,the Parliamentary Service on behalf of ACT New Zealand,14208,31
108805894417072,The Level,NZ Drug Foundation,14097,27
1387513934903706,Auckland Ratepayers' Alliance,Auckland Ratepayers' Alliance,13762,171
121008217924952,Te Wiki o te Reo Māori,These ads ran without a disclaimer,13668,8
417859725433,SAFE,SAFE,13556,121
150683774979628,Auckland Council,These ads ran without a disclaimer,12722,17
137540437632,Forest & Bird,Forest & Bird,12643,57
196967540964595,Mindful Money,Mindful Money,12397,61
123093944890778,Re: News,Re:,12312,29
376006035816016,Storyworth,These ads ran without a disclaimer,12238,22
114478356606915,Warmer Kiwi Homes,Energy Efficiency & Conservation Authority,12000,4
2136192629995322,CarbonClick,Daniel John Phillips,11586,52
229859723800613,Motor Trade Association (MTA),Motor Trade Association,11367,10
156709261092239,Simon O'Connor,NZ Parliamentary Service on behalf of Simon O’Connor MP,11127,67
719853864726295,Mindvalley,These ads ran without a disclaimer,11111,77
100113565101028,Vanushi Walters MP,NZ Parliamentary Service on behalf of Vanushi Walters MP,11096,87
103881760966661,Gen Less,These ads ran without a disclaimer,11069,29
104411054853609,Mark Cameron - ACT List MP,the Parliamentary Service on behalf of ACT New Zealand,11029,49
290710921086052,Echt,These ads ran without a disclaimer,10875,3
417859725433,SAFE,Save Animals From Exploitation Incorperated,10845,42
660905244277139,Craig Lord for Auckland Mayor,Craig William Lord,10669,17
189782211062735,Environment Canterbury,Environment Canterbury,10568,57
181999908501316,DairyNZ,DairyNZ,10356,54
206593023439306,West Auckland Licensing Trusts Action Group,West Auckland Licensing Trusts Action Group,10277,48
1396438280370713,Gem Car Sales,Gem Car Sales,10101,6
103294052679561,Kiwis Backing Farmers,Beef + Lamb NZ,10022,81
101127282332652,Mindthegap.nz,Mindthegap.nz,9901,11
125292411482862,New Zealand Ministry of Foreign Affairs and Trade,New Zealand Ministry of Foreign Affairs and Trade,9841,83
604762262942740,Jamie Strange MP,"NZ Labour Party, Auth by T Grigg, 160 Willis St WLG",9818,27
171901233444420,Mel Courtney - Nelson City Councillor,Mel Courtney,9373,361
74953928771,World Animal Protection New Zealand,These ads ran without a disclaimer,9359,57
104174354363267,Christopher Luxon,Parliamentary Service on behalf of Christopher Luxon,9292,19
144157325711928,ANZ Aotearoa,These ads ran without a disclaimer,9074,2
155117061231306,New Conservative NZ,New Conservative NZ,8970,56
366593136805670,Te Whare Wānanga o Awanuiārangi,These ads ran without a disclaimer,8812,1
346186225761296,Erica Stanford MP,Erica Stanford MP,8799,93
152723358098296,Paula Southgate Mayor of Hamilton,Paula Anne Southgate,8769,239
503951883021764,ShareTheMeal,These ads ran without a disclaimer,8602,54
182564675177680,Wellington City Council,Wellington City Council,8548,61
73970658023,International Rescue Committee,These ads ran without a disclaimer,8457,70
359921127991530,Phil Mauger For Mayor,Philip Mauger,8443,117
183761028484239,Rides2Go LTD,These ads ran without a disclaimer,8396,1
164979016849070,Te Herenga Waka—Wellington Uni,Te Herenga Waka - Victoria University of Wellington,8135,12
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,8069,165
